Date,rate_PPL_5D,rate_VOO_20D
2016-01,3.026,1.4254
2016-02,1.3699,0.6142
2016-03,8.0853,6.1243
2016-04,4.893,4.6014
2016-05,6.3047,5.2878
2016-06,4.0432,4.687
2016-07,3.4515,7.7174
2016-08,-4.9478,6.8637
2016-09,-4.0274,5.9421
2016-10,-3.7785,3.4868
2016-11,-5.8271,6.843
2016-12,-2.5028,8.2789
2017-01,-0.167,9.3935
2017-02,5.6525,12.821
2017-03,7.8893,12.0413
2017-04,9.365,12.4367
2017-05,13.8804,13.2406
2017-06,10.8051,14.1802
2017-07,9.4413,15.6892
2017-08,11.5094,15.2834
2017-09,8.2965,16.8657
2017-10,6.805,18.7799
2017-11,4.0435,21.509
2017-12,-11.1744,22.1709
2018-01,-8.0779,27.9258
2018-02,-17.0117,22.2578
2018-03,-16.1603,18.4465
2018-04,-13.152,18.162
2018-05,-18.0093,20.337
2018-06,-12.3411,20.5057
2018-07,-11.2729,24.0401
2018-08,-7.8957,27.2093
2018-09,-5.4042,27.1082
2018-10,-2.7147,17.9327
2018-11,-3.0783,19.5577
2018-12,-8.719,8.5722
2019-01,1.1749,16.8959
2019-02,3.901,20.2219
2019-03,3.7039,21.9603
2019-04,1.8474,26.2654
2019-05,-2.9207,20.4953
2019-06,5.2057,25.3574
2019-07,0.4567,26.514
2019-08,0.1721,24.0717
2019-09,8.213,25.9454
2019-10,12.6568,27.4086
2019-11,14.1465,31.384
2019-12,21.3946,34.5804
2020-01,21.9964,33.8021
2020-02,1.1403,22.3336
2020-03,-0.7382,15.1867
2020-04,2.5218,29.6272
2020-05,5.1757,28.2305
2020-06,3.9995,28.0341
2020-07,6.0041,33.4885
2020-08,10.9777,42.106
2020-09,11.204,38.2475
2020-10,12.3491,34.0563
2020-11,12.8635,42.9575
2020-12,15.0808,47.5016
2021-01,12.6842,45.1166
2021-02,6.4447,43.0879
2021-03,18.7555,49.8512
2021-04,19.6363,56.911
2021-05,19.2339,54.6413
2021-06,15.867,57.2758
2021-07,17.2669,60.2291
2021-08,21.0524,64.0213
2021-09,16.2823,55.5224
2021-10,19.8462,65.5435
2021-11,15.5157,65.5034
2021-12,26.2911,68.4598
2022-01,24.3378,58.7763
2022-02,9.4228,53.2596
2022-03,20.1518,58.2953
2022-04,20.7108,52.2757
2022-05,25.2735,51.0659
2022-06,16.0823,38.0304
2022-07,24.2139,50.1558
2022-08,23.9327,43.3725
2022-09,8.5532,29.6913
2022-10,13.3637,39.7003
2022-11,26.1489,46.8631
2022-12,23.8561,40.5677
2023-01,20.8886,48.7988
2023-02,13.2446,45.5387
2023-03,17.0927,49.6635
2023-04,20.8092,48.4614
2023-05,10.0943,48.1923
2023-06,12.0362,57.2072
2023-07,16.4191,61.7125
2023-08,5.3073,59.5229
2023-09,0.4757,51.3631
2023-10,4.7642,47.5518
2023-11,11.3014,60.474
2023-12,16.3172,67.125
2024-01,12.2874,69.1001
2024-02,12.8786,77.1309
2024-03,18.8166,83.2841
2024-04,16.4994,75.177
2024-05,24.2372,83.1784
2024-06,18.0032,90.182
2024-07,26.6616,90.9416
2024-08,35.694,97.1965
2024-09,41.3775,98.31
2024-10,37.1933,95.5089
2024-11,46.8034,105.9957
2024-12,37.1127,100.2436
2025-01,41.5747,104.6582
2025-02,47.9615,101.1287
2025-03,47.6149,89.045
2025-04,45.267,88.6819
2025-05,37.9304,99.6712
2025-06,35.2721,109.046
2025-07,42.1346,112.823
2025-08,40.5986,112.1707
2025-09,43.9749,118.6779
2025-10,41.1411,122.8639
2025-11,42.2518,122.3204
2025-12,35.766,121.4705
2026-01,40.2275,123.6468
2026-02,50.4184,120.852
