Date,rate_RF_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.9739,-3.7423
2016-03,-7.5736,0.3764
2016-04,-5.4392,5.1946
2016-05,14.0046,3.5695
2016-06,17.703,4.8356
2016-07,-2.6536,4.3651
2016-08,5.4245,7.2005
2016-09,14.3714,6.5176
2016-10,13.7365,5.8316
2016-11,23.3939,2.6321
2016-12,54.8166,6.5262
2017-01,56.5907,8.6002
2017-02,53.2894,9.8701
2017-03,64.4648,14.9815
2017-04,46.9228,12.5254
2017-05,37.4431,13.1716
2017-06,34.4547,14.581
2017-07,41.377,14.626
2017-08,39.6688,16.4591
2017-09,33.3691,15.9061
2017-10,41.8691,17.2911
2017-11,42.9933,19.4181
2017-12,51.0053,21.7575
2018-01,55.3138,22.6249
2018-02,73.1195,28.3844
2018-03,67.863,21.0506
2018-04,60.2807,18.8566
2018-05,59.5703,18.843
2018-06,56.1686,22.0592
2018-07,48.3172,20.962
2018-08,55.4212,24.4135
2018-09,58.8281,27.7869
2018-10,47.5198,28.1445
2018-11,38.6269,19.3954
2018-12,31.4475,19.8359
2019-01,7.3144,8.7501
2019-02,22.7236,17.203
2019-03,29.9299,21.2677
2019-04,17.2813,23.6016
2019-05,20.8282,25.5902
2019-06,9.6898,17.8911
2019-07,20.3787,26.7327
2019-08,21.1743,25.8061
2019-09,15.8569,24.2046
2019-10,23.126,24.595
2019-11,31.5204,29.5299
2019-12,31.5592,32.3145
2020-01,36.2096,35.5516
2020-02,22.9153,34.7733
2020-03,6.3322,23.2161
2020-04,-33.5819,2.6957
2020-05,-17.8304,17.923
2020-06,-6.8685,27.1545
2020-07,-12.3889,29.2791
2020-08,-10.2663,35.3897
2020-09,-3.7095,45.4969
2020-10,-3.1905,38.8421
2020-11,11.731,33.8054
2020-12,33.0818,49.4413
2021-01,35.9109,52.4925
2021-02,45.3927,52.5474
2021-03,78.0675,57.1165
2021-04,75.9558,62.2404
2021-05,80.9071,68.0147
2021-06,94.66,67.9506
2021-07,68.3964,71.7835
2021-08,57.7056,73.9065
2021-09,64.0261,78.108
2021-10,77.5186,70.559
2021-11,95.9642,79.7147
2021-12,78.4944,74.8714
2022-01,75.9611,83.8439
2022-02,89.3606,74.2485
2022-03,76.2726,64.4857
2022-04,71.5289,72.8765
2022-05,64.6261,56.3809
2022-06,70.8207,54.7432
2022-07,50.9625,43.9638
2022-08,66.8234,54.5402
2022-09,69.6021,48.4061
2022-10,58.401,33.808
2022-11,75.2084,43.6413
2022-12,79.6942,51.6237
2023-01,69.1812,42.3283
2023-02,85.7008,52.4008
2023-03,81.4409,45.8599
2023-04,44.9593,52.4428
2023-05,38.8422,54.1535
2023-06,36.2324,55.8684
2023-07,39.4263,63.7729
2023-08,58.7254,67.9151
2023-09,46.045,65.3142
2023-10,34.8819,56.4671
2023-11,13.7077,54.158
2023-12,37.2277,66.8181
2024-01,52.8046,72.7134
2024-02,43.1439,77.0248
2024-03,47.4803,84.7703
2024-04,62.5754,89.0895
2024-05,54.1505,80.3005
2024-06,51.8865,89.1407
2024-07,57.5571,96.817
2024-08,69.9338,94.9948
2024-09,84.0333,101.4737
2024-10,78.3031,104.2286
2024-11,85.5967,104.0979
2024-12,113.8172,114.1559
2025-01,85.5232,108.1307
2025-02,93.5326,112.719
2025-03,85.409,109.0154
2025-04,69.9205,97.097
2025-05,60.9739,95.2965
2025-06,67.7081,105.2137
2025-07,90.3408,114.7559
2025-08,95.199,115.142
2025-09,113.9011,122.2543
2025-10,105.8136,129.8729
2025-11,89.1995,133.4127
2025-12,99.3122,131.7276
2026-01,112.3511,131.8756
2026-02,116.1368,131.1612
