Date,rate_SBAC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.2977,-3.7423
2016-03,-5.4749,0.3764
2016-04,2.026,5.1946
2016-05,2.4892,3.5695
2016-06,-2.6601,4.8356
2016-07,9.227,4.3651
2016-08,13.9035,7.2005
2016-09,10.3839,6.5176
2016-10,7.2868,5.8316
2016-11,5.3417,2.6321
2016-12,-9.137,6.5262
2017-01,-1.558,8.6002
2017-02,-0.8732,9.8701
2017-03,10.1641,14.9815
2017-04,14.2344,12.5254
2017-05,19.8166,13.1716
2017-06,28.9012,14.581
2017-07,24.2056,14.626
2017-08,25.2318,16.4591
2017-09,36.1155,15.9061
2017-10,28.2904,17.2911
2017-11,34.5203,19.4181
2017-12,47.4691,21.7575
2018-01,40.4987,22.6249
2018-02,48.5406,28.3844
2018-03,30.0747,21.0506
2018-04,42.2389,18.8566
2018-05,29.6775,18.843
2018-06,29.4512,22.0592
2018-07,33.8486,20.962
2018-08,29.8994,24.4135
2018-09,23.9014,27.7869
2018-10,24.8881,28.1445
2018-11,29.2332,19.3954
2018-12,33.8654,19.8359
2019-01,25.9805,8.7501
2019-02,40.1719,17.203
2019-03,39.857,21.2677
2019-04,50.8777,23.6016
2019-05,54.0632,25.5902
2019-06,62.185,17.8911
2019-07,67.0733,26.7327
2019-08,81.5481,25.8061
2019-09,91.3496,24.2046
2019-10,71.0297,24.595
2019-11,71.6995,29.5299
2019-12,67.8054,32.3145
2020-01,69.5709,35.5516
2020-02,74.1287,34.7733
2020-03,83.3877,23.2161
2020-04,78.9019,2.6957
2020-05,95.2861,17.923
2020-06,114.6628,27.1545
2020-07,101.612,29.2791
2020-08,106.5176,35.3897
2020-09,101.6877,45.4969
2020-10,105.4824,38.8421
2020-11,87.6304,33.8054
2020-12,85.4222,49.4413
2021-01,79.7595,52.4925
2021-02,76.0089,52.5474
2021-03,55.731,57.1165
2021-04,75.9663,62.2404
2021-05,86.3016,68.0147
2021-06,86.904,67.9506
2021-07,96.4957,71.7835
2021-08,107.8223,73.9065
2021-09,121.9422,78.108
2021-10,100.4563,70.559
2021-11,107.2712,79.7147
2021-12,101.305,74.8714
2022-01,129.1884,83.8439
2022-02,88.4544,74.2485
2022-03,83.9583,64.4857
2022-04,102.825,72.8765
2022-05,99.4648,56.3809
2022-06,89.4253,54.7432
2022-07,87.9246,43.9638
2022-08,88.1614,54.5402
2022-09,83.8323,48.4061
2022-10,59.4142,33.808
2022-11,53.7324,43.6413
2022-12,67.6061,51.6237
2023-01,55.226,42.3283
2023-02,66.0782,52.4008
2023-03,39.9172,45.8599
2023-04,43.2922,52.4428
2023-05,42.7823,54.1535
2023-06,20.7679,55.8684
2023-07,26.5817,63.7729
2023-08,24.2941,67.9151
2023-09,21.0057,65.3142
2023-10,9.0541,56.4671
2023-11,13.0337,54.158
2023-12,36.6858,66.8181
2024-01,37.9993,72.7134
2024-02,25.2556,77.0248
2024-03,12.7473,84.7703
2024-04,16.1914,89.0895
2024-05,2.5767,80.3005
2024-06,7.181,89.1407
2024-07,3.3515,96.817
2024-08,23.668,94.9948
2024-09,23.7003,101.4737
2024-10,32.1782,104.2286
2024-11,22.6071,104.0979
2024-12,23.2846,114.1559
2025-01,10.856,108.1307
2025-02,7.3644,112.719
2025-03,18.3433,109.0154
2025-04,20.1459,97.097
2025-05,31.0238,95.2965
2025-06,26.5447,105.2137
2025-07,30.0416,114.7559
2025-08,24.251,115.142
2025-09,11.771,122.2543
2025-10,4.5496,129.8729
2025-11,4.3413,133.4127
2025-12,3.3235,131.7276
2026-01,5.9565,131.8756
2026-02,4.3559,120.852
