Date,rate_ASTS_5D,rate_VOO_20D
2019-11,0.0,0.0
2019-12,0.775,6.6309
2020-01,1.8383,5.8543
2020-02,1.1761,-5.6665
2020-03,-1.1801,-21.3397
2020-04,-0.4207,-7.699
2020-05,-0.5182,-2.3402
2020-06,1.5839,-0.541
2020-07,2.335,6.4149
2020-08,1.3007,15.1601
2020-09,0.8824,8.9964
2020-10,0.6171,4.8457
2020-11,1.3191,18.7922
2020-12,35.6413,23.4491
2021-01,32.4813,21.0478
2021-02,33.3119,24.3277
2021-03,10.3292,31.4873
2021-04,-17.3839,38.9124
2021-05,-31.2103,38.9792
2021-06,26.1617,41.7182
2021-07,4.0837,44.793
2021-08,19.0128,48.8011
2021-09,3.5898,39.4603
2021-10,7.0876,50.2014
2021-11,-5.0842,47.7773
2021-12,-24.0036,54.6866
2022-01,-44.2927,44.0127
2022-02,-29.6624,37.9005
2022-03,0.5307,43.2816
2022-04,-24.2761,27.3047
2022-05,-15.4783,26.9757
2022-06,-35.7965,13.4826
2022-07,-26.9539,25.9336
2022-08,26.2554,18.8982
2022-09,-24.4738,4.7863
2022-10,-23.6886,15.1648
2022-11,-38.4534,22.5253
2022-12,-47.7173,13.2701
2023-01,-40.2339,21.6652
2023-02,-27.4421,17.3197
2023-03,-42.0703,23.341
2023-04,-38.405,25.1508
2023-05,-35.9126,25.282
2023-06,-43.7667,34.6304
2023-07,-47.7751,39.2766
2023-08,-51.3025,35.8141
2023-09,-51.7683,27.346
2023-10,-57.0353,23.371
2023-11,-35.527,36.6814
2023-12,-19.1413,43.5304
2024-01,-61.2835,45.54
2024-02,-55.9675,53.8001
2024-03,-58.7644,60.1106
2024-04,-67.5768,51.6876
2024-05,25.5791,59.9159
2024-06,75.5046,67.1239
2024-07,210.3861,68.4407
2024-08,330.7521,72.2104
2024-09,282.8492,76.8582
2024-10,244.4379,73.9474
2024-11,240.428,84.8622
2024-12,198.2605,78.8637
2025-01,183.0898,83.4419
2025-02,275.3034,79.7545
2025-03,211.2729,67.1663
2025-04,214.5002,64.7183
2025-05,209.4339,75.9827
2025-06,520.4404,85.6049
2025-07,597.4068,89.4888
2025-08,534.095,92.9783
2025-09,528.3646,99.7588
2025-10,915.0436,104.1035
2025-11,602.1144,103.4914
2025-12,796.936,102.573
2026-01,1257.0376,104.821
2026-02,854.5724,101.8647
2026-03,950.9175,97.4978
