Date,rate_APP_5D,rate_VOO_20D
2021-04,0.0,0.522
2021-05,24.2881,-1.7477
2021-06,19.9012,0.8868
2021-07,-2.2272,3.8402
2021-08,12.341,7.6323
2021-09,11.9037,-0.8666
2021-10,32.9239,9.1545
2021-11,17.8077,9.1145
2021-12,9.7698,12.0709
2022-01,-25.6296,2.3873
2022-02,-26.444,-3.1294
2022-03,-21.5518,1.9063
2022-04,-31.0638,-4.1133
2022-05,-32.8032,-5.3231
2022-06,-40.485,-18.3585
2022-07,-44.1046,-6.2331
2022-08,-59.5037,-13.0164
2022-09,-65.3411,-26.6977
2022-10,-67.0919,-16.6887
2022-11,-69.304,-9.5259
2022-12,-75.0693,-15.8213
2023-01,-65.8215,-7.5902
2023-02,-63.2156,-10.8503
2023-03,-54.4979,-6.7255
2023-04,-49.7918,-7.9276
2023-05,-27.2917,-8.1967
2023-06,-26.1921,0.8182
2023-07,-8.7918,5.3235
2023-08,2.16,3.1339
2023-09,-0.2952,-5.0258
2023-10,-6.0215,-8.8372
2023-11,-6.5889,4.085
2023-12,-0.5936,10.736
2024-01,2.4953,12.7111
2024-02,48.2869,20.742
2024-03,56.0403,26.8951
2024-04,56.2733,18.788
2024-05,78.5107,26.7894
2024-06,80.2741,33.7931
2024-07,72.03,34.5526
2024-08,104.125,40.8075
2024-09,135.2158,41.9211
2024-10,158.5243,39.1199
2024-11,201.92,49.6068
2024-12,155.8743,43.8547
2025-01,187.2684,48.2692
2025-02,152.3147,44.7397
2025-03,122.4159,32.656
2025-04,126.1367,32.293
2025-05,226.0791,43.2823
2025-06,205.3534,52.657
2025-07,244.1201,56.434
2025-08,281.5541,55.7817
2025-09,465.0225,62.2889
2025-10,393.6953,66.4749
2025-11,357.7611,65.9315
2025-12,407.3939,65.0815
2026-01,259.2209,67.2578
2026-02,226.3023,64.463
