Date,rate_INSM_5D,rate_VOO_20D
2016-01,-23.028,-3.28
2016-02,-19.1265,-1.8027
2016-03,-8.3653,4.5695
2016-04,-10.0897,3.6217
2016-05,-10.711,4.6859
2016-06,-23.9578,4.2011
2016-07,-8.1215,7.3141
2016-08,4.842,6.5393
2016-09,16.5196,5.8417
2016-10,2.7014,3.4057
2016-11,7.7926,7.0013
2016-12,4.5418,8.6582
2017-01,16.2991,9.9058
2017-02,23.9894,13.4199
2017-03,34.2732,12.5861
2017-04,39.2162,12.9516
2017-05,14.3822,13.7442
2017-06,26.3081,14.6714
2017-07,17.7224,16.2352
2017-08,-10.1284,15.7466
2017-09,126.9447,17.3266
2017-10,91.4307,19.2474
2017-11,116.4106,22.0133
2017-12,111.5203,22.6523
2018-01,68.9688,28.4864
2018-02,58.1521,22.6807
2018-03,45.227,18.8927
2018-04,55.1439,18.6249
2018-05,75.3469,20.8091
2018-06,46.6715,20.9812
2018-07,52.6473,24.5763
2018-08,21.0503,27.7899
2018-09,22.1629,27.6747
2018-10,-11.6268,18.1983
2018-11,8.5069,19.8597
2018-12,-20.6557,8.8011
2019-01,47.9498,17.1215
2019-02,78.8717,20.4441
2019-03,73.2871,22.1999
2019-04,79.526,26.5012
2019-05,41.3496,17.9266
2019-06,48.4172,25.7011
2019-07,26.2915,26.9004
2019-08,-5.5931,24.2426
2019-09,1.4218,26.142
2019-10,6.9027,28.3311
2019-11,32.1956,32.3256
2019-12,36.2558,35.5485
2020-01,16.5801,34.7719
2020-02,40.8999,23.2511
2020-03,-9.7654,7.5779
2020-04,30.065,21.2186
2020-05,36.804,26.5774
2020-06,54.2585,28.3766
2020-07,45.2799,35.3325
2020-08,55.9117,44.0777
2020-09,76.6224,37.914
2020-10,79.6025,33.7633
2020-11,111.0724,47.7098
2020-12,78.5564,52.3667
2021-01,100.1502,49.9654
2021-02,88.9335,53.2453
2021-03,78.4865,60.4049
2021-04,75.4843,67.83
2021-05,27.17,67.8968
2021-06,46.5911,70.6358
2021-07,26.0777,73.7106
2021-08,43.2534,77.7187
2021-09,40.033,68.3779
2021-10,52.6761,79.119
2021-11,38.6547,76.6949
2021-12,36.7569,83.6042
2022-01,13.4659,72.9303
2022-02,19.3092,66.8181
2022-03,17.0564,72.1992
2022-04,9.184,56.2223
2022-05,-6.5585,55.8933
2022-06,-1.9417,42.4002
2022-07,9.9267,54.8512
2022-08,22.2833,47.8158
2022-09,6.7366,33.7039
2022-10,-14.2191,44.0824
2022-11,-8.2623,51.4429
2022-12,-0.8151,42.1877
2023-01,6.8807,50.5828
2023-02,1.098,46.2373
2023-03,-15.4074,52.2586
2023-04,-3.0658,54.0684
2023-05,-5.4019,54.1996
2023-06,4.9293,63.548
2023-07,9.7903,68.1942
2023-08,8.6899,64.7317
2023-09,25.2084,56.2636
2023-10,24.001,52.2886
2023-11,23.5539,65.5989
2023-12,52.6327,72.448
2024-01,36.446,74.4576
2024-02,35.6568,82.7177
2024-03,32.407,89.0282
2024-04,20.3734,80.6052
2024-05,167.4037,88.8335
2024-06,223.4271,96.0415
2024-07,248.8285,97.3583
2024-08,264.1094,101.128
2024-09,245.1925,105.7758
2024-10,216.0239,102.865
2024-11,250.7539,113.7798
2024-12,220.0704,107.7813
2025-01,252.7701,112.3595
2025-02,273.2076,108.6721
2025-03,246.8441,96.0839
2025-04,225.3197,93.6359
2025-05,213.1295,104.9003
2025-06,349.189,114.5225
2025-07,375.6085,118.4064
2025-08,499.2173,121.8959
2025-09,529.5178,128.6764
2025-10,722.8252,133.0211
2025-11,795.0042,132.409
2025-12,644.1682,131.4906
2026-01,565.9641,133.7386
2026-02,529.5459,130.7823
2026-03,512.6402,129.7769
