Date,rate_HON_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.3675,-0.6039
2016-03,7.6803,5.2168
2016-04,7.4518,3.9893
2016-05,5.9286,4.6886
2016-06,7.1134,4.1237
2016-07,6.0181,7.1795
2016-08,6.1274,6.3603
2016-09,5.3387,5.6281
2016-10,-0.8758,3.196
2016-11,3.6514,6.7601
2016-12,5.0501,8.3626
2017-01,7.2813,10.2536
2017-02,12.8402,13.6522
2017-03,12.0364,12.7005
2017-04,16.7807,12.9818
2017-05,17.926,13.693
2017-06,17.0806,13.5288
2017-07,18.545,15.0481
2017-08,19.9315,14.5515
2017-09,21.9109,16.1037
2017-10,22.8725,17.9557
2017-11,32.3497,20.6805
2017-12,28.7928,21.3029
2018-01,34.0716,28.0338
2018-02,26.1601,22.1441
2018-03,19.7553,18.3021
2018-04,19.1735,18.0902
2018-05,21.6955,20.2208
2018-06,17.6849,20.3415
2018-07,29.6771,23.8746
2018-08,28.8541,27.0072
2018-09,34.7553,27.7347
2018-10,21.3088,18.1437
2018-11,22.9197,19.7418
2018-12,9.9894,8.5778
2019-01,19.5556,17.1263
2019-02,28.2471,20.3748
2019-03,31.3907,22.0514
2019-04,42.5203,26.2651
2019-05,34.4921,17.5943
2019-06,41.8626,25.308
2019-07,39.0301,26.4355
2019-08,32.4761,23.7232
2019-09,36.1345,26.1617
2019-10,38.146,28.2707
2019-11,42.5035,32.1761
2019-12,40.3475,35.3247
2020-01,37.3565,35.2749
2020-02,28.5416,23.5454
2020-03,5.5031,7.7105
2020-04,11.8206,21.425
2020-05,15.4452,26.7132
2020-06,14.1126,28.4357
2020-07,17.5814,35.3124
2020-08,30.6246,43.9511
2020-09,29.2393,37.6938
2020-10,28.944,33.4637
2020-11,59.3035,47.2943
2020-12,64.9689,51.8455
2021-01,51.539,50.305
2021-02,56.6781,53.4604
2021-03,66.9054,59.4101
2021-04,70.2757,66.6882
2021-05,75.7175,66.6274
2021-06,65.6871,69.2184
2021-07,75.3935,72.1455
2021-08,73.4517,75.992
2021-09,57.7133,66.6118
2021-10,61.44,77.1553
2021-11,49.1694,74.6519
2021-12,53.0344,81.397
2022-01,49.2949,70.7122
2022-02,38.5651,64.6001
2022-03,41.5639,69.8532
2022-04,40.167,54.0273
2022-05,40.3491,53.6333
2022-06,25.5094,40.2902
2022-07,38.5411,52.5094
2022-08,36.483,45.531
2022-09,19.9182,31.5965
2022-10,46.0929,41.7445
2022-11,57.2943,48.9584
2022-12,52.8194,39.838
2023-01,48.6733,48.5632
2023-02,36.7262,44.2258
2023-03,35.9799,48.9578
2023-04,41.686,50.6836
2023-05,36.0675,50.7741
2023-06,46.8374,59.884
2023-07,36.8496,64.3798
2023-08,32.7844,60.953
2023-09,30.1317,52.6248
2023-10,28.7496,48.7132
2023-11,38.026,61.6976
2023-12,47.2405,68.3392
2024-01,42.0141,71.0275
2024-02,39.8506,79.0476
2024-03,43.9669,83.99
2024-04,34.7447,75.7344
2024-05,41.6915,83.6813
2024-06,49.1568,89.2836
2024-07,42.525,90.5002
2024-08,45.0135,94.0822
2024-09,44.1813,98.2932
2024-10,43.0017,95.412
2024-11,62.1977,105.8418
2024-12,56.6955,99.9875
2025-01,55.1907,105.351
2025-02,47.9298,101.7087
2025-03,46.6604,89.4719
2025-04,45.3235,87.0451
2025-05,56.7665,97.8575
2025-06,60.4945,107.0685
2025-07,52.6632,110.7404
2025-08,51.0011,114.0337
2025-09,44.8452,121.6081
2025-10,46.5491,125.7153
2025-11,40.3604,125.0226
2025-12,42.1067,124.0393
2026-01,65.7086,127.2713
2026-02,88.2885,125.3185
