Date,rate_PNR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.803,-3.7423
2016-03,2.8409,0.3764
2016-04,10.9568,5.1946
2016-05,18.0118,3.5695
2016-06,18.5446,4.8356
2016-07,12.8289,4.3651
2016-08,18.1505,7.2005
2016-09,17.58,6.5176
2016-10,17.4995,5.8316
2016-11,-0.4395,2.6321
2016-12,6.6449,6.5262
2017-01,1.1403,8.6002
2017-02,5.361,9.8701
2017-03,8.113,14.9815
2017-04,12.8126,12.5254
2017-05,15.3864,13.1716
2017-06,17.8737,14.581
2017-07,17.4045,14.626
2017-08,9.9448,16.4591
2017-09,9.477,15.9061
2017-10,18.583,17.2911
2017-11,20.5836,19.4181
2017-12,21.2908,21.7575
2018-01,21.1371,22.6249
2018-02,23.5069,28.3844
2018-03,13.7637,21.0506
2018-04,15.2291,18.8566
2018-05,12.9259,18.843
2018-06,10.067,22.0592
2018-07,5.275,20.962
2018-08,8.3361,24.4135
2018-09,8.7725,27.7869
2018-10,8.0794,28.1445
2018-11,2.8714,19.3954
2018-12,6.6837,19.8359
2019-01,-5.7754,8.7501
2019-02,2.8715,17.203
2019-03,7.0049,21.2677
2019-04,13.8558,23.6016
2019-05,-2.6371,25.5902
2019-06,-12.6592,17.8911
2019-07,-5.8665,26.7327
2019-08,-2.0776,25.8061
2019-09,-9.0,24.2046
2019-10,-6.7711,24.595
2019-11,8.2751,29.5299
2019-12,13.0679,32.3145
2020-01,16.6593,35.5516
2020-02,9.3438,34.7733
2020-03,0.1536,23.2161
2020-04,-30.4375,2.6957
2020-05,-13.8046,17.923
2020-06,0.8064,27.1545
2020-07,-4.5627,29.2791
2020-08,11.3821,35.3897
2020-09,18.2597,45.4969
2020-10,17.4977,38.8421
2020-11,28.9111,33.8054
2020-12,33.0127,49.4413
2021-01,36.4444,52.4925
2021-02,39.837,52.5474
2021-03,48.9831,57.1165
2021-04,58.6556,62.2404
2021-05,63.6031,68.0147
2021-06,77.6219,67.9506
2021-07,70.284,71.7835
2021-08,83.8423,73.9065
2021-09,91.9522,78.108
2021-10,79.3691,70.559
2021-11,81.2667,79.7147
2021-12,76.0504,74.8714
2022-01,76.9064,83.8439
2022-02,53.241,74.2485
2022-03,34.7502,64.4857
2022-04,31.5059,72.8765
2022-05,21.7264,56.3809
2022-06,18.6427,54.7432
2022-07,10.9754,43.9638
2022-08,16.0586,54.5402
2022-09,5.6455,48.4061
2022-10,-2.9087,33.808
2022-11,1.8587,43.6413
2022-12,12.0181,51.6237
2023-01,7.892,42.3283
2023-02,38.618,52.4008
2023-03,32.748,45.8599
2023-04,32.1552,52.4428
2023-05,37.8929,54.1535
2023-06,34.3874,55.8684
2023-07,53.7051,63.7729
2023-08,66.1972,67.9151
2023-09,67.9855,65.3142
2023-10,52.6163,56.4671
2023-11,38.8813,54.158
2023-12,55.7675,66.8181
2024-01,70.2405,72.7134
2024-02,74.9475,77.0248
2024-03,82.3769,84.7703
2024-04,95.6352,89.0895
2024-05,82.8925,80.3005
2024-06,87.3894,89.1407
2024-07,70.5786,96.817
2024-08,97.6066,94.9948
2024-09,103.1241,101.4737
2024-10,120.648,104.2286
2024-11,124.8374,104.0979
2024-12,147.5637,114.1559
2025-01,127.3347,108.1307
2025-02,134.6827,112.719
2025-03,112.1097,109.0154
2025-04,97.2944,97.097
2025-05,104.6799,95.2965
2025-06,122.7018,105.2137
2025-07,134.7416,114.7559
2025-08,125.3869,115.142
2025-09,139.7073,122.2543
2025-10,145.1001,129.8729
2025-11,136.366,133.4127
2025-12,132.3644,131.7276
2026-01,129.2354,131.8756
2026-02,99.1116,120.852
