Date,rate_POOL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.9317,-3.7423
2016-03,0.1576,0.3764
2016-04,8.5846,5.1946
2016-05,5.2334,3.5695
2016-06,9.5532,4.8356
2016-07,11.9852,4.3651
2016-08,18.9124,7.2005
2016-09,14.5123,6.5176
2016-10,6.2559,5.8316
2016-11,1.2288,2.6321
2016-12,12.9387,6.5262
2017-01,15.6881,8.6002
2017-02,15.8341,9.8701
2017-03,27.1454,14.9815
2017-04,28.1132,12.5254
2017-05,26.4237,13.1716
2017-06,26.5053,14.581
2017-07,21.8857,14.626
2017-08,11.0555,16.4591
2017-09,3.356,15.9061
2017-10,10.7468,17.2911
2017-11,22.801,19.4181
2017-12,28.6093,21.7575
2018-01,30.2354,22.6249
2018-02,32.7339,28.3844
2018-03,36.9515,21.0506
2018-04,43.0442,18.8566
2018-05,33.6546,18.843
2018-06,36.4814,22.0592
2018-07,44.494,20.962
2018-08,48.4755,24.4135
2018-09,53.939,27.7869
2018-10,54.8416,28.1445
2018-11,34.3064,19.3954
2018-12,48.4245,19.8359
2019-01,34.5325,8.7501
2019-02,36.2657,17.203
2019-03,42.0912,21.2677
2019-04,49.0331,23.6016
2019-05,59.9313,25.5902
2019-06,57.3589,17.8911
2019-07,66.0207,26.7327
2019-08,62.5145,25.8061
2019-09,67.806,24.2046
2019-10,68.6845,24.595
2019-11,73.9121,29.5299
2019-12,72.1627,32.3145
2020-01,75.5587,35.5516
2020-02,79.6845,34.7733
2020-03,71.3161,23.2161
2020-04,57.512,2.6957
2020-05,73.2543,17.923
2020-06,113.4972,27.1545
2020-07,115.4589,29.2791
2020-08,147.5924,35.3897
2020-09,155.6288,45.4969
2020-10,151.6391,38.8421
2020-11,165.3701,33.8054
2020-12,165.4551,49.4413
2021-01,177.1285,52.4925
2021-02,164.8884,52.5474
2021-03,143.5562,57.1165
2021-04,154.2349,62.2404
2021-05,202.6432,68.0147
2021-06,212.7167,67.9506
2021-07,225.941,71.7835
2021-08,233.5766,73.9065
2021-09,239.9583,78.108
2021-10,199.6066,70.559
2021-11,249.3674,79.7147
2021-12,271.4226,74.8714
2022-01,276.8252,83.8439
2022-02,212.2197,74.2485
2022-03,202.0237,64.4857
2022-04,175.59,72.8765
2022-05,160.5408,56.3809
2022-06,152.5994,54.7432
2022-07,124.4178,43.9638
2022-08,130.0603,54.5402
2022-09,112.4319,48.4061
2022-10,99.3519,33.808
2022-11,90.3682,43.6413
2022-12,109.9562,51.6237
2023-01,86.5548,42.3283
2023-02,144.3324,52.4008
2023-03,112.4295,45.8599
2023-04,108.0407,52.4428
2023-05,109.4323,54.1535
2023-06,88.593,55.8684
2023-07,124.5385,63.7729
2023-08,130.6269,67.9151
2023-09,118.6206,65.3142
2023-10,110.2124,56.4671
2023-11,87.4247,54.158
2023-12,109.5534,66.8181
2024-01,132.3436,72.7134
2024-02,118.4477,77.0248
2024-03,132.4069,84.7703
2024-04,130.4899,89.0895
2024-05,105.3113,80.3005
2024-06,107.2507,89.1407
2024-07,74.515,96.817
2024-08,106.4769,94.9948
2024-09,98.292,101.4737
2024-10,110.8192,104.2286
2024-11,102.7638,104.0979
2024-12,110.2678,114.1559
2025-01,89.1858,108.1307
2025-02,90.1954,112.719
2025-03,90.8873,109.0154
2025-04,74.9115,97.097
2025-05,62.3121,95.2965
2025-06,64.7565,105.2137
2025-07,66.1478,114.7559
2025-08,68.0157,115.142
2025-09,69.2131,122.2543
2025-10,67.7897,129.8729
2025-11,44.4345,133.4127
2025-12,31.9555,131.7276
2026-01,23.7768,131.8756
2026-02,22.4574,131.1612
