Date,rate_DXCM_5D,rate_VOO_20D
2016-01,-9.0125,-3.28
2016-02,-13.2741,-1.8027
2016-03,-5.1837,4.5695
2016-04,-8.7711,3.6217
2016-05,-6.8588,4.6859
2016-06,15.8585,4.2011
2016-07,31.9767,7.3141
2016-08,26.3448,6.5393
2016-09,18.7015,5.8417
2016-10,4.3027,3.4057
2016-11,-13.2391,7.0013
2016-12,-19.4149,8.6582
2017-01,8.7847,9.9058
2017-02,6.7806,13.4199
2017-03,14.9605,12.5861
2017-04,4.9282,12.9516
2017-05,-10.3635,13.7442
2017-06,-1.2878,14.6714
2017-07,-10.0405,16.2352
2017-08,1.2942,15.7466
2017-09,-33.5799,17.3266
2017-10,-37.5436,19.2474
2017-11,-16.7495,22.0133
2017-12,-17.5151,22.6523
2018-01,-15.6424,28.4864
2018-02,-18.0218,22.6807
2018-03,9.3196,18.8927
2018-04,7.5482,18.6249
2018-05,28.9569,20.8091
2018-06,37.9843,20.9812
2018-07,36.9748,24.5763
2018-08,106.0673,27.7899
2018-09,100.9721,27.6747
2018-10,83.9873,18.1983
2018-11,77.1776,19.8597
2018-12,61.824,8.8011
2019-01,88.5122,17.1215
2019-02,83.9267,20.4441
2019-03,55.3361,22.1999
2019-04,56.5849,26.5012
2019-05,55.5487,17.9266
2019-06,90.4787,25.7011
2019-07,97.1788,26.9004
2019-08,113.4175,24.2426
2019-09,83.4192,26.142
2019-10,87.6901,28.3311
2019-11,173.738,32.3256
2019-12,159.9416,35.5485
2020-01,182.4942,34.7719
2020-02,219.6462,23.2511
2020-03,207.6526,7.5779
2020-04,278.0934,21.2186
2020-05,320.7398,26.5774
2020-06,344.4846,28.3766
2020-07,370.8097,35.3325
2020-08,353.3978,44.0777
2020-09,333.3613,37.914
2020-10,231.563,33.7633
2020-11,227.7406,47.7098
2020-12,274.5702,52.3667
2021-01,275.2011,49.9654
2021-02,293.3989,53.2453
2021-03,251.2398,60.4049
2021-04,273.0901,67.83
2021-05,252.9307,67.8968
2021-06,303.5379,70.6358
2021-07,381.6724,73.7106
2021-08,388.9007,77.7187
2021-09,399.136,68.3779
2021-10,462.2778,79.119
2021-11,401.711,76.6949
2021-12,373.5621,83.6042
2022-01,275.6118,72.9303
2022-02,257.5633,66.8181
2022-03,337.7049,72.1992
2022-04,246.0213,56.2223
2022-05,150.0394,55.8933
2022-06,148.3289,42.4002
2022-07,171.3439,54.8512
2022-08,169.6019,47.8158
2022-09,162.0646,33.7039
2022-10,289.9848,44.0824
2022-11,272.1132,51.4429
2022-12,259.2196,42.1877
2023-01,236.8372,50.5828
2023-02,246.3009,46.2373
2023-03,259.4638,52.2586
2023-04,272.3413,54.0684
2023-05,256.8964,54.1996
2023-06,287.9714,63.548
2023-07,272.9828,68.1942
2023-08,200.0156,64.7317
2023-09,175.2113,56.2636
2023-10,160.2608,52.2886
2023-11,236.1381,65.5989
2023-12,258.4139,72.448
2024-01,247.897,74.4576
2024-02,227.4913,82.7177
2024-03,291.8763,89.0282
2024-04,257.261,80.6052
2024-05,230.7349,88.8335
2024-06,213.5709,96.0415
2024-07,86.3728,97.3583
2024-08,89.6638,101.128
2024-09,82.5516,105.7758
2024-10,91.108,102.865
2024-11,110.5142,113.7798
2024-12,108.9003,107.7813
2025-01,132.1056,112.3595
2025-02,134.9968,108.6721
2025-03,80.6861,96.0839
2025-04,88.1175,93.6359
2025-05,125.1754,104.9003
2025-06,127.9658,114.5225
2025-07,109.9567,118.4064
2025-08,94.9824,121.8959
2025-09,73.4401,128.6764
2025-10,49.5518,133.0211
2025-11,62.5737,132.409
2025-12,69.449,131.4906
2026-01,85.8312,133.7386
2026-02,86.1154,130.7823
2026-03,86.2985,129.7769
