Date,rate_BAC_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-10.5905,0.6142
2016-03,-1.6213,6.1243
2016-04,5.7665,4.6014
2016-05,6.1107,5.2878
2016-06,-5.7902,4.687
2016-07,3.9614,7.7174
2016-08,14.7166,6.8637
2016-09,9.744,5.9421
2016-10,14.6667,3.4868
2016-11,40.7576,6.843
2016-12,43.1525,8.2789
2017-01,42.9156,9.3935
2017-02,52.2209,12.821
2017-03,41.9654,12.0413
2017-04,37.8601,12.4367
2017-05,30.1598,13.2406
2017-06,38.7651,14.1802
2017-07,35.9297,15.6892
2017-08,33.4468,15.2834
2017-09,39.8099,16.8657
2017-10,49.1539,18.7799
2017-11,51.7918,21.509
2017-12,56.8113,22.1709
2018-01,67.3985,27.9258
2018-02,61.7471,22.2578
2018-03,49.4934,18.4465
2018-04,47.3537,18.162
2018-05,41.9954,20.337
2018-06,36.3456,20.5057
2018-07,47.9667,24.0401
2018-08,46.6642,27.2093
2018-09,38.9726,27.1082
2018-10,31.5843,17.9327
2018-11,34.3283,19.5577
2018-12,16.4267,8.5722
2019-01,34.0042,16.8959
2019-02,36.5737,20.2219
2019-03,28.6434,21.9603
2019-04,41.6962,26.2654
2019-05,22.6872,20.4953
2019-06,33.6392,25.3574
2019-07,40.5207,26.514
2019-08,33.4929,24.0717
2019-09,40.7818,25.9454
2019-10,50.8083,27.4086
2019-11,59.5031,31.384
2019-12,68.0556,34.5804
2020-01,55.4954,33.8021
2020-02,33.832,22.3336
2020-03,8.1412,15.1867
2020-04,14.0694,29.6272
2020-05,9.2743,28.2305
2020-06,9.0488,28.0341
2020-07,12.8699,33.4885
2020-08,14.424,42.106
2020-09,10.4117,38.2475
2020-10,3.8025,34.0563
2020-11,19.3731,42.9575
2020-12,25.4702,47.5016
2021-01,29.9861,45.1166
2021-02,41.9753,43.0879
2021-03,52.9568,49.8512
2021-04,57.0126,56.911
2021-05,63.299,54.6413
2021-06,58.517,57.2758
2021-07,46.661,60.2291
2021-08,58.8759,64.0213
2021-09,61.4689,55.5224
2021-10,80.7245,65.5435
2021-11,67.1531,65.5034
2021-12,67.6504,68.4598
2022-01,73.0957,58.7763
2022-02,67.2473,53.2596
2022-03,61.8894,58.2953
2022-04,39.386,52.2757
2022-05,39.6022,51.0659
2022-06,17.0842,38.0304
2022-07,26.9099,50.1558
2022-08,25.8295,43.3725
2022-09,13.4357,29.6913
2022-10,35.0791,39.7003
2022-11,39.2636,46.8631
2022-12,37.2817,40.5677
2023-01,41.9235,48.7988
2023-02,40.6525,45.5387
2023-03,36.4626,49.6635
2023-04,39.2941,48.4614
2023-05,29.1688,48.1923
2023-06,33.989,57.2072
2023-07,49.0288,61.7125
2023-08,41.0474,59.5229
2023-09,35.0179,51.3631
2023-10,30.8227,47.5518
2023-11,52.2082,60.474
2023-12,67.4426,67.125
2024-01,68.4386,69.1001
2024-02,71.4521,77.1309
2024-03,87.5513,83.2841
2024-04,80.0981,75.177
2024-05,93.7168,83.1784
2024-06,95.1733,90.182
2024-07,101.4062,90.9416
2024-08,108.5453,97.1965
2024-09,100.2499,98.31
2024-10,110.0346,95.5089
2024-11,122.747,105.9957
2024-12,108.6572,100.2436
2025-01,118.763,104.6582
2025-02,116.7148,101.1287
2025-03,98.8804,89.045
2025-04,89.2487,88.6819
2025-05,108.4917,99.6712
2025-06,119.572,109.046
2025-07,113.4921,112.823
2025-08,128.1093,112.1707
2025-09,126.099,118.6779
2025-10,133.1334,122.8639
2025-11,132.882,122.3204
2025-12,141.3265,121.4705
2026-01,132.2726,123.6468
2026-02,116.5401,120.852
