Date,rate_STT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.5111,-0.6039
2016-03,5.368,5.2168
2016-04,10.333,3.9893
2016-05,9.2777,4.6886
2016-06,-7.2858,4.1237
2016-07,14.2045,7.1795
2016-08,19.9191,6.3603
2016-09,17.2867,5.6281
2016-10,16.4342,3.196
2016-11,28.8149,6.7601
2016-12,25.0779,8.3626
2017-01,22.6459,10.2536
2017-02,26.4097,13.6522
2017-03,24.758,12.7005
2017-04,29.7796,12.9818
2017-05,24.181,13.693
2017-06,35.6084,13.5288
2017-07,38.7015,15.0481
2017-08,35.5333,14.5515
2017-09,38.7072,16.1037
2017-10,31.7397,17.9557
2017-11,34.9971,20.6805
2017-12,37.1894,21.3029
2018-01,54.7188,28.0338
2018-02,46.8453,22.1441
2018-03,36.8252,18.3021
2018-04,35.5701,18.0902
2018-05,29.3515,20.2208
2018-06,24.7385,20.3415
2018-07,17.4816,23.8746
2018-08,15.0704,27.0072
2018-09,11.5503,27.7347
2018-10,-8.8466,18.1437
2018-11,-2.9673,19.7418
2018-12,-15.4794,8.5778
2019-01,-5.0869,17.1263
2019-02,-3.6705,20.3748
2019-03,-11.108,22.0514
2019-04,-8.4027,26.2651
2019-05,-24.9724,17.5943
2019-06,-22.6125,25.308
2019-07,-19.263,26.4355
2019-08,-28.1621,23.7232
2019-09,-16.4231,26.1617
2019-10,-6.1421,28.2707
2019-11,6.7672,32.1761
2019-12,13.0021,35.3247
2020-01,8.0795,35.2749
2020-02,-2.8526,23.5454
2020-03,-23.2498,7.7105
2020-04,-8.4087,21.425
2020-05,-11.1287,26.7132
2020-06,-6.4117,28.4357
2020-07,-5.8769,35.3124
2020-08,0.5619,43.9511
2020-09,-11.622,37.6938
2020-10,-12.027,33.4637
2020-11,5.4917,47.2943
2020-12,9.5488,51.8455
2021-01,5.3942,50.305
2021-02,9.4394,53.4604
2021-03,26.8097,59.4101
2021-04,26.211,66.6882
2021-05,30.2698,66.6274
2021-06,23.5024,69.2184
2021-07,30.3176,72.1455
2021-08,38.4039,75.992
2021-09,26.5,66.6118
2021-10,46.5881,77.1553
2021-11,31.6648,74.6519
2021-12,37.9557,81.397
2022-01,39.5477,70.7122
2022-02,25.4526,64.6001
2022-03,28.6157,69.8532
2022-04,-1.417,54.0273
2022-05,6.6837,53.6333
2022-06,-8.4685,40.2902
2022-07,5.5196,52.5094
2022-08,1.4595,45.531
2022-09,-8.825,31.5965
2022-10,10.9694,41.7445
2022-11,19.3009,48.9584
2022-12,16.8635,39.838
2023-01,37.4141,48.5632
2023-02,32.9285,44.2258
2023-03,14.0321,48.9578
2023-04,8.6946,50.6836
2023-05,2.2232,50.7741
2023-06,10.8565,59.884
2023-07,9.5624,64.3798
2023-08,3.8581,60.953
2023-09,2.1434,52.6248
2023-10,-1.4191,48.7132
2023-11,11.0814,61.6976
2023-12,19.0499,68.3392
2024-01,13.5833,71.0275
2024-02,13.2232,79.0476
2024-03,19.6313,83.99
2024-04,11.9496,75.7344
2024-05,16.5838,83.6813
2024-06,13.9555,89.2836
2024-07,31.8871,90.5002
2024-08,34.858,94.0822
2024-09,36.9779,98.2932
2024-10,44.5356,95.412
2024-11,52.9311,105.8418
2024-12,51.8339,99.9875
2025-01,58.3775,105.351
2025-02,54.1401,101.7087
2025-03,38.6025,89.4719
2025-04,37.1657,87.0451
2025-05,49.4848,97.8575
2025-06,64.559,107.0685
2025-07,73.4749,110.7404
2025-08,77.7748,114.0337
2025-09,79.3824,121.6081
2025-10,79.4177,125.7153
2025-11,83.851,125.0226
2025-12,98.4414,124.0393
2026-01,102.5785,127.2713
2026-02,72.685,125.3185
