Date,rate_IBM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.2712,-3.7423
2016-03,4.1348,0.3764
2016-04,16.5978,5.1946
2016-05,7.5732,3.5695
2016-06,13.864,4.8356
2016-07,11.4171,4.3651
2016-08,16.3286,7.2005
2016-09,13.914,6.5176
2016-10,11.8701,5.8316
2016-11,6.451,2.6321
2016-12,11.6959,6.5262
2017-01,14.9862,8.6002
2017-02,19.5174,9.8701
2017-03,24.2561,14.9815
2017-04,17.3677,12.5254
2017-05,6.0599,13.1716
2017-06,2.59,14.581
2017-07,3.2179,14.626
2017-08,-2.6705,16.4591
2017-09,-2.3542,15.9061
2017-10,-1.5693,17.2911
2017-11,4.5738,19.4181
2017-12,5.8816,21.7575
2018-01,4.7168,22.6249
2018-02,10.6422,28.3844
2018-03,5.4166,21.0506
2018-04,4.9514,18.8566
2018-05,-0.9855,18.843
2018-06,-1.9659,22.0592
2018-07,-3.4596,20.962
2018-08,-0.7223,24.4135
2018-09,2.4456,27.7869
2018-10,6.9239,28.1445
2018-11,-18.5112,19.3954
2018-12,-11.6601,19.8359
2019-01,-18.9026,8.7501
2019-02,-3.7274,17.203
2019-03,1.1613,21.2677
2019-04,4.1065,23.6016
2019-05,2.0128,25.5902
2019-06,-6.7072,17.8911
2019-07,2.9344,26.7327
2019-08,10.5411,25.8061
2019-09,0.6356,24.2046
2019-10,6.6539,24.595
2019-11,0.4796,29.5299
2019-12,0.8676,32.3145
2020-01,0.5387,35.5516
2020-02,7.7929,34.7733
2020-03,1.1049,23.2161
2020-04,-18.3457,2.6957
2020-05,-4.946,17.923
2020-06,-1.2243,27.1545
2020-07,-6.2279,29.2791
2020-08,-2.6317,35.3897
2020-09,1.6526,45.4969
2020-10,-0.2842,38.8421
2020-11,-8.0467,33.8054
2020-12,2.9165,49.4413
2021-01,5.1367,52.4925
2021-02,0.5945,52.5474
2021-03,2.1103,57.1165
2021-04,12.633,62.2404
2021-05,19.7338,68.0147
2021-06,25.5146,67.9506
2021-07,27.422,71.7835
2021-08,21.9252,73.9065
2021-09,21.5841,78.108
2021-10,24.7681,70.559
2021-11,9.6208,79.7147
2021-12,7.519,74.8714
2022-01,22.7904,83.8439
2022-02,24.1904,74.2485
2022-03,12.4017,64.4857
2022-04,20.3725,72.8765
2022-05,22.0041,56.3809
2022-06,29.883,54.7432
2022-07,31.0667,43.9638
2022-08,22.2645,54.5402
2022-09,21.3105,48.4061
2022-10,10.9156,33.808
2022-11,28.861,43.6413
2022-12,40.2381,51.6237
2023-01,32.0077,42.3283
2023-02,26.2112,52.4008
2023-03,21.0122,45.8599
2023-04,23.5001,52.4428
2023-05,18.5316,54.1535
2023-06,23.3802,55.8684
2023-07,26.9018,63.7729
2023-08,35.6125,67.9151
2023-09,41.1397,65.3142
2023-10,33.4289,56.4671
2023-11,37.9095,54.158
2023-12,53.4071,66.8181
2024-01,55.7043,72.7134
2024-02,77.2767,77.0248
2024-03,79.2823,84.7703
2024-04,80.0247,89.0895
2024-05,55.2426,80.3005
2024-06,58.5425,89.1407
2024-07,65.7768,96.817
2024-08,78.8688,94.9948
2024-09,94.5249,101.4737
2024-10,110.114,104.2286
2024-11,98.4942,104.0979
2024-12,117.3348,114.1559
2025-01,109.038,108.1307
2025-02,141.9824,112.719
2025-03,139.1941,109.0154
2025-04,135.9583,97.097
2025-05,124.7289,95.2965
2025-06,146.4289,105.2137
2025-07,175.5518,114.7559
2025-08,135.3015,115.142
2025-09,132.711,122.2543
2025-10,172.4663,129.8729
2025-11,190.7931,133.4127
2025-12,189.1325,131.7276
2026-01,178.6546,131.8756
2026-02,124.1071,120.852
