Date,rate_CF_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-25.4079,-3.7423
2016-03,5.4512,0.3764
2016-04,-8.1744,5.1946
2016-05,-3.4103,3.5695
2016-06,-17.8344,4.8356
2016-07,-25.4117,4.3651
2016-08,-21.15,7.2005
2016-09,-13.5804,6.5176
2016-10,-16.3763,5.8316
2016-11,-12.8581,2.6321
2016-12,2.9537,6.5262
2017-01,12.5676,8.6002
2017-02,29.8494,9.8701
2017-03,13.1366,14.9815
2017-04,2.4769,12.5254
2017-05,-6.8177,13.1716
2017-06,-4.322,14.581
2017-07,-0.7885,14.626
2017-08,3.7203,16.4591
2017-09,9.4108,15.9061
2017-10,27.7803,17.2911
2017-11,36.8759,19.4181
2017-12,34.7349,21.7575
2018-01,50.8336,22.6249
2018-02,45.4034,28.3844
2018-03,44.9664,21.0506
2018-04,29.8096,18.8566
2018-05,31.9488,18.843
2018-06,37.9492,22.0592
2018-07,49.9528,20.962
2018-08,47.4361,24.4135
2018-09,72.8058,27.7869
2018-10,79.9545,28.1445
2018-11,65.4467,19.3954
2018-12,36.1461,19.8359
2019-01,39.3664,8.7501
2019-02,38.268,17.203
2019-03,34.3553,21.2677
2019-04,32.0188,23.6016
2019-05,35.8282,25.5902
2019-06,26.379,17.8911
2019-07,45.3723,26.7327
2019-08,62.4007,25.8061
2019-09,49.1104,24.2046
2019-10,50.9032,24.595
2019-11,41.0745,29.5299
2019-12,40.9256,32.3145
2020-01,44.7077,35.5516
2020-02,21.3237,34.7733
2020-03,11.5309,23.2161
2020-04,-21.9437,2.6957
2020-05,-19.2163,17.923
2020-06,-8.8537,27.1545
2020-07,-11.9325,29.2791
2020-08,-3.0871,35.3897
2020-09,6.1894,45.4969
2020-10,-5.1314,38.8421
2020-11,-12.2585,33.8054
2020-12,22.3176,49.4413
2021-01,25.8758,52.4925
2021-02,39.2556,52.5474
2021-03,51.9442,57.1165
2021-04,51.1472,62.2404
2021-05,59.2539,68.0147
2021-06,82.6308,67.9506
2021-07,72.2712,71.7835
2021-08,54.3071,73.9065
2021-09,49.0561,78.108
2021-10,101.6353,70.559
2021-11,88.5587,79.7147
2021-12,89.2615,74.8714
2022-01,132.2896,83.8439
2022-02,142.459,74.2485
2022-03,166.9892,64.4857
2022-04,220.8311,72.8765
2022-05,208.4937,56.3809
2022-06,205.4058,54.7432
2022-07,170.3382,43.9638
2022-08,196.9863,54.5402
2022-09,223.1516,48.4061
2022-10,201.0907,33.808
2022-11,234.4736,43.6413
2022-12,220.0797,51.6237
2023-01,160.9742,42.3283
2023-02,159.3225,52.4008
2023-03,158.2839,45.8599
2023-04,118.3317,52.4428
2023-05,115.3695,54.1535
2023-06,82.8018,55.8684
2023-07,109.5935,63.7729
2023-08,143.9899,67.9151
2023-09,137.4428,65.3142
2023-10,155.4152,56.4671
2023-11,134.5823,54.158
2023-12,125.663,66.8181
2024-01,133.7305,72.7134
2024-02,124.5765,77.0248
2024-03,141.2058,84.7703
2024-04,142.1894,89.0895
2024-05,125.2798,80.3005
2024-06,130.5323,89.1407
2024-07,110.9918,96.817
2024-08,116.836,94.9948
2024-09,137.8803,101.4737
2024-10,148.2948,104.2286
2024-11,137.9771,104.0979
2024-12,156.6781,114.1559
2025-01,142.8682,108.1307
2025-02,161.0634,112.719
2025-03,133.7257,109.0154
2025-04,128.4106,97.097
2025-05,127.3489,95.2965
2025-06,159.1512,105.2137
2025-07,162.8107,114.7559
2025-08,158.7658,115.142
2025-09,147.7537,122.2543
2025-10,145.9168,129.8729
2025-11,135.7902,133.4127
2025-12,129.0419,131.7276
2026-01,120.9341,131.8756
2026-02,187.2771,131.1612
