Date,rate_ED_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.8055,-1.8027
2016-03,15.2363,4.5695
2016-04,8.3771,3.6217
2016-05,5.7502,4.6859
2016-06,14.8714,4.2011
2016-07,12.2288,7.3141
2016-08,4.9232,6.5393
2016-09,4.5017,5.8417
2016-10,4.3957,3.4057
2016-11,-2.8413,7.0013
2016-12,2.8757,8.6582
2017-01,3.5822,9.9058
2017-02,8.1116,13.4199
2017-03,8.5196,12.5861
2017-04,10.2346,12.9516
2017-05,15.4442,13.7442
2017-06,11.821,14.6714
2017-07,14.0008,16.2352
2017-08,16.1743,15.7466
2017-09,10.5154,17.3266
2017-10,17.3358,19.2474
2017-11,21.5708,22.0133
2017-12,15.1451,22.6523
2018-01,8.3705,28.4864
2018-02,1.7462,22.6807
2018-03,5.8337,18.8927
2018-04,8.5895,18.6249
2018-05,4.6807,20.8091
2018-06,6.291,20.9812
2018-07,7.3781,24.5763
2018-08,8.1638,27.7899
2018-09,4.1792,27.6747
2018-10,3.8135,18.1983
2018-11,10.622,19.8597
2018-12,4.9989,8.8011
2019-01,6.4911,17.1215
2019-02,13.9368,20.4441
2019-03,16.8134,22.1999
2019-04,18.2572,26.5012
2019-05,19.0409,17.9266
2019-06,20.4791,25.7011
2019-07,16.2922,26.9004
2019-08,22.2689,24.2426
2019-09,29.3853,26.142
2019-10,25.6932,28.3311
2019-11,18.9513,32.3256
2019-12,23.4332,35.5485
2020-01,27.7456,34.7719
2020-02,7.7015,23.2511
2020-03,6.432,7.5779
2020-04,7.4072,21.2186
2020-05,3.2583,26.5774
2020-06,-1.0985,28.3766
2020-07,5.618,35.3325
2020-08,-0.9624,44.0777
2020-09,8.0862,37.914
2020-10,8.8765,33.7633
2020-11,6.6859,47.7098
2020-12,0.9982,52.3667
2021-01,-1.0969,49.9654
2021-02,-7.1545,53.2453
2021-03,5.829,60.4049
2021-04,9.4308,67.83
2021-05,10.1382,67.8968
2021-06,2.1582,70.6358
2021-07,5.0229,73.7106
2021-08,8.4365,77.7187
2021-09,4.1808,68.3779
2021-10,8.1671,79.119
2021-11,12.3535,76.6949
2021-12,23.2538,83.6042
2022-01,24.5621,72.9303
2022-02,24.394,66.8181
2022-03,36.9569,72.1992
2022-04,33.6592,56.2223
2022-05,43.7124,55.8933
2022-06,37.1715,42.4002
2022-07,42.6596,54.8512
2022-08,41.0799,47.8158
2022-09,23.3308,33.7039
2022-10,26.1987,44.0824
2022-11,41.4145,51.4429
2022-12,37.0054,42.1877
2023-01,36.5699,50.5828
2023-02,28.7953,46.2373
2023-03,37.5753,52.2586
2023-04,41.1574,54.0684
2023-05,34.4662,54.1996
2023-06,29.9551,63.548
2023-07,36.012,68.1942
2023-08,28.3689,64.7317
2023-09,23.1467,56.2636
2023-10,26.1437,52.2886
2023-11,30.3335,65.5989
2023-12,31.2176,72.448
2024-01,30.7952,74.4576
2024-02,26.3595,82.7177
2024-03,31.297,89.0282
2024-04,36.1625,80.6052
2024-05,37.2084,88.8335
2024-06,29.424,96.0415
2024-07,40.8308,97.3583
2024-08,47.4176,101.128
2024-09,50.6803,105.7758
2024-10,46.6642,102.865
2024-11,45.8703,113.7798
2024-12,29.0354,107.7813
2025-01,35.2692,112.3595
2025-02,47.36,108.6721
2025-03,60.0468,96.0839
2025-04,62.6277,93.6359
2025-05,51.432,104.9003
2025-06,45.0021,114.5225
2025-07,49.143,118.4064
2025-08,42.3678,121.8959
2025-09,45.3122,128.6764
2025-10,40.4676,133.0211
2025-11,45.588,132.409
2025-12,43.7549,131.4906
2026-01,53.9354,133.7386
2026-02,61.9661,130.7823
2026-03,60.3444,126.4154
