Date,rate_WTW_5D,rate_VOO_20D
2016-01,2.6663,1.4254
2016-02,-2.1711,0.6142
2016-03,2.8376,6.1243
2016-04,7.6682,4.6014
2016-05,8.5866,5.2878
2016-06,3.437,4.687
2016-07,2.4151,7.7174
2016-08,2.6382,6.8637
2016-09,9.8766,5.9421
2016-10,3.2457,3.4868
2016-11,2.0162,6.843
2016-12,0.5076,8.2789
2017-01,2.6374,9.3935
2017-02,5.139,12.821
2017-03,7.1005,12.0413
2017-04,8.0613,12.4367
2017-05,18.9136,13.2406
2017-06,17.2314,14.1802
2017-07,19.0128,15.6892
2017-08,17.7091,15.2834
2017-09,21.6983,16.8657
2017-10,26.0649,18.7799
2017-11,24.722,21.509
2017-12,16.2595,22.1709
2018-01,23.0871,27.9258
2018-02,19.0253,22.2578
2018-03,15.3265,18.4465
2018-04,14.1865,18.162
2018-05,15.6455,20.337
2018-06,15.8138,20.5057
2018-07,21.1859,24.0401
2018-08,11.5411,27.2093
2018-09,6.8621,27.1082
2018-10,8.3173,17.9327
2018-11,18.6253,19.5577
2018-12,17.8249,8.5722
2019-01,25.7908,16.8959
2019-02,32.158,20.2219
2019-03,34.5683,21.9603
2019-04,40.2933,26.2654
2019-05,30.2428,20.4953
2019-06,41.7502,25.3574
2019-07,43.4201,26.514
2019-08,41.6592,24.0717
2019-09,38.5702,25.9454
2019-10,33.4843,27.4086
2019-11,39.5221,31.384
2019-12,43.0522,34.5804
2020-01,48.6657,33.8021
2020-02,41.5362,22.3336
2020-03,32.5211,15.1867
2020-04,43.3254,29.6272
2020-05,51.8076,28.2305
2020-06,49.9234,28.0341
2020-07,58.9125,33.4885
2020-08,54.5619,42.106
2020-09,56.5291,38.2475
2020-10,49.9145,34.0563
2020-11,62.0268,42.9575
2020-12,60.5902,47.5016
2021-01,51.9784,45.1166
2021-02,66.3956,43.0879
2021-03,69.3243,49.8512
2021-04,90.2403,56.911
2021-05,91.8722,54.6413
2021-06,80.5296,57.2758
2021-07,60.6558,60.2291
2021-08,71.0653,64.0213
2021-09,77.9352,55.5224
2021-10,79.6994,65.5435
2021-11,66.5115,65.5034
2021-12,74.6817,68.4598
2022-01,71.0775,58.7763
2022-02,59.7781,53.2596
2022-03,69.4768,58.2953
2022-04,57.0407,52.2757
2022-05,58.405,51.0659
2022-06,48.0555,38.0304
2022-07,54.5633,50.1558
2022-08,53.8161,43.3725
2022-09,49.3698,29.6913
2022-10,61.4856,39.7003
2022-11,81.3182,46.8631
2022-12,79.1381,40.5677
2023-01,82.8992,48.7988
2023-02,73.5091,45.5387
2023-03,67.7696,49.6635
2023-04,66.3187,48.4614
2023-05,57.5323,48.1923
2023-06,69.3969,57.2072
2023-07,51.3259,61.7125
2023-08,47.5671,59.5229
2023-09,49.2065,51.3631
2023-10,53.8496,47.5518
2023-11,60.0266,60.474
2023-12,56.6608,67.125
2024-01,59.3767,69.1001
2024-02,75.6343,77.1309
2024-03,76.9501,83.2841
2024-04,60.8184,75.177
2024-05,61.8546,83.1784
2024-06,67.2446,90.182
2024-07,79.3804,90.9416
2024-08,79.2994,97.1965
2024-09,80.5595,98.31
2024-10,84.4624,95.5089
2024-11,89.6954,105.9957
2024-12,84.241,100.2436
2025-01,93.5638,104.6582
2025-02,98.6064,101.1287
2025-03,93.8455,89.045
2025-04,75.8016,88.6819
2025-05,80.096,99.6712
2025-06,74.2182,109.046
2025-07,78.8438,112.823
2025-08,84.3577,112.1707
2025-09,94.6027,118.6779
2025-10,75.6545,122.8639
2025-11,79.4073,122.3204
2025-12,83.4896,121.4705
2026-01,77.1613,123.6468
2026-02,69.5498,120.852
