Date,rate_SOFI_5D,rate_VOO_20D
2021-01,0.0,0.0
2021-02,10.8981,3.7852
2021-03,-1.5775,10.9448
2021-04,-2.2162,18.3699
2021-05,16.3707,18.4366
2021-06,6.3861,21.1756
2021-07,-14.4251,24.2505
2021-08,-19.7412,28.2586
2021-09,-8.0202,18.9177
2021-10,16.8941,29.6588
2021-11,-2.0742,27.2347
2021-12,-9.4359,34.1441
2022-01,-27.8961,23.4702
2022-02,-32.4021,17.3579
2022-03,-42.2804,22.7391
2022-04,-60.8072,6.7622
2022-05,-47.7504,6.4331
2022-06,-61.0412,-7.06
2022-07,-49.6941,5.391
2022-08,-50.5013,-1.6443
2022-09,-57.147,-15.7563
2022-10,-49.3465,-5.3778
2022-11,-53.303,1.9827
2022-12,-53.2295,-7.2724
2023-01,-26.5455,1.1227
2023-02,-29.2879,-3.2229
2023-03,-33.8747,2.7985
2023-04,-30.8929,4.6083
2023-05,-21.3079,4.7395
2023-06,-4.5326,14.0879
2023-07,31.2281,18.7341
2023-08,-1.2064,15.2716
2023-09,-8.8487,6.8034
2023-10,-13.6162,2.8285
2023-11,-16.2225,16.1388
2023-12,14.663,22.9878
2024-01,-10.056,24.9974
2024-02,3.4796,33.2575
2024-03,-15.9324,39.5681
2024-04,-21.5176,31.145
2024-05,-19.6464,39.3734
2024-06,-22.571,46.5813
2024-07,-11.0202,47.8982
2024-08,-5.3225,51.6679
2024-09,-6.7449,56.3156
2024-10,32.7843,53.4049
2024-11,94.0328,64.3197
2024-12,80.2588,58.3211
2025-01,83.0258,62.8994
2025-02,66.3186,59.2119
2025-03,32.6534,46.6237
2025-04,41.958,44.1757
2025-05,50.0739,55.4402
2025-06,104.1659,65.0624
2025-07,150.8618,68.9462
2025-08,180.8148,72.4358
2025-09,187.2052,79.2162
2025-10,219.0489,83.561
2025-11,215.761,82.9488
2025-12,175.0341,82.0304
2026-01,137.1443,84.2784
2026-02,82.9417,81.3222
2026-03,62.4103,68.1497
2026-04,63.6956,89.9262
2026-05,84.0934,101.3773
2026-06,79.8829,97.063
2026-07,62.5196,95.8535
2026-08,86.6509,100.9563
