Date,rate_EL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.1045,-3.7423
2016-03,7.2762,0.3764
2016-04,8.504,5.1946
2016-05,6.5977,3.5695
2016-06,2.4255,4.8356
2016-07,0.7209,4.3651
2016-08,2.3677,7.2005
2016-09,-2.5069,6.5176
2016-10,-2.6683,5.8316
2016-11,-4.9019,2.6321
2016-12,-15.5908,6.5262
2017-01,-13.6454,8.6002
2017-02,-8.6844,9.8701
2017-03,-2.1473,14.9815
2017-04,-1.1492,12.5254
2017-05,1.7045,13.1716
2017-06,11.7839,14.581
2017-07,12.7909,14.626
2017-08,15.1845,16.4591
2017-09,25.6291,15.9061
2017-10,24.2997,17.2911
2017-11,39.5034,19.4181
2017-12,41.2001,21.7575
2018-01,42.24,22.6249
2018-02,48.6319,28.3844
2018-03,51.5129,21.0506
2018-04,61.6735,18.8566
2018-05,54.3654,18.843
2018-06,56.5381,22.0592
2018-07,48.6993,20.962
2018-08,38.6084,24.4135
2018-09,43.6028,27.7869
2018-10,48.0253,28.1445
2018-11,42.748,19.3954
2018-12,42.6704,19.8359
2019-01,29.0256,8.7501
2019-02,34.7637,17.203
2019-03,54.0426,21.2677
2019-04,60.2905,23.6016
2019-05,64.1098,25.5902
2019-06,54.1063,17.8911
2019-07,72.9338,26.7327
2019-08,71.7333,25.8061
2019-09,84.6761,24.2046
2019-10,82.1086,24.595
2019-11,70.5672,29.5299
2019-12,77.9889,32.3145
2020-01,86.349,35.5516
2020-02,74.4144,34.7733
2020-03,63.1066,23.2161
2020-04,35.224,2.6957
2020-05,51.3518,17.923
2020-06,74.6892,27.1545
2020-07,63.7065,29.2791
2020-08,69.5949,35.3897
2020-09,89.5625,45.4969
2020-10,86.7463,38.8421
2020-11,85.3586,33.8054
2020-12,108.2741,49.4413
2021-01,122.3544,52.4925
2021-02,100.1988,52.5474
2021-03,141.7951,57.1165
2021-04,138.2222,62.2404
2021-05,153.3983,68.0147
2021-06,143.6849,67.9506
2021-07,151.8307,71.7835
2021-08,162.7465,73.9065
2021-09,168.9383,78.108
2021-10,140.4592,70.559
2021-11,149.5572,79.7147
2021-12,148.0429,74.8714
2022-01,179.9116,83.8439
2022-02,136.0911,74.2485
2022-03,113.7049,64.4857
2022-04,103.8797,72.8765
2022-05,94.8733,56.3809
2022-06,85.3974,54.7432
2022-07,88.7889,43.9638
2022-08,100.0932,54.5402
2022-09,83.0432,48.4061
2022-10,56.4508,33.808
2022-11,49.1671,43.6413
2022-12,67.156,51.6237
2023-01,77.9372,42.3283
2023-02,100.3424,52.4008
2023-03,74.8381,45.8599
2023-04,74.4221,52.4428
2023-05,73.864,54.1535
2023-06,28.6515,55.8684
2023-07,37.7974,63.7729
2023-08,22.4452,67.9151
2023-09,13.3543,65.3142
2023-10,1.2022,56.4671
2023-11,-26.8406,54.158
2023-12,-6.8198,66.8181
2024-01,3.3634,72.7134
2024-02,-4.8325,77.0248
2024-03,5.6704,84.7703
2024-04,7.8824,89.0895
2024-05,-9.6835,80.3005
2024-06,-11.498,89.1407
2024-07,-23.8286,96.817
2024-08,-29.5873,94.9948
2024-09,-31.8369,101.4737
2024-10,-26.8753,104.2286
2024-11,-49.759,104.0979
2024-12,-44.2762,114.1559
2025-01,-41.642,108.1307
2025-02,-34.6412,112.719
2025-03,-42.8442,109.0154
2025-04,-45.4123,97.097
2025-05,-52.2841,95.2965
2025-06,-44.3776,105.2137
2025-07,-28.7869,114.7559
2025-08,-23.5583,115.142
2025-09,-22.7752,122.2543
2025-10,-26.9532,129.8729
2025-11,-17.809,133.4127
2025-12,-18.4521,131.7276
2026-01,-9.6651,131.8756
2026-02,-12.6555,120.852
