Date,rate_DASH_5D,rate_VOO_20D
2020-12,0.0,3.4817
2021-01,0.0,1.9412
2021-02,-11.3179,5.0966
2021-03,-28.0528,11.0463
2021-04,-14.5849,18.3244
2021-05,-7.1222,18.2636
2021-06,11.3931,20.8546
2021-07,7.1156,23.7817
2021-08,16.175,27.6282
2021-09,22.8883,18.248
2021-10,14.1636,28.7915
2021-11,3.5074,26.2881
2021-12,-13.143,33.0332
2022-01,-32.6807,22.3484
2022-02,-35.6408,16.2363
2022-03,-25.3789,21.4894
2022-04,-47.029,5.6635
2022-05,-47.4417,5.2695
2022-06,-53.6494,-8.0736
2022-07,-46.9002,4.1456
2022-08,-52.5215,-2.8328
2022-09,-58.6701,-16.7673
2022-10,-61.3708,-6.6194
2022-11,-44.9862,0.5946
2022-12,-52.2462,-8.5258
2023-01,-43.3737,0.1994
2023-02,-44.9992,-4.138
2023-03,-33.9918,0.594
2023-04,-35.2733,2.3198
2023-05,-29.6816,2.4103
2023-06,-16.6656,11.5202
2023-07,-0.5062,16.016
2023-08,-7.6486,12.5892
2023-09,-12.548,4.261
2023-10,-17.1668,0.3494
2023-11,4.3882,13.3337
2023-12,9.6038,19.9754
2024-01,15.4751,22.6637
2024-02,37.4079,30.6838
2024-03,50.689,35.6262
2024-04,40.157,27.3706
2024-05,18.5742,35.3175
2024-06,16.6583,40.9198
2024-07,18.3179,42.1364
2024-08,37.0706,45.7184
2024-09,51.9919,49.9294
2024-10,65.534,47.0482
2024-11,88.9091,57.478
2024-12,73.7937,51.6236
2025-01,95.6232,56.9872
2025-02,103.3525,53.3449
2025-03,85.2765,41.1081
2025-04,93.6352,38.6813
2025-05,107.3118,49.4937
2025-06,142.2921,58.7047
2025-07,143.1894,62.3766
2025-08,135.6427,65.6699
2025-09,161.3028,73.2443
2025-10,141.5597,77.3515
2025-11,86.4428,76.6588
2025-12,110.964,75.6755
2026-01,90.6144,78.9075
2026-02,60.7868,76.9547
