Date,rate_UDR_5D,rate_VOO_20D
2016-01,-2.9754,-3.28
2016-02,-5.6446,-1.8027
2016-03,6.4943,4.5695
2016-04,-3.9823,3.6217
2016-05,-0.1232,4.6859
2016-06,2.8266,4.2011
2016-07,4.115,7.3141
2016-08,0.5462,6.5393
2016-09,-0.0129,5.8417
2016-10,-2.0199,3.4057
2016-11,-4.3762,7.0013
2016-12,3.0261,8.6582
2017-01,0.9825,9.9058
2017-02,5.5136,13.4199
2017-03,4.4673,12.5861
2017-04,8.1756,12.9516
2017-05,11.2994,13.7442
2017-06,11.7218,14.6714
2017-07,12.3292,16.2352
2017-08,10.9395,15.7466
2017-09,8.1742,17.3266
2017-10,12.5883,19.2474
2017-11,13.5412,22.0133
2017-12,10.6665,22.6523
2018-01,5.4418,28.4864
2018-02,-2.9872,22.6807
2018-03,2.8848,18.8927
2018-04,7.1022,18.6249
2018-05,7.7738,20.8091
2018-06,10.637,20.9812
2018-07,13.9974,24.5763
2018-08,17.9403,27.7899
2018-09,18.746,27.6747
2018-10,15.5466,18.1983
2018-11,25.1602,19.8597
2018-12,15.7114,8.8011
2019-01,28.2245,17.1215
2019-02,29.4603,20.4441
2019-03,31.722,22.1999
2019-04,30.4594,26.5012
2019-05,29.2595,17.9266
2019-06,28.8782,25.7011
2019-07,32.5121,26.9004
2019-08,37.8281,24.2426
2019-09,37.8394,26.142
2019-10,42.9919,28.3311
2019-11,35.8922,32.3256
2019-12,31.3503,35.5485
2020-01,35.0526,34.7719
2020-02,26.1407,23.2511
2020-03,2.0789,7.5779
2020-04,5.8489,21.2186
2020-05,4.464,26.5774
2020-06,5.4697,28.3766
2020-07,2.9952,35.3325
2020-08,-1.0059,44.0777
2020-09,-7.2263,37.914
2020-10,-10.0349,33.7633
2020-11,10.9664,47.7098
2020-12,10.6616,52.3667
2021-01,13.6462,49.9654
2021-02,21.3969,53.2453
2021-03,28.9214,60.4049
2021-04,37.0899,67.83
2021-05,39.982,67.8968
2021-06,43.2865,70.6358
2021-07,63.273,73.7106
2021-08,59.4778,77.7187
2021-09,55.532,68.3779
2021-10,63.222,79.119
2021-11,65.8584,76.6949
2021-12,74.4696,83.6042
2022-01,67.4951,72.9303
2022-02,60.8494,66.8181
2022-03,67.3389,72.1992
2022-04,57.6628,56.2223
2022-05,40.9687,55.8933
2022-06,35.2731,42.4002
2022-07,45.0541,54.8512
2022-08,34.0632,47.8158
2022-09,24.2227,33.7039
2022-10,21.523,44.0824
2022-11,26.4615,51.4429
2022-12,17.8357,42.1877
2023-01,32.7965,50.5828
2023-02,33.1625,46.2373
2023-03,27.3002,52.2586
2023-04,33.0151,54.0684
2023-05,27.3325,54.1996
2023-06,37.5414,63.548
2023-07,34.5139,68.1942
2023-08,30.9685,64.7317
2023-09,16.8039,56.2636
2023-10,8.1337,52.2886
2023-11,13.5069,65.5989
2023-12,29.911,72.448
2024-01,23.347,74.4576
2024-02,21.3,82.7177
2024-03,27.5799,89.0282
2024-04,31.0479,80.6052
2024-05,32.6296,88.8335
2024-06,40.9687,96.0415
2024-07,38.3377,97.3583
2024-08,53.2,101.128
2024-09,55.5383,105.7758
2024-10,45.7147,102.865
2024-11,57.97,113.7798
2024-12,49.0283,107.7813
2025-01,47.2276,112.3595
2025-02,58.8808,108.6721
2025-03,58.3154,96.0839
2025-04,47.8102,93.6359
2025-05,45.7644,104.9003
2025-06,43.2592,114.5225
2025-07,39.0013,118.4064
2025-08,39.6892,121.8959
2025-09,31.2216,128.6764
2025-10,19.9375,133.0211
2025-11,29.4634,132.409
2025-12,30.1473,131.4906
2026-01,33.0824,133.7386
2026-02,34.0599,130.7823
2026-03,33.6048,129.7769
