Date,rate_SYK_5D,rate_VOO_20D
2016-01,10.043,-3.28
2016-02,5.7779,-1.8027
2016-03,11.5543,4.5695
2016-04,10.1093,3.6217
2016-05,10.1946,4.6859
2016-06,17.1686,4.2011
2016-07,11.3029,7.3141
2016-08,9.2248,6.5393
2016-09,9.2969,5.8417
2016-10,7.3809,3.4057
2016-11,5.1995,7.0013
2016-12,10.9364,8.6582
2017-01,13.4997,9.9058
2017-02,17.1219,13.4199
2017-03,19.0107,12.5861
2017-04,22.0406,12.9516
2017-05,26.5838,13.7442
2017-06,21.7639,14.6714
2017-07,27.8,16.2352
2017-08,21.4837,15.7466
2017-09,21.3812,17.3266
2017-10,31.2728,19.2474
2017-11,30.8681,22.0133
2017-12,29.0132,22.6523
2018-01,35.7133,28.4864
2018-02,32.5203,22.6807
2018-03,30.758,18.8927
2018-04,36.4894,18.6249
2018-05,38.9052,20.8091
2018-06,33.8742,20.9812
2018-07,28.3839,24.5763
2018-08,32.2729,27.7899
2018-09,38.033,27.6747
2018-10,25.0292,18.1983
2018-11,34.3397,19.8597
2018-12,20.3803,8.8011
2019-01,35.6965,17.1215
2019-02,43.0524,20.4441
2019-03,49.069,22.1999
2019-04,41.4271,26.5012
2019-05,36.2397,17.9266
2019-06,52.2494,25.7011
2019-07,54.0998,26.9004
2019-08,60.7471,24.2426
2019-09,57.3814,26.142
2019-10,56.1658,28.3311
2019-11,46.8509,32.3256
2019-12,49.8922,35.5485
2020-01,49.4117,34.7719
2020-02,34.3065,23.2511
2020-03,17.166,7.5779
2020-04,31.1676,21.2186
2020-05,37.1552,26.5774
2020-06,26.033,28.3766
2020-07,34.6251,35.3325
2020-08,37.3654,44.0777
2020-09,44.1281,37.914
2020-10,38.9994,33.7633
2020-11,59.7794,47.7098
2020-12,67.1223,52.3667
2021-01,49.7517,49.9654
2021-02,63.4952,53.2453
2021-03,63.4833,60.4049
2021-04,75.1761,67.83
2021-05,69.1505,67.8968
2021-06,71.4467,70.6358
2021-07,77.7027,73.7106
2021-08,80.5643,77.7187
2021-09,71.1577,68.3779
2021-10,71.6226,79.119
2021-11,51.7792,76.6949
2021-12,71.1143,83.6042
2022-01,57.8278,72.9303
2022-02,66.7196,66.8181
2022-03,68.7816,72.1992
2022-04,51.5244,56.2223
2022-05,46.6321,55.8933
2022-06,24.3826,42.4002
2022-07,33.8822,54.8512
2022-08,27.5441,47.8158
2022-09,25.9795,33.7039
2022-10,42.2032,44.0824
2022-11,44.6073,51.4429
2022-12,51.0157,42.1877
2023-01,56.1385,50.5828
2023-02,60.9162,46.2373
2023-03,74.418,52.2586
2023-04,82.1766,54.0684
2023-05,66.7017,54.1996
2023-06,84.1404,63.548
2023-07,70.2072,68.1942
2023-08,69.5413,64.7317
2023-09,63.1228,56.2636
2023-10,60.6403,52.2886
2023-11,75.4403,65.5989
2023-12,76.963,72.448
2024-01,97.3354,74.4576
2024-02,104.2726,82.7177
2024-03,108.7922,89.0282
2024-04,95.322,80.6052
2024-05,97.0526,88.8335
2024-06,96.9973,96.0415
2024-07,88.7104,97.3583
2024-08,106.7353,101.128
2024-09,106.6543,105.7758
2024-10,102.8298,102.865
2024-11,122.1303,113.7798
2024-12,103.401,107.7813
2025-01,120.5175,112.3595
2025-02,116.5661,108.6721
2025-03,108.2104,96.0839
2025-04,108.169,93.6359
2025-05,112.0349,104.9003
2025-06,118.6706,114.5225
2025-07,116.0406,118.4064
2025-08,114.3447,121.8959
2025-09,101.9884,128.6764
2025-10,93.8469,133.0211
2025-11,101.1434,132.409
2025-12,90.1451,131.4906
2026-01,99.6323,133.7386
2026-02,108.4405,130.7823
2026-03,107.3236,129.7769
