Date,rate_XYL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.859,-0.6039
2016-03,12.1309,5.2168
2016-04,11.0964,3.9893
2016-05,16.3941,4.6886
2016-06,13.4892,4.1237
2016-07,19.2773,7.1795
2016-08,24.6171,6.3603
2016-09,25.7242,5.6281
2016-10,13.4573,3.196
2016-11,20.2999,6.7601
2016-12,13.8059,8.3626
2017-01,13.3247,10.2536
2017-02,9.9862,13.6522
2017-03,13.7762,12.7005
2017-04,15.601,12.9818
2017-05,16.6309,13.693
2017-06,22.8632,13.5288
2017-07,24.4089,15.0481
2017-08,34.8083,14.5515
2017-09,34.2485,16.1037
2017-10,40.7866,17.9557
2017-11,45.175,20.6805
2017-12,40.8555,21.3029
2018-01,49.2403,28.0338
2018-02,52.173,22.1441
2018-03,54.8507,18.3021
2018-04,44.8352,18.0902
2018-05,38.7924,20.2208
2018-06,31.4151,20.3415
2018-07,48.0327,23.8746
2018-08,45.6489,27.0072
2018-09,53.2256,27.7347
2018-10,24.7983,18.1437
2018-11,37.8042,19.7418
2018-12,24.9489,8.5778
2019-01,33.4511,17.1263
2019-02,40.9189,20.3748
2019-03,46.1498,22.0514
2019-04,52.785,26.2651
2019-05,35.1356,17.5943
2019-06,51.1424,25.308
2019-07,43.7988,26.4355
2019-08,36.6245,23.7232
2019-09,41.9748,26.1617
2019-10,36.2758,28.2707
2019-11,36.7578,32.1761
2019-12,38.1649,35.3247
2020-01,43.1974,35.2749
2020-02,35.1044,23.5454
2020-03,12.9816,7.7105
2020-04,24.6162,21.425
2020-05,15.0145,26.7132
2020-06,12.3187,28.4357
2020-07,25.9301,35.3124
2020-08,38.1996,43.9511
2020-09,44.1412,37.6938
2020-10,48.4586,33.4637
2020-11,62.8858,47.2943
2020-12,71.483,51.8455
2021-01,62.7297,50.305
2021-02,67.0008,53.4604
2021-03,75.0838,59.4101
2021-04,82.7971,66.6882
2021-05,94.0401,66.6274
2021-06,95.4105,69.2184
2021-07,103.3222,72.1455
2021-08,118.8245,75.992
2021-09,96.8088,66.6118
2021-10,106.1972,77.1553
2021-11,90.1425,74.6519
2021-12,86.9336,81.397
2022-01,62.5962,70.7122
2022-02,37.3886,64.6001
2022-03,31.2014,69.8532
2022-04,23.4351,54.0273
2022-05,29.2588,53.6333
2022-06,19.5724,40.2902
2022-07,40.4044,52.5094
2022-08,38.8995,45.531
2022-09,32.6707,31.5965
2022-10,54.9726,41.7445
2022-11,69.5852,48.9584
2022-12,65.9827,39.838
2023-01,56.1427,48.5632
2023-02,53.8661,44.2258
2023-03,56.2624,48.9578
2023-04,54.2788,50.6836
2023-05,48.6986,50.7741
2023-06,66.4082,59.884
2023-07,65.8017,64.3798
2023-08,52.0289,60.953
2023-09,33.1301,52.6248
2023-10,36.3873,48.7132
2023-11,53.2695,61.6976
2023-12,66.0345,68.3392
2024-01,63.2483,71.0275
2024-02,84.1329,79.0476
2024-03,86.3354,83.99
2024-04,87.48,75.7344
2024-05,101.7528,83.6813
2024-06,93.0113,89.2836
2024-07,89.0351,90.5002
2024-08,94.2772,94.0822
2024-09,90.7562,98.2932
2024-10,71.1914,95.412
2024-11,77.9282,105.8418
2024-12,62.1329,99.9875
2025-01,73.3364,105.351
2025-02,82.6847,101.7087
2025-03,65.9871,89.4719
2025-04,66.861,87.0451
2025-05,74.29,97.8575
2025-06,78.136,107.0685
2025-07,98.2784,110.7404
2025-08,93.7262,114.0337
2025-09,101.8273,121.6081
2025-10,105.4154,125.7153
2025-11,91.1836,125.0226
2025-12,84.2711,124.0393
2026-01,86.5573,127.2713
2026-02,40.0745,125.3185
