Date,rate_SNA_5D,rate_VOO_20D
2016-01,1.5772,1.4254
2016-02,-8.6833,0.6142
2016-03,0.7453,6.1243
2016-04,1.412,4.6014
2016-05,2.682,5.2878
2016-06,0.354,4.687
2016-07,-0.1403,7.7174
2016-08,-2.1675,6.8637
2016-09,-2.7849,5.9421
2016-10,-1.1427,3.4868
2016-11,7.5736,6.843
2016-12,9.0992,8.2789
2017-01,14.7466,9.3935
2017-02,6.773,12.821
2017-03,5.5733,12.0413
2017-04,4.5083,12.4367
2017-05,0.9268,13.2406
2017-06,-1.4534,14.1802
2017-07,-3.7543,15.6892
2017-08,-7.2313,15.2834
2017-09,-5.9318,16.8657
2017-10,-0.1201,18.7799
2017-11,7.6799,21.509
2017-12,10.4715,22.1709
2018-01,8.0689,27.9258
2018-02,0.3817,22.2578
2018-03,-6.4418,18.4465
2018-04,-7.6666,18.162
2018-05,-4.2249,20.337
2018-06,4.1497,20.5057
2018-07,9.6976,24.0401
2018-08,14.5179,27.2093
2018-09,18.3971,27.1082
2018-10,-0.673,17.9327
2018-11,7.8575,19.5577
2018-12,-5.9243,8.5722
2019-01,7.6547,16.8959
2019-02,5.5276,20.2219
2019-03,3.1084,21.9603
2019-04,10.7229,26.2654
2019-05,5.9228,20.4953
2019-06,9.8698,25.3574
2019-07,1.0448,26.514
2019-08,-0.9315,24.0717
2019-09,3.8671,25.9454
2019-10,7.8102,27.4086
2019-11,6.841,31.384
2019-12,12.56,34.5804
2020-01,5.8331,33.8021
2020-02,-2.131,22.3336
2020-03,-8.9597,15.1867
2020-04,9.4117,29.6272
2020-05,0.3906,28.2305
2020-06,-2.4834,28.0341
2020-07,1.2423,33.4885
2020-08,3.8505,42.106
2020-09,-1.2172,38.2475
2020-10,4.1832,34.0563
2020-11,10.2377,42.9575
2020-12,8.73,47.5016
2021-01,14.1841,45.1166
2021-02,29.3533,43.0879
2021-03,39.4234,49.8512
2021-04,40.0997,56.911
2021-05,43.734,54.6413
2021-06,38.3081,57.2758
2021-07,34.3745,60.2291
2021-08,34.8964,64.0213
2021-09,24.827,55.5224
2021-10,21.0265,65.5435
2021-11,23.0801,65.5034
2021-12,21.9568,68.4598
2022-01,18.5424,58.7763
2022-02,16.1078,53.2596
2022-03,12.5514,58.2953
2022-04,16.1045,52.2757
2022-05,14.0051,51.0659
2022-06,1.1071,38.0304
2022-07,14.9461,50.1558
2022-08,12.3203,43.3725
2022-09,3.6287,29.6913
2022-10,14.1507,39.7003
2022-11,25.9731,46.8631
2022-12,22.5894,40.5677
2023-01,29.1465,48.7988
2023-02,27.8198,45.5387
2023-03,27.4883,49.6635
2023-04,29.5184,48.4614
2023-05,27.0392,48.1923
2023-06,42.2798,57.2072
2023-07,31.6464,61.7125
2023-08,30.2315,59.5229
2023-09,23.3496,51.3631
2023-10,24.4889,47.5518
2023-11,33.1659,60.474
2023-12,39.6372,67.125
2024-01,39.7656,69.1001
2024-02,35.2387,77.1309
2024-03,44.8769,83.2841
2024-04,30.7448,75.177
2024-05,35.4695,83.1784
2024-06,29.4546,90.182
2024-07,41.8324,90.9416
2024-08,38.3067,97.1965
2024-09,37.6372,98.31
2024-10,56.4368,95.5089
2024-11,59.3047,105.9957
2024-12,54.7308,100.2436
2025-01,62.1364,104.6582
2025-02,56.1822,101.1287
2025-03,53.7792,89.045
2025-04,36.1904,88.6819
2025-05,39.7813,99.6712
2025-06,35.2678,109.046
2025-07,39.5137,112.823
2025-08,38.5147,112.1707
2025-09,47.2205,118.6779
2025-10,42.1705,122.8639
2025-11,46.828,122.3204
2025-12,48.4003,121.4705
2026-01,57.2062,123.6468
2026-02,64.8883,120.852
