Date,rate_CL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.5614,-1.8027
2016-03,7.0429,4.5695
2016-04,6.0626,3.6217
2016-05,4.105,4.6859
2016-06,7.2816,4.2011
2016-07,8.628,7.3141
2016-08,7.3002,6.5393
2016-09,6.2148,5.8417
2016-10,2.1988,3.4057
2016-11,-6.7007,7.0013
2016-12,-5.8226,8.6582
2017-01,-6.0508,9.9058
2017-02,6.6034,13.4199
2017-03,6.4255,12.5861
2017-04,4.9408,12.9516
2017-05,10.922,13.7442
2017-06,7.0825,14.6714
2017-07,5.6605,16.2352
2017-08,4.6061,15.7466
2017-09,6.1666,17.3266
2017-10,4.1461,19.2474
2017-11,6.9022,22.0133
2017-12,10.9827,22.6523
2018-01,9.3608,28.4864
2018-02,1.3334,22.6807
2018-03,5.2646,18.8927
2018-04,-3.7532,18.6249
2018-05,-6.7686,20.8091
2018-06,-3.9761,20.9812
2018-07,0.0314,24.5763
2018-08,-0.8123,27.7899
2018-09,0.0173,27.6747
2018-10,-10.397,18.1983
2018-11,-4.1532,19.8597
2018-12,-10.0713,8.8011
2019-01,-1.3538,17.1215
2019-02,0.4758,20.4441
2019-03,4.5252,22.1999
2019-04,11.5341,26.5012
2019-05,6.4778,17.9266
2019-06,9.4474,25.7011
2019-07,9.9747,26.9004
2019-08,13.4477,24.2426
2019-09,12.173,26.142
2019-10,5.1451,28.3311
2019-11,3.9141,32.3256
2019-12,5.3922,35.5485
2020-01,13.4797,34.7719
2020-02,3.6956,23.2511
2020-03,1.7701,7.5779
2020-04,9.7654,21.2186
2020-05,12.888,26.5774
2020-06,14.0856,28.3766
2020-07,21.9927,35.3325
2020-08,24.8387,44.0777
2020-09,21.1202,37.914
2020-10,24.1671,33.7633
2020-11,34.328,47.7098
2020-12,33.5406,52.3667
2021-01,23.3708,49.9654
2021-02,18.5606,53.2453
2021-03,23.9563,60.4049
2021-04,27.2198,67.83
2021-05,31.6335,67.8968
2021-06,27.3782,70.6358
2021-07,24.7811,73.7106
2021-08,21.9928,77.7187
2021-09,17.971,68.3779
2021-10,19.3634,79.119
2021-11,17.2705,76.6949
2021-12,33.1053,83.6042
2022-01,30.2617,72.9303
2022-02,21.2215,66.8181
2022-03,19.1967,72.1992
2022-04,21.5815,56.2223
2022-05,24.0685,55.8933
2022-06,25.8571,42.4002
2022-07,24.0469,54.8512
2022-08,22.8581,47.8158
2022-09,10.0895,33.7039
2022-10,16.3139,44.0824
2022-11,21.838,51.4429
2022-12,23.6265,42.1877
2023-01,18.8924,50.5828
2023-02,16.6951,46.2373
2023-03,19.4518,52.2586
2023-04,27.3629,54.0684
2023-05,18.4175,54.1996
2023-06,22.4282,63.548
2023-07,21.7063,68.1942
2023-08,17.0208,64.7317
2023-09,13.0925,56.2636
2023-10,21.5978,52.2886
2023-11,27.2665,65.5989
2023-12,28.4972,72.448
2024-01,37.7281,74.4576
2024-02,41.0446,82.7177
2024-03,46.3639,89.0282
2024-04,51.3672,80.6052
2024-05,52.5621,88.8335
2024-06,58.7147,96.0415
2024-07,64.102,97.3583
2024-08,75.458,101.128
2024-09,70.3303,105.7758
2024-10,55.6368,102.865
2024-11,59.9585,113.7798
2024-12,49.9759,107.7813
2025-01,43.4214,112.3595
2025-02,50.3932,108.6721
2025-03,54.0966,96.0839
2025-04,54.5452,93.6359
2025-05,55.3838,104.9003
2025-06,51.5016,114.5225
2025-07,41.9294,118.4064
2025-08,41.9505,121.8959
2025-09,34.6416,128.6764
2025-10,32.1246,133.0211
2025-11,37.5609,132.409
2025-12,34.9158,131.4906
2026-01,54.6994,133.7386
2026-02,69.3532,130.7823
2026-03,44.944,117.6607
