Date,rate_LTC-USD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.2917,-1.8027
2016-03,-2.0223,4.5695
2016-04,10.786,3.6217
2016-05,37.6864,4.6859
2016-06,18.2176,4.2011
2016-07,10.4677,7.3141
2016-08,3.7416,6.5393
2016-09,4.4247,5.8417
2016-10,8.0808,3.4057
2016-11,4.4532,7.0013
2016-12,15.5669,8.6582
2017-01,7.5564,9.9058
2017-02,-1.0424,13.4199
2017-03,74.9131,12.5861
2017-04,300.4046,12.9516
2017-05,516.2499,13.7442
2017-06,836.1194,14.6714
2017-07,851.2786,16.2352
2017-08,1400.6173,15.7466
2017-09,1012.1586,17.3266
2017-10,978.0258,19.2474
2017-11,1540.7905,22.0133
2017-12,4041.1586,22.6523
2018-01,2700.9973,28.4864
2018-02,3250.612,22.6807
2018-03,1756.5147,18.8927
2018-04,2184.0554,18.6249
2018-05,1656.5771,20.8091
2018-06,1072.5778,20.9812
2018-07,1014.6489,24.5763
2018-08,741.5238,27.7899
2018-09,708.4979,27.6747
2018-10,537.0096,18.1983
2018-11,303.2182,19.8597
2018-12,274.9638,8.8011
2019-01,281.6771,17.1215
2019-02,446.5061,20.4441
2019-03,602.9164,22.1999
2019-04,740.9213,26.5012
2019-05,1168.7319,17.9266
2019-06,1224.4943,25.7011
2019-07,944.3724,26.9004
2019-08,570.6025,24.2426
2019-09,471.1074,26.142
2019-10,488.1096,28.3311
2019-11,366.6513,32.3256
2019-12,299.7067,35.5485
2020-01,546.1148,34.7719
2020-02,447.7791,23.2511
2020-03,261.8969,7.5779
2020-04,324.1609,21.2186
2020-05,307.9642,26.5774
2020-06,265.7942,28.3766
2020-07,404.7955,35.3325
2020-08,424.1897,44.0777
2020-09,292.0866,37.914
2020-10,363.9661,33.7633
2020-11,621.0991,47.7098
2020-12,911.984,52.3667
2021-01,936.0332,49.9654
2021-02,1199.426,53.2453
2021-03,1433.1094,60.4049
2021-04,1974.1103,67.83
2021-05,1317.2713,67.8968
2021-06,971.1841,70.6358
2021-07,962.6021,73.7106
2021-08,1141.7814,77.7187
2021-09,993.0523,68.3779
2021-10,1251.0904,79.119
2021-11,1346.0177,76.6949
2021-12,905.3593,83.6042
2022-01,642.7295,72.9303
2022-02,659.9995,66.8181
2022-03,718.9953,72.1992
2022-04,529.2874,56.2223
2022-05,342.7952,55.8933
2022-06,243.9156,42.4002
2022-07,280.6619,54.8512
2022-08,239.0664,47.8158
2022-09,233.1712,33.7039
2022-10,240.7742,44.0824
2022-11,386.3318,51.4429
2022-12,325.2646,42.1877
2023-01,467.7535,50.5828
2023-02,459.1715,46.2373
2023-03,429.5932,52.2586
2023-04,417.9424,54.0684
2023-05,424.8908,54.1996
2023-06,521.3616,63.548
2023-07,425.0426,68.1942
2023-08,260.832,64.7317
2023-09,269.8991,56.2636
2023-10,282.9853,52.2886
2023-11,282.7237,65.5989
2023-12,298.077,72.448
2024-01,262.1897,74.4576
2024-02,330.5017,82.7177
2024-03,461.9316,89.0282
2024-04,321.2749,80.6052
2024-05,337.7664,88.8335
2024-06,292.9279,96.0415
2024-07,263.7297,97.3583
2024-08,234.8042,101.128
2024-09,241.594,105.7758
2024-10,251.4661,102.865
2024-11,417.8563,113.7798
2024-12,415.8649,107.7813
2025-01,535.9105,112.3595
2025-02,530.8619,108.6721
2025-03,306.3207,96.0839
2025-04,305.9022,93.6359
2025-05,320.5844,104.9003
2025-06,312.275,114.5225
2025-07,405.9662,118.4064
2025-08,415.1586,121.8959
2025-09,402.1713,128.6764
2025-10,345.525,133.0211
2025-11,282.6305,132.409
2025-12,253.7194,131.4906
2026-01,172.1937,133.7386
2026-02,147.8177,130.7823
2026-03,144.5044,117.6098
2026-04,148.9897,139.3863
2026-05,133.5789,150.8374
2026-06,87.2827,146.5232
2026-07,97.3682,145.3136
2026-08,100.7342,151.6251
