Date,rate_COR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.9411,-1.8027
2016-03,-5.6672,4.5695
2016-04,-5.8364,3.6217
2016-05,-15.4275,4.6859
2016-06,-8.0216,4.2011
2016-07,-0.2279,7.3141
2016-08,2.2112,6.5393
2016-09,-5.2816,5.8417
2016-10,-16.9922,3.4057
2016-11,-5.7343,7.0013
2016-12,-4.995,8.6582
2017-01,6.4363,9.9058
2017-02,11.4185,13.4199
2017-03,6.9663,12.5861
2017-04,-1.2094,12.9516
2017-05,10.9322,13.7442
2017-06,13.5444,14.6714
2017-07,11.9869,16.2352
2017-08,-4.2147,15.7466
2017-09,-1.0378,17.3266
2017-10,-7.8983,19.2474
2017-11,3.2766,22.0133
2017-12,11.6179,22.6523
2018-01,20.6356,28.4864
2018-02,16.2683,22.6807
2018-03,4.9012,18.8927
2018-04,10.0169,18.6249
2018-05,0.8926,20.8091
2018-06,4.6264,20.9812
2018-07,0.2712,24.5763
2018-08,11.7254,27.7899
2018-09,14.1503,27.6747
2018-10,8.5292,18.1983
2018-11,10.7675,19.8597
2018-12,-7.4971,8.8011
2019-01,3.8571,17.1215
2019-02,5.6434,20.4441
2019-03,2.1261,22.1999
2019-04,-4.012,26.5012
2019-05,1.6458,17.9266
2019-06,12.8315,25.7011
2019-07,15.0046,26.9004
2019-08,9.7238,24.2426
2019-09,14.4494,26.142
2019-10,18.3717,28.3311
2019-11,23.0885,32.3256
2019-12,20.2816,35.5485
2020-01,20.6262,34.7719
2020-02,19.064,23.2511
2020-03,26.2811,7.5779
2020-04,27.5184,21.2186
2020-05,36.8879,26.5774
2020-06,45.6924,28.3766
2020-07,44.0746,35.3325
2020-08,40.5731,44.0777
2020-09,41.5588,37.914
2020-10,39.6629,33.7633
2020-11,51.077,47.7098
2020-12,44.2599,52.3667
2021-01,52.9812,49.9654
2021-02,48.3841,53.2453
2021-03,73.8916,60.4049
2021-04,76.7626,67.83
2021-05,68.6977,67.8968
2021-06,69.1553,70.6358
2021-07,79.3222,73.7106
2021-08,80.1374,77.7187
2021-09,76.783,68.3779
2021-10,79.4487,79.119
2021-11,71.1772,76.6949
2021-12,97.5364,83.6042
2022-01,101.0834,72.9303
2022-02,110.9977,66.8181
2022-03,127.4255,72.1992
2022-04,120.7485,56.2223
2022-05,126.2466,55.8933
2022-06,105.4247,42.4002
2022-07,110.4857,54.8512
2022-08,111.9813,47.8158
2022-09,94.4493,33.7039
2022-10,124.5307,44.0824
2022-11,142.8092,51.4429
2022-12,134.0657,42.1877
2023-01,137.046,50.5828
2023-02,117.5166,46.2373
2023-03,122.4719,52.2586
2023-04,130.3783,54.0684
2023-05,134.1021,54.1996
2023-06,163.0115,63.548
2023-07,153.7212,68.1942
2023-08,137.9712,64.7317
2023-09,141.8554,56.2636
2023-10,147.2567,52.2886
2023-11,171.888,65.5989
2023-12,172.7524,72.448
2024-01,206.9679,74.4576
2024-02,209.3292,82.7177
2024-03,216.8333,89.0282
2024-04,209.5665,80.6052
2024-05,192.1474,88.8335
2024-06,188.6366,96.0415
2024-07,202.8119,97.3583
2024-08,204.9047,101.128
2024-09,184.6386,105.7758
2024-10,186.6669,102.865
2024-11,216.258,113.7798
2024-12,180.7159,107.7813
2025-01,215.7129,112.3595
2025-02,215.6392,108.6721
2025-03,244.0386,96.0839
2025-04,259.7745,93.6359
2025-05,257.7501,104.9003
2025-06,265.9926,114.5225
2025-07,246.9998,118.4064
2025-08,253.5116,121.8959
2025-09,276.536,128.6764
2025-10,304.4447,133.0211
2025-11,341.0306,132.409
2025-12,301.2337,131.4906
2026-01,324.0822,133.7386
2026-02,339.383,130.7823
2026-03,313.7716,122.952
