Date,rate_CME_5D,rate_VOO_20D
2016-01,1.298,-3.28
2016-02,2.6231,-1.8027
2016-03,7.0676,4.5695
2016-04,0.6254,3.6217
2016-05,6.958,4.6859
2016-06,5.8956,4.2011
2016-07,10.406,7.3141
2016-08,15.4902,6.5393
2016-09,10.3605,5.8417
2016-10,4.7269,3.4057
2016-11,17.6146,7.0013
2016-12,32.4365,8.6582
2017-01,36.3637,9.9058
2017-02,34.1947,13.4199
2017-03,29.4593,12.5861
2017-04,24.8281,12.9516
2017-05,24.508,13.7442
2017-06,32.1158,14.6714
2017-07,27.7081,16.2352
2017-08,29.5354,15.7466
2017-09,38.8022,17.3266
2017-10,38.5409,19.2474
2017-11,49.2128,22.0133
2017-12,47.7874,22.6523
2018-01,53.2719,28.4864
2018-02,63.5339,22.6807
2018-03,57.6715,18.8927
2018-04,51.7101,18.6249
2018-05,54.9016,20.8091
2018-06,54.5899,20.9812
2018-07,48.369,24.5763
2018-08,61.1969,27.7899
2018-09,57.1428,27.6747
2018-10,67.2213,18.1983
2018-11,71.4496,19.8597
2018-12,71.145,8.8011
2019-01,63.9784,17.1215
2019-02,61.947,20.4441
2019-03,45.7682,22.1999
2019-04,57.1495,26.5012
2019-05,67.2786,17.9266
2019-06,69.3211,25.7011
2019-07,67.9165,26.9004
2019-08,85.8461,24.2426
2019-09,79.5475,26.142
2019-10,73.135,28.3311
2019-11,69.1116,32.3256
2019-12,68.6947,35.5485
2020-01,80.937,34.7719
2020-02,64.2475,23.2511
2020-03,42.4975,7.5779
2020-04,46.1373,21.2186
2020-05,48.88,26.5774
2020-06,32.4318,28.3766
2020-07,34.694,35.3325
2020-08,41.8784,44.0777
2020-09,34.984,37.914
2020-10,21.039,33.7633
2020-11,40.1303,47.7098
2020-12,53.6338,52.3667
2021-01,52.4863,49.9654
2021-02,66.5412,53.2453
2021-03,69.8961,60.4049
2021-04,66.9349,67.83
2021-05,79.6564,67.8968
2021-06,74.2694,70.6358
2021-07,72.6969,73.7106
2021-08,63.2234,77.7187
2021-09,56.3517,68.3779
2021-10,77.3228,79.119
2021-11,76.2253,76.6949
2021-12,84.7576,83.6042
2022-01,84.428,72.9303
2022-02,88.8785,66.8181
2022-03,89.5553,72.1992
2022-04,73.7126,56.2223
2022-05,56.6135,55.8933
2022-06,61.2657,42.4002
2022-07,56.4035,54.8512
2022-08,52.7031,47.8158
2022-09,38.455,33.7039
2022-10,35.0053,44.0824
2022-11,37.0647,51.4429
2022-12,34.421,42.1877
2023-01,40.7719,50.5828
2023-02,47.2048,46.2373
2023-03,52.4017,52.2586
2023-04,47.2509,54.0684
2023-05,41.178,54.1996
2023-06,46.7152,63.548
2023-07,56.9716,68.1942
2023-08,59.267,64.7317
2023-09,57.5654,56.2636
2023-10,67.3188,52.2886
2023-11,70.4454,65.5989
2023-12,68.6126,72.448
2024-01,64.112,74.4576
2024-02,74.9624,82.7177
2024-03,71.1223,89.0282
2024-04,65.9704,80.6052
2024-05,60.0761,88.8335
2024-06,57.1892,96.0415
2024-07,54.3517,97.3583
2024-08,71.2923,101.128
2024-09,75.398,105.7758
2024-10,78.3699,102.865
2024-11,87.5907,113.7798
2024-12,96.8024,107.7813
2025-01,99.5168,112.3595
2025-02,113.0864,108.6721
2025-03,124.8201,96.0839
2025-04,133.6861,93.6359
2025-05,142.4927,104.9003
2025-06,131.1236,114.5225
2025-07,132.202,118.4064
2025-08,121.295,121.8959
2025-09,124.3286,128.6764
2025-10,119.424,133.0211
2025-11,131.5453,132.409
2025-12,126.6683,131.4906
2026-01,138.8119,133.7386
2026-02,162.6749,130.7823
2026-03,167.0391,129.7769
