Date,rate_GLW_5D,rate_VOO_20D
2016-01,8.388,1.4254
2016-02,2.1631,0.6142
2016-03,13.1842,6.1243
2016-04,-1.7452,4.6014
2016-05,10.806,5.2878
2016-06,5.7705,4.687
2016-07,14.5642,7.7174
2016-08,15.7701,6.8637
2016-09,18.8184,5.9421
2016-10,12.2792,3.4868
2016-11,18.092,6.843
2016-12,17.4637,8.2789
2017-01,25.0611,9.3935
2017-02,30.7141,12.821
2017-03,25.8731,12.0413
2017-04,32.7906,12.4367
2017-05,34.7718,13.2406
2017-06,36.9995,14.1802
2017-07,30.9565,15.6892
2017-08,28.3786,15.2834
2017-09,32.1251,16.8657
2017-10,36.6429,18.7799
2017-11,40.3254,21.509
2017-12,36.9919,22.1709
2018-01,32.0761,27.9258
2018-02,22.8324,22.2578
2018-03,17.0146,18.4465
2018-04,10.2395,18.162
2018-05,11.2175,20.337
2018-06,12.1122,20.5057
2018-07,34.6583,24.0401
2018-08,35.6532,27.2093
2018-09,41.5814,27.1082
2018-10,27.3971,17.9327
2018-11,28.2849,19.5577
2018-12,19.5399,8.5722
2019-01,31.0293,16.8959
2019-02,37.0754,20.2219
2019-03,29.6013,21.9603
2019-04,23.7838,26.2654
2019-05,12.437,20.4953
2019-06,29.1918,25.3574
2019-07,18.8885,26.514
2019-08,7.7531,24.0717
2019-09,8.0005,25.9454
2019-10,11.8723,27.4086
2019-11,10.1454,31.384
2019-12,10.1969,34.5804
2020-01,0.8433,33.8021
2020-02,-9.0996,22.3336
2020-03,-17.3254,15.1867
2020-04,-18.182,29.6272
2020-05,-19.2549,28.2305
2020-06,-4.1539,28.0341
2020-07,11.7651,33.4885
2020-08,16.6109,42.106
2020-09,13.5969,38.2475
2020-10,17.6586,34.0563
2020-11,28.8666,42.9575
2020-12,22.6704,47.5016
2021-01,17.9953,45.1166
2021-02,22.5947,43.0879
2021-03,26.4629,49.8512
2021-04,28.0582,56.911
2021-05,24.3553,54.6413
2021-06,16.2372,57.2758
2021-07,18.714,60.2291
2021-08,13.8284,64.0213
2021-09,3.7421,55.5224
2021-10,1.0479,65.5435
2021-11,5.8833,65.5034
2021-12,4.1394,68.4598
2022-01,17.528,58.7763
2022-02,16.1762,53.2596
2022-03,11.1154,58.2953
2022-04,5.8978,52.2757
2022-05,8.7568,51.0659
2022-06,-4.4285,38.0304
2022-07,11.5403,50.1558
2022-08,4.8317,43.3725
2022-09,-11.3773,29.6913
2022-10,-1.7118,39.7003
2022-11,2.8803,46.8631
2022-12,0.9807,40.5677
2023-01,11.6708,48.7988
2023-02,10.0433,45.5387
2023-03,11.1429,49.6635
2023-04,5.3013,48.4614
2023-05,2.6676,48.1923
2023-06,16.7096,57.2072
2023-07,12.856,61.7125
2023-08,9.9349,59.5229
2023-09,1.9618,51.3631
2023-10,-10.3402,47.5518
2023-11,-3.5019,60.474
2023-12,3.1612,67.125
2024-01,10.0218,69.1001
2024-02,10.0317,77.1309
2024-03,12.3251,83.2841
2024-04,13.6472,75.177
2024-05,27.6522,83.1784
2024-06,34.7915,90.182
2024-07,48.6606,90.9416
2024-08,57.4571,97.1965
2024-09,71.5289,98.31
2024-10,66.8202,95.5089
2024-11,67.5437,105.9957
2024-12,62.9714,100.2436
2025-01,77.9764,104.6582
2025-02,71.6247,101.1287
2025-03,57.9098,89.045
2025-04,64.631,88.6819
2025-05,85.3732,99.6712
2025-06,89.799,109.046
2025-07,127.2645,112.823
2025-08,134.3925,112.1707
2025-09,174.0198,118.6779
2025-10,195.9321,122.8639
2025-11,180.9554,122.3204
2025-12,190.6115,121.4705
2026-01,240.7947,123.6468
2026-02,394.3816,120.852
