Date,rate_FRT_5D,rate_VOO_20D
2016-01,3.582,-3.28
2016-02,-0.4217,-1.8027
2016-03,4.9075,4.5695
2016-04,0.9423,3.6217
2016-05,1.4825,4.6859
2016-06,9.8125,4.2011
2016-07,11.0614,7.3141
2016-08,2.8068,6.5393
2016-09,-0.0711,5.8417
2016-10,-5.6326,3.4057
2016-11,-8.0131,7.0013
2016-12,-5.3762,8.6582
2017-01,-6.075,9.9058
2017-02,-5.2738,13.4199
2017-03,-7.7294,12.5861
2017-04,-9.0599,12.9516
2017-05,-14.2779,13.7442
2017-06,-10.3132,14.6714
2017-07,-5.3382,16.2352
2017-08,-9.1806,15.7466
2017-09,-10.0211,17.3266
2017-10,-12.2509,19.2474
2017-11,-3.221,22.0133
2017-12,-0.4717,22.6523
2018-01,-8.7877,28.4864
2018-02,-13.5427,22.6807
2018-03,-10.694,18.8927
2018-04,-10.5141,18.6249
2018-05,-7.8475,20.8091
2018-06,-0.8806,20.9812
2018-07,-1.6732,24.5763
2018-08,2.3839,27.7899
2018-09,-0.1281,27.6747
2018-10,-1.9933,18.1983
2018-11,4.3979,19.8597
2018-12,-5.9674,8.8011
2019-01,6.6352,17.1215
2019-02,7.2838,20.4441
2019-03,11.3437,22.1999
2019-04,7.8544,26.5012
2019-05,5.1592,17.9266
2019-06,4.2737,25.7011
2019-07,6.812,26.9004
2019-08,4.4235,24.2426
2019-09,12.4561,26.142
2019-10,12.0903,28.3311
2019-11,8.6031,32.3256
2019-12,6.5488,35.5485
2020-01,4.1738,34.7719
2020-02,-3.1144,23.2511
2020-03,-35.128,7.5779
2020-04,-26.4879,21.2186
2020-05,-28.8554,26.5774
2020-06,-20.8735,28.3766
2020-07,-28.8896,35.3325
2020-08,-25.6178,44.0777
2020-09,-29.6402,37.914
2020-10,-33.7081,33.7633
2020-11,-15.2595,47.7098
2020-12,-16.0254,52.3667
2021-01,-10.1901,49.9654
2021-02,3.9551,53.2453
2021-03,5.2211,60.4049
2021-04,16.8573,67.83
2021-05,18.1462,67.8968
2021-06,21.8445,70.6358
2021-07,21.8696,73.7106
2021-08,25.9251,77.7187
2021-09,22.7488,68.3779
2021-10,24.8012,79.119
2021-11,26.8252,76.6949
2021-12,41.6189,83.6042
2022-01,34.0536,72.9303
2022-02,23.2338,66.8181
2022-03,28.7411,72.1992
2022-04,23.0585,56.2223
2022-05,20.5713,55.8933
2022-06,1.3473,42.4002
2022-07,11.7151,54.8512
2022-08,6.9878,47.8158
2022-09,-3.7159,33.7039
2022-10,5.7824,44.0824
2022-11,18.6138,51.4429
2022-12,10.0065,42.1877
2023-01,23.7208,50.5828
2023-02,18.1804,46.2373
2023-03,12.7756,52.2586
2023-04,12.695,54.0684
2023-05,0.4105,54.1996
2023-06,11.3802,63.548
2023-07,16.7084,68.1942
2023-08,12.4245,64.7317
2023-09,5.1665,56.2636
2023-10,5.759,52.2886
2023-11,10.787,65.5989
2023-12,23.0569,72.448
2024-01,22.4748,74.4576
2024-02,21.1739,82.7177
2024-03,23.7965,89.0282
2024-04,26.0673,80.6052
2024-05,21.925,88.8335
2024-06,25.6708,96.0415
2024-07,38.6957,97.3583
2024-08,42.4592,101.128
2024-09,42.0176,105.7758
2024-10,37.8643,102.865
2024-11,44.7138,113.7798
2024-12,38.4899,107.7813
2025-01,35.3993,112.3595
2025-02,31.0899,108.6721
2025-03,21.3884,96.0839
2025-04,17.8099,93.6359
2025-05,19.4656,104.9003
2025-06,18.683,114.5225
2025-07,16.3303,118.4064
2025-08,26.7712,121.8959
2025-09,27.4977,128.6764
2025-10,22.2103,133.0211
2025-11,25.2423,132.409
2025-12,27.6538,131.4906
2026-01,32.1607,133.7386
2026-02,41.8044,130.7823
2026-03,43.5042,129.7769
