Date,rate_DUK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,8.0532,-3.7423
2016-03,0.1619,0.3764
2016-04,10.6884,5.1946
2016-05,4.8633,3.5695
2016-06,5.2748,4.8356
2016-07,13.1093,4.3651
2016-08,11.2483,7.2005
2016-09,2.8219,6.5176
2016-10,3.4137,5.8316
2016-11,1.1695,2.6321
2016-12,-5.3317,6.5262
2017-01,1.4696,8.6002
2017-02,1.0094,9.8701
2017-03,8.0081,14.9815
2017-04,7.5714,12.5254
2017-05,7.1703,13.1716
2017-06,13.4864,14.581
2017-07,9.0642,14.626
2017-08,10.6343,16.4591
2017-09,13.73,15.9061
2017-10,8.9547,17.2911
2017-11,13.6392,19.4181
2017-12,15.3062,21.7575
2018-01,8.6929,22.6249
2018-02,-1.0232,28.3844
2018-03,-1.4902,21.0506
2018-04,1.0516,18.8566
2018-05,4.0876,18.843
2018-06,0.2193,22.0592
2018-07,4.1589,20.962
2018-08,6.6129,24.4135
2018-09,7.8708,27.7869
2018-10,5.3892,28.1445
2018-11,8.0188,19.3954
2018-12,18.1326,19.8359
2019-01,14.6103,8.7501
2019-02,16.1714,17.203
2019-03,19.2743,21.2677
2019-04,18.4447,23.6016
2019-05,19.4743,25.5902
2019-06,13.9006,17.8911
2019-07,16.7498,26.7327
2019-08,15.6837,25.8061
2019-09,23.4768,24.2046
2019-10,27.5255,24.595
2019-11,24.5366,29.5299
2019-12,17.0944,32.3145
2020-01,20.7599,35.5516
2020-02,28.8041,34.7733
2020-03,21.6788,23.2161
2020-04,2.5671,2.6957
2020-05,9.2163,17.923
2020-06,16.6209,27.1545
2020-07,8.9808,29.2791
2020-08,12.5478,35.3897
2020-09,6.2711,45.4969
2020-10,20.6859,38.8421
2020-11,23.0802,33.8054
2020-12,25.5044,49.4413
2021-01,22.7964,52.4925
2021-02,24.5604,52.5474
2021-03,17.2921,57.1165
2021-04,29.4368,62.2404
2021-05,34.8829,68.0147
2021-06,34.8183,67.9506
2021-07,33.5769,71.7835
2021-08,40.5066,73.9065
2021-09,42.5649,78.108
2021-10,31.6994,70.559
2021-11,36.377,79.7147
2021-12,29.6153,74.8714
2022-01,40.2734,83.8439
2022-02,37.789,74.2485
2022-03,33.7804,64.4857
2022-04,50.676,72.8765
2022-05,46.4711,56.3809
2022-06,49.17,54.7432
2022-07,45.8103,43.9638
2022-08,45.5339,54.5402
2022-09,44.0991,48.4061
2022-10,23.4237,33.808
2022-11,24.09,43.6413
2022-12,33.8025,51.6237
2023-01,36.9616,42.3283
2023-02,35.9291,52.4008
2023-03,22.7904,45.8599
2023-04,28.6049,52.4428
2023-05,31.7626,54.1535
2023-06,18.1899,55.8684
2023-07,20.1544,63.7729
2023-08,23.1526,67.9151
2023-09,18.6387,65.3142
2023-10,18.8804,56.4671
2023-11,20.3996,54.158
2023-12,25.7206,66.8181
2024-01,31.4086,72.7134
2024-02,32.0969,77.0248
2024-03,23.8116,84.7703
2024-04,30.6542,89.0895
2024-05,35.3804,80.3005
2024-06,41.5451,89.1407
2024-07,35.3848,96.817
2024-08,53.0502,94.9948
2024-09,58.6149,101.4737
2024-10,61.2001,104.2286
2024-11,55.7293,104.0979
2024-12,65.5451,114.1559
2025-01,51.8144,108.1307
2025-02,57.308,112.719
2025-03,70.3381,109.0154
2025-04,74.8685,97.097
2025-05,74.5733,95.2965
2025-06,73.2316,105.2137
2025-07,74.2698,114.7559
2025-08,79.524,115.142
2025-09,82.8753,122.2543
2025-10,82.0128,129.8729
2025-11,84.1465,133.4127
2025-12,82.9147,131.7276
2026-01,76.8762,131.8756
2026-02,102.4014,131.1612
