Date,rate_WMT_5D,rate_VOO_20D
2016-01,3.7914,1.4254
2016-02,1.0866,0.6142
2016-03,3.9189,6.1243
2016-04,0.2787,4.6014
2016-05,6.3685,5.2878
2016-06,8.5834,4.687
2016-07,7.3105,7.7174
2016-08,4.7144,6.8637
2016-09,4.9609,5.9421
2016-10,1.4724,3.4868
2016-11,2.0138,6.843
2016-12,0.6088,8.2789
2017-01,-2.7921,9.3935
2017-02,3.5683,12.821
2017-03,5.7922,12.0413
2017-04,9.9582,12.4367
2017-05,14.9744,13.2406
2017-06,9.8169,14.1802
2017-07,15.5196,15.6892
2017-08,12.6583,15.2834
2017-09,12.0215,16.8657
2017-10,24.4956,18.7799
2017-11,36.9455,21.509
2017-12,38.1161,22.1709
2018-01,47.385,27.9258
2018-02,21.3444,22.2578
2018-03,19.8878,18.4465
2018-04,18.5454,18.162
2018-05,10.7337,20.337
2018-06,14.5124,20.5057
2018-07,18.7962,24.0401
2018-08,27.7062,27.2093
2018-09,24.3475,27.1082
2018-10,31.832,17.9327
2018-11,27.4736,19.5577
2018-12,21.5351,8.5722
2019-01,24.4297,16.8959
2019-02,27.8341,20.2219
2019-03,25.878,21.9603
2019-04,32.0119,26.2654
2019-05,30.1146,20.4953
2019-06,40.8493,25.3574
2019-07,39.6915,26.514
2019-08,44.2648,24.0717
2019-09,48.8174,25.9454
2019-10,45.9582,27.4086
2019-11,47.1875,31.384
2019-12,46.5192,34.5804
2020-01,40.2858,33.8021
2020-02,37.0112,22.3336
2020-03,17.5358,15.1867
2020-04,28.4628,29.6272
2020-05,27.099,28.2305
2020-06,22.2975,28.0341
2020-07,32.8793,33.4885
2020-08,39.3602,42.106
2020-09,37.3231,38.2475
2020-10,34.8435,34.0563
2020-11,43.8975,42.9575
2020-12,38.1943,47.5016
2021-01,33.9096,45.1166
2021-02,20.8251,43.0879
2021-03,26.4689,49.8512
2021-04,29.8425,56.911
2021-05,31.8441,54.6413
2021-06,30.4641,57.2758
2021-07,31.4351,60.2291
2021-08,36.5549,64.0213
2021-09,28.1014,55.5224
2021-10,36.8895,65.5435
2021-11,28.3429,65.5034
2021-12,29.3519,68.4598
2022-01,24.6209,58.7763
2022-02,20.1471,53.2596
2022-03,32.5679,58.2953
2022-04,38.0909,52.2757
2022-05,31.9547,51.0659
2022-06,24.4237,38.0304
2022-07,34.7882,50.1558
2022-08,35.4267,43.3725
2022-09,32.051,29.6913
2022-10,44.4357,39.7003
2022-11,46.3603,46.8631
2022-12,43.1239,40.5677
2023-01,39.5505,48.7988
2023-02,37.3102,45.5387
2023-03,44.383,49.6635
2023-04,47.3095,48.4614
2023-05,43.3113,48.1923
2023-06,52.8365,57.2072
2023-07,52.7217,61.7125
2023-08,53.4741,59.5229
2023-09,50.3894,51.3631
2023-10,53.1125,47.5518
2023-11,45.3358,60.474
2023-12,47.2317,67.125
2024-01,53.8162,69.1001
2024-02,63.0574,77.1309
2024-03,67.3034,83.2841
2024-04,64.3589,75.177
2024-05,82.0173,83.1784
2024-06,86.5613,90.182
2024-07,89.1597,90.9416
2024-08,108.587,97.1965
2024-09,108.0581,98.31
2024-10,108.4946,95.5089
2024-11,134.1628,105.9957
2024-12,129.0933,100.2436
2025-01,147.5434,104.6582
2025-02,147.1298,101.1287
2025-03,142.4635,89.045
2025-04,167.1763,88.6819
2025-05,171.6287,99.6712
2025-06,165.0723,109.046
2025-07,164.1708,112.823
2025-08,161.9572,112.1707
2025-09,176.8345,118.6779
2025-10,170.2791,122.8639
2025-11,193.6182,122.3204
2025-12,196.1611,121.4705
2026-01,214.9496,123.6468
2026-02,236.3062,120.852
