Date,rate_EME_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.5903,-3.7423
2016-03,2.1853,0.3764
2016-04,5.2537,5.1946
2016-05,3.7444,3.5695
2016-06,0.9575,4.8356
2016-07,3.1349,4.3651
2016-08,17.2589,7.2005
2016-09,19.2177,6.5176
2016-10,21.4722,5.8316
2016-11,19.275,2.6321
2016-12,36.408,6.5262
2017-01,36.5893,8.6002
2017-02,31.9334,9.8701
2017-03,18.4121,14.9815
2017-04,15.8529,12.5254
2017-05,21.2965,13.1716
2017-06,16.621,14.581
2017-07,17.2523,14.626
2017-08,21.7841,16.4591
2017-09,16.8586,15.9061
2017-10,21.6441,17.2911
2017-11,40.168,19.4181
2017-12,38.4858,21.7575
2018-01,38.9,22.6249
2018-02,37.0712,28.3844
2018-03,26.8954,21.0506
2018-04,29.0417,18.8566
2018-05,22.5806,18.843
2018-06,25.744,22.0592
2018-07,23.8744,20.962
2018-08,23.295,24.4135
2018-09,28.8029,27.7869
2018-10,18.9674,28.1445
2018-11,14.8141,19.3954
2018-12,15.77,19.8359
2019-01,-5.5174,8.7501
2019-02,2.8093,17.203
2019-03,15.0092,21.2677
2019-04,18.4156,23.6016
2019-05,29.1481,25.5902
2019-06,26.2716,17.8911
2019-07,37.0134,26.7327
2019-08,29.4396,25.8061
2019-09,34.9411,24.2046
2019-10,30.9096,24.595
2019-11,38.3409,29.5299
2019-12,35.0625,32.3145
2020-01,30.3573,35.5516
2020-02,23.6473,34.7733
2020-03,15.3025,23.2161
2020-04,-15.3792,2.6957
2020-05,-10.4196,17.923
2020-06,-2.4414,27.1545
2020-07,-2.5788,29.2791
2020-08,3.5843,35.3897
2020-09,14.7465,45.4969
2020-10,2.6952,38.8421
2020-11,2.8881,33.8054
2020-12,31.7024,49.4413
2021-01,37.3757,52.4925
2021-02,36.552,52.5474
2021-03,52.1016,57.1165
2021-04,69.2626,62.2404
2021-05,77.4563,68.0147
2021-06,87.9598,67.9506
2021-07,80.1686,71.7835
2021-08,77.3307,73.9065
2021-09,74.2677,78.108
2021-10,69.7974,70.559
2021-11,76.1442,79.7147
2021-12,69.9231,74.8714
2022-01,80.0905,83.8439
2022-02,66.2761,74.2485
2022-03,56.1424,64.4857
2022-04,59.0524,72.8765
2022-05,48.7381,56.3809
2022-06,45.4605,54.7432
2022-07,42.7152,43.9638
2022-08,62.0737,54.5402
2022-09,61.5578,48.4061
2022-10,58.3827,33.808
2022-11,97.278,43.6413
2022-12,109.2426,51.6237
2023-01,99.9748,42.3283
2023-02,100.9048,52.4008
2023-03,123.7244,45.8599
2023-04,116.4437,52.4428
2023-05,122.4889,54.1535
2023-06,118.2615,55.8684
2023-07,142.2782,63.7729
2023-08,179.5081,67.9151
2023-09,192.5999,65.3142
2023-10,170.4609,56.4671
2023-11,164.6114,54.158
2023-12,172.5811,66.8181
2024-01,172.1848,72.7134
2024-02,194.2701,77.0248
2024-03,300.1734,84.7703
2024-04,340.43,89.0895
2024-05,337.7883,80.3005
2024-06,375.3137,89.1407
2024-07,336.4421,96.817
2024-08,341.2562,94.9948
2024-09,370.2008,101.4737
2024-10,408.4903,104.2286
2024-11,434.3049,104.0979
2024-12,496.8281,114.1559
2025-01,426.9579,108.1307
2025-02,416.5985,112.719
2025-03,368.0024,109.0154
2025-04,326.719,97.097
2025-05,366.7115,95.2965
2025-06,430.1324,105.2137
2025-07,492.1951,114.7559
2025-08,592.0573,115.142
2025-09,581.8167,122.2543
2025-10,614.9645,129.8729
2025-11,632.6296,133.4127
2025-12,554.1268,131.7276
2026-01,553.7936,131.8756
2026-02,663.8915,131.1612
