Date,rate_DGX_5D,rate_VOO_20D
2016-01,-5.53,-3.28
2016-02,-1.6604,-1.8027
2016-03,5.1329,4.5695
2016-04,9.3578,3.6217
2016-05,10.325,4.6859
2016-06,14.5161,4.2011
2016-07,21.4752,7.3141
2016-08,13.985,6.5393
2016-09,15.4924,5.8417
2016-10,10.6636,3.4057
2016-11,17.9008,7.0013
2016-12,22.2933,8.6582
2017-01,22.3698,9.9058
2017-02,27.9273,13.4199
2017-03,26.9666,12.5861
2017-04,35.1394,12.9516
2017-05,37.1259,13.7442
2017-06,37.9768,14.6714
2017-07,33.0475,16.2352
2017-08,31.4415,15.7466
2017-09,12.3702,17.3266
2017-10,12.5103,19.2474
2017-11,17.5766,22.0133
2017-12,16.8485,22.6523
2018-01,25.3239,28.4864
2018-02,21.1947,22.6807
2018-03,17.2991,18.8927
2018-04,18.3062,18.6249
2018-05,23.8018,20.8091
2018-06,26.8873,20.9812
2018-07,25.1951,24.5763
2018-08,27.0464,27.7899
2018-09,23.8557,27.6747
2018-10,8.0031,18.1983
2018-11,1.4614,19.8597
2018-12,-4.63,8.8011
2019-01,0.7654,17.1215
2019-02,-0.1875,20.4441
2019-03,3.7013,22.1999
2019-04,12.8602,26.5012
2019-05,12.003,17.9266
2019-06,18.5725,25.7011
2019-07,20.2798,26.9004
2019-08,20.191,24.2426
2019-09,25.1791,26.142
2019-10,18.5411,28.3311
2019-11,24.3057,32.3256
2019-12,24.0777,35.5485
2020-01,28.6804,34.7719
2020-02,22.7769,23.2511
2020-03,-7.3189,7.5779
2020-04,27.9024,21.2186
2020-05,36.8388,26.5774
2020-06,31.1858,28.3766
2020-07,46.2511,35.3325
2020-08,27.333,44.0777
2020-09,30.5791,37.914
2020-10,39.3937,33.7633
2020-11,40.8118,47.7098
2020-12,34.6816,52.3667
2021-01,45.949,49.9654
2021-02,29.9106,53.2453
2021-03,43.6711,60.4049
2021-04,47.6029,67.83
2021-05,46.6363,67.8968
2021-06,46.3152,70.6358
2021-07,57.1244,73.7106
2021-08,68.4167,77.7187
2021-09,59.1894,68.3779
2021-10,60.6391,79.119
2021-11,61.8427,76.6949
2021-12,87.2525,83.6042
2022-01,45.9229,72.9303
2022-02,41.2696,66.8181
2022-03,46.6974,72.1992
2022-04,43.5726,56.2223
2022-05,50.6708,55.8933
2022-06,41.4977,42.4002
2022-07,45.4371,54.8512
2022-08,32.9312,47.8158
2022-09,29.7523,33.7039
2022-10,52.1694,44.0824
2022-11,60.1752,51.4429
2022-12,64.2883,42.1877
2023-01,55.9143,50.5828
2023-02,44.6942,46.2373
2023-03,47.4208,52.2586
2023-04,47.0581,54.0684
2023-05,40.0146,54.1996
2023-06,47.8718,63.548
2023-07,42.4865,68.1942
2023-08,38.1405,64.7317
2023-09,27.653,56.2636
2023-10,36.6992,52.2886
2023-11,43.7391,65.5989
2023-12,43.969,72.448
2024-01,34.4334,74.4576
2024-02,30.4075,82.7177
2024-03,38.6542,89.0282
2024-04,45.8469,80.6052
2024-05,49.3912,88.8335
2024-06,43.5725,96.0415
2024-07,49.5936,97.3583
2024-08,64.4011,101.128
2024-09,61.9957,105.7758
2024-10,63.3202,102.865
2024-11,70.9345,113.7798
2024-12,57.9423,107.7813
2025-01,70.9489,112.3595
2025-02,80.5219,108.6721
2025-03,75.9531,96.0839
2025-04,85.4365,93.6359
2025-05,79.6355,104.9003
2025-06,85.4256,114.5225
2025-07,72.9563,118.4064
2025-08,86.9257,121.8959
2025-09,95.3367,128.6764
2025-10,82.0932,133.0211
2025-11,95.0312,132.409
2025-12,78.2076,131.4906
2026-01,92.1803,133.7386
2026-02,116.8749,130.7823
2026-03,114.2351,129.7769
