Date,rate_NKE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.5632,-3.7423
2016-03,0.847,0.3764
2016-04,-1.338,5.1946
2016-05,-5.2871,3.5695
2016-06,-10.764,4.8356
2016-07,-7.5949,4.3651
2016-08,-6.8606,7.2005
2016-09,-0.4351,6.5176
2016-10,-10.4195,5.8316
2016-11,-14.6023,2.6321
2016-12,-11.1693,6.5262
2017-01,-9.9282,8.6002
2017-02,-5.2589,9.8701
2017-03,3.9533,14.9815
2017-04,0.0331,12.5254
2017-05,-1.3036,13.1716
2017-06,-5.741,14.581
2017-07,6.6874,14.626
2017-08,7.844,16.4591
2017-09,-3.8652,15.9061
2017-10,-6.4118,17.2911
2017-11,-0.295,19.4181
2017-12,8.7849,21.7575
2018-01,13.9727,22.6249
2018-02,22.6559,28.3844
2018-03,19.3865,21.0506
2018-04,19.953,18.8566
2018-05,22.2149,18.843
2018-06,30.1125,22.0592
2018-07,42.0936,20.962
2018-08,36.9521,24.4135
2018-09,44.6557,27.7869
2018-10,47.936,28.1445
2018-11,33.2165,19.3954
2018-12,30.146,19.8359
2019-01,27.9969,8.7501
2019-02,39.8854,17.203
2019-03,48.8313,21.2677
2019-04,45.0535,23.6016
2019-05,45.0553,25.5902
2019-06,30.011,17.8911
2019-07,43.5234,26.7327
2019-08,38.6876,25.8061
2019-09,41.1882,24.2046
2019-10,53.5496,24.595
2019-11,47.2639,29.5299
2019-12,54.53,32.3145
2020-01,66.2211,35.5516
2020-02,56.7146,34.7733
2020-03,45.586,23.2161
2020-04,28.2582,2.6957
2020-05,37.8841,17.923
2020-06,60.7957,27.1545
2020-07,56.2341,29.2791
2020-08,55.5445,35.3897
2020-09,82.9958,45.4969
2020-10,100.19,38.8421
2020-11,88.1805,33.8054
2020-12,110.5639,49.4413
2021-01,119.2834,52.4925
2021-02,108.4766,52.5474
2021-03,110.9372,57.1165
2021-04,101.3931,62.2404
2021-05,99.943,68.0147
2021-06,102.877,67.9506
2021-07,136.4716,71.7835
2021-08,148.5437,73.9065
2021-09,143.2325,78.108
2021-10,115.5087,70.559
2021-11,141.8799,79.7147
2021-12,140.4138,74.8714
2022-01,139.7282,83.8439
2022-02,111.4863,74.2485
2022-03,87.3117,64.4857
2022-04,89.2646,72.8765
2022-05,75.6629,56.3809
2022-06,66.2462,54.7432
2022-07,42.2823,43.9638
2022-08,60.1246,54.5402
2022-09,48.482,48.4061
2022-10,17.1226,33.808
2022-11,31.8905,43.6413
2022-12,55.8231,51.6237
2023-01,64.8206,42.3283
2023-02,81.5672,52.4008
2023-03,65.3871,45.8599
2023-04,71.6874,52.4428
2023-05,78.2267,54.1535
2023-06,43.6713,55.8684
2023-07,53.9069,63.7729
2023-08,51.9646,67.9151
2023-09,42.1265,65.3142
2023-10,33.7552,56.4671
2023-11,40.7316,54.158
2023-12,58.3402,66.8181
2024-01,51.9348,72.7134
2024-02,41.9011,77.0248
2024-03,42.1537,84.7703
2024-04,29.7907,89.0895
2024-05,26.385,80.3005
2024-06,32.6983,89.1407
2024-07,7.517,96.817
2024-08,3.2751,94.9948
2024-09,16.4818,101.4737
2024-10,24.9518,104.2286
2024-11,9.2253,104.0979
2024-12,10.1308,114.1559
2025-01,6.2644,108.1307
2025-02,7.9318,112.719
2025-03,11.4073,109.0154
2025-04,-8.6926,97.097
2025-05,-19.9053,95.2965
2025-06,-14.3137,105.2137
2025-07,4.5339,114.7559
2025-08,6.2154,115.142
2025-09,10.0733,122.2543
2025-10,6.0487,129.8729
2025-11,-7.7321,133.4127
2025-12,-5.9382,131.7276
2026-01,-8.308,131.8756
2026-02,-19.0233,120.852
