Date,rate_AJG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.3042,-1.8027
2016-03,13.4528,4.5695
2016-04,13.8238,3.6217
2016-05,16.5541,4.6859
2016-06,12.9836,4.2011
2016-07,14.7706,7.3141
2016-08,14.2065,6.5393
2016-09,15.9342,5.8417
2016-10,8.4266,3.4057
2016-11,13.3392,7.0013
2016-12,15.9224,8.6582
2017-01,18.8114,9.9058
2017-02,24.3175,13.4199
2017-03,22.5002,12.5861
2017-04,19.5333,12.9516
2017-05,21.1443,13.7442
2017-06,20.9853,14.6714
2017-07,23.0986,16.2352
2017-08,20.8744,15.7466
2017-09,27.4209,17.3266
2017-10,29.8153,19.2474
2017-11,34.3554,22.0133
2017-12,27.7249,22.6523
2018-01,36.6758,28.4864
2018-02,36.7765,22.6807
2018-03,35.4935,18.8927
2018-04,36.6826,18.6249
2018-05,29.0491,20.8091
2018-06,26.153,20.9812
2018-07,36.9402,24.5763
2018-08,37.2871,27.7899
2018-09,41.265,27.6747
2018-10,39.2058,18.1983
2018-11,43.764,19.8597
2018-12,37.0805,8.8011
2019-01,37.9392,17.1215
2019-02,47.8402,20.4441
2019-03,42.6367,22.1999
2019-04,51.5316,26.5012
2019-05,51.3539,17.9266
2019-06,56.9343,25.7011
2019-07,60.5842,26.9004
2019-08,59.7113,24.2426
2019-09,57.1458,26.142
2019-10,58.8254,28.3311
2019-11,61.104,32.3256
2019-12,63.9238,35.5485
2020-01,75.1414,34.7719
2020-02,65.0534,23.2511
2020-03,37.7116,7.5779
2020-04,32.0826,21.2186
2020-05,57.9106,26.5774
2020-06,62.9146,28.3766
2020-07,78.3554,35.3325
2020-08,73.3545,44.0777
2020-09,73.2525,37.914
2020-10,68.9443,33.7633
2020-11,86.6743,47.7098
2020-12,99.2392,52.3667
2021-01,84.3725,49.9654
2021-02,89.9679,53.2453
2021-03,97.0724,60.4049
2021-04,127.1146,67.83
2021-05,127.7357,67.8968
2021-06,116.4878,70.6358
2021-07,113.5643,73.7106
2021-08,118.4416,77.7187
2021-09,125.0216,68.3779
2021-10,151.7106,79.119
2021-11,142.5232,76.6949
2021-12,151.2422,83.6042
2022-01,131.9602,72.9303
2022-02,130.5513,66.8181
2022-03,153.2824,72.1992
2022-04,142.4563,56.2223
2022-05,131.2575,55.8933
2022-06,131.8665,42.4002
2022-07,152.6701,54.8512
2022-08,154.4222,47.8158
2022-09,138.7936,33.7039
2022-10,159.0535,44.0824
2022-11,173.6583,51.4429
2022-12,157.8308,42.1877
2023-01,165.7135,50.5828
2023-02,152.513,46.2373
2023-03,156.7864,52.2586
2023-04,177.3119,54.0684
2023-05,165.083,54.1996
2023-06,189.284,63.548
2023-07,180.9716,68.1942
2023-08,200.0439,64.7317
2023-09,194.5947,56.2636
2023-10,202.2159,52.2886
2023-11,217.9855,65.5989
2023-12,185.1685,72.448
2024-01,192.4232,74.4576
2024-02,205.9224,82.7177
2024-03,211.4479,89.0282
2024-04,190.3722,80.6052
2024-05,211.37,88.8335
2024-06,218.7865,96.0415
2024-07,246.1701,97.3583
2024-08,254.7935,101.128
2024-09,241.0509,105.7758
2024-10,238.5192,102.865
2024-11,273.3958,113.7798
2024-12,239.3011,107.7813
2025-01,258.4366,112.3595
2025-02,298.4402,108.6721
2025-03,306.819,96.0839
2025-04,275.375,93.6359
2025-05,304.0282,104.9003
2025-06,272.0745,114.5225
2025-07,231.7833,118.4064
2025-08,247.5805,121.8959
2025-09,255.6576,128.6764
2025-10,184.8026,133.0211
2025-11,181.1281,132.409
2025-12,194.4275,131.4906
2026-01,182.1684,133.7386
2026-02,156.8677,130.7823
2026-03,135.0379,126.4154
