Date,rate_ARTY_5D,rate_VOO_20D
2018-06,0.0,0.0
2018-07,0.2937,3.8975
2018-08,6.5515,7.1111
2018-09,4.2579,6.9959
2018-10,-11.1234,-2.4805
2018-11,-7.9729,-0.8191
2018-12,-14.6725,-11.8777
2019-01,-1.0655,-3.5572
2019-02,6.4958,-0.2347
2019-03,5.4025,1.5211
2019-04,9.9725,5.8224
2019-05,-3.2835,-2.7522
2019-06,6.2429,5.0223
2019-07,6.4103,6.2216
2019-08,2.8401,3.5638
2019-09,3.2953,5.4632
2019-10,5.7876,7.6523
2019-11,8.6008,11.6468
2019-12,12.6739,14.8697
2020-01,12.2479,14.0931
2020-02,6.6633,2.5723
2020-03,-7.6569,-13.1009
2020-04,6.9435,0.5398
2020-05,14.6469,5.8986
2020-06,21.9406,7.6978
2020-07,29.0654,14.6537
2020-08,37.8033,23.3989
2020-09,31.5604,17.2352
2020-10,32.3744,13.0845
2020-11,49.1341,27.031
2020-12,56.3789,31.6879
2021-01,69.7022,29.2866
2021-02,76.9547,32.5665
2021-03,63.0575,39.7261
2021-04,62.1702,47.1512
2021-05,58.7068,47.218
2021-06,64.2712,49.957
2021-07,57.0559,53.0318
2021-08,59.7869,57.0399
2021-09,50.5163,47.6991
2021-10,58.4407,58.4402
2021-11,52.2492,56.0161
2021-12,46.5908,62.9254
2022-01,29.2466,52.2515
2022-02,23.4483,46.1393
2022-03,19.8496,51.5204
2022-04,2.3402,35.5435
2022-05,1.4589,35.2145
2022-06,-7.7607,21.7214
2022-07,-1.0117,34.1724
2022-08,-3.9831,27.137
2022-09,-16.5613,13.0251
2022-10,-14.6696,23.4036
2022-11,-5.6765,30.7641
2022-12,-9.9229,21.5089
2023-01,5.5055,29.904
2023-02,5.0215,25.5585
2023-03,10.6341,31.5798
2023-04,2.9313,33.3896
2023-05,8.2228,33.5208
2023-06,16.5854,42.8692
2023-07,21.9432,47.5154
2023-08,12.8059,44.0529
2023-09,7.0267,35.5848
2023-10,0.6591,31.6098
2023-11,14.6314,44.9201
2023-12,21.0203,51.7692
2024-01,13.8244,53.7788
2024-02,18.81,62.0389
2024-03,19.6706,68.3494
2024-04,12.4495,59.9264
2024-05,16.195,68.1547
2024-06,15.3779,75.3627
2024-07,16.2831,76.6795
2024-08,16.0464,80.4492
2024-09,18.4267,85.097
2024-10,15.6331,82.1862
2024-11,27.7135,93.101
2024-12,27.397,87.1025
2025-01,33.2173,91.6807
2025-02,22.9761,87.9933
2025-03,7.2322,75.4051
2025-04,10.2278,72.9571
2025-05,25.2334,84.2215
2025-06,39.1042,93.8437
2025-07,46.9451,97.7276
2025-08,43.8451,101.2171
2025-09,53.7495,107.9976
2025-10,70.9368,112.3423
2025-11,58.3056,111.7302
2025-12,59.7531,110.8118
2026-01,70.0926,113.0598
2026-02,67.6965,110.1035
2026-03,52.321,96.931
2026-04,101.9671,118.7075
2026-05,142.1243,130.1586
2026-06,145.4482,125.8444
2026-07,113.5557,124.6348
2026-08,134.3841,130.1643
