Date,rate_DHR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.5953,-1.8027
2016-03,6.2328,4.5695
2016-04,6.5308,3.6217
2016-05,6.9562,4.6859
2016-06,8.7278,4.2011
2016-07,52.6782,7.3141
2016-08,45.9723,6.5393
2016-09,35.8694,5.8417
2016-10,32.5514,3.4057
2016-11,29.1392,7.0013
2016-12,26.5064,8.6582
2017-01,34.1692,9.9058
2017-02,34.3095,13.4199
2017-03,32.075,12.5861
2017-04,26.7299,12.9516
2017-05,27.5809,13.7442
2017-06,25.3685,14.6714
2017-07,19.7842,16.2352
2017-08,21.6425,15.7466
2017-09,24.2324,17.3266
2017-10,32.415,19.2474
2017-11,33.9325,22.0133
2017-12,30.5826,22.6523
2018-01,41.119,28.4864
2018-02,34.7063,22.6807
2018-03,33.8864,18.8927
2018-04,35.9342,18.6249
2018-05,33.2834,20.8091
2018-06,31.5421,20.9812
2018-07,35.6771,24.5763
2018-08,35.8379,27.7899
2018-09,41.617,27.6747
2018-10,28.423,18.1983
2018-11,40.5758,19.8597
2018-12,31.4943,8.8011
2019-01,40.5105,17.1215
2019-02,59.6899,20.4441
2019-03,64.5724,22.1999
2019-04,63.4795,26.5012
2019-05,61.4228,17.9266
2019-06,73.3615,25.7011
2019-07,68.7312,26.9004
2019-08,69.0637,24.2426
2019-09,70.486,26.142
2019-10,61.2725,28.3311
2019-11,69.4556,32.3256
2019-12,76.82,35.5485
2020-01,83.6753,34.7719
2020-02,63.6033,23.2511
2020-03,55.6402,7.5779
2020-04,82.7082,21.2186
2020-05,84.6672,26.5774
2020-06,94.5358,28.3766
2020-07,122.2,35.3325
2020-08,122.8965,44.0777
2020-09,130.7663,37.914
2020-10,143.5917,33.7633
2020-11,136.0086,47.7098
2020-12,131.9005,52.3667
2021-01,145.9602,49.9654
2021-02,125.0075,53.2453
2021-03,128.6742,60.4049
2021-04,155.6868,67.83
2021-05,155.4848,67.8968
2021-06,165.4596,70.6358
2021-07,191.4868,73.7106
2021-08,214.5396,77.7187
2021-09,192.6923,68.3779
2021-10,196.9219,79.119
2021-11,203.4632,76.6949
2021-12,207.7191,83.6042
2022-01,164.8782,72.9303
2022-02,152.1997,66.8181
2022-03,167.6547,72.1992
2022-04,127.3066,56.2223
2022-05,137.0492,55.8933
2022-06,126.3498,42.4002
2022-07,158.3258,54.8512
2022-08,137.4163,47.8158
2022-09,125.7845,33.7039
2022-10,118.5104,44.0824
2022-11,135.7992,51.4429
2022-12,127.553,42.1877
2023-01,125.167,50.5828
2023-02,109.4556,46.2373
2023-03,112.2269,52.2586
2023-04,98.3004,54.0684
2023-05,91.1084,54.1996
2023-06,98.8857,63.548
2023-07,110.1962,68.1942
2023-08,117.1307,64.7317
2023-09,102.1103,56.2636
2023-10,75.78,52.2886
2023-11,103.4872,65.5989
2023-12,109.8946,72.448
2024-01,116.4834,74.4576
2024-02,127.1265,82.7177
2024-03,123.0249,89.0282
2024-04,119.0544,80.6052
2024-05,126.8551,88.8335
2024-06,120.2238,96.0415
2024-07,142.9383,97.3583
2024-08,134.7807,101.128
2024-09,141.7389,105.7758
2024-10,112.4598,102.865
2024-11,106.2678,113.7798
2024-12,97.3015,107.7813
2025-01,90.5852,112.3595
2025-02,77.0152,108.6721
2025-03,74.7953,96.0839
2025-04,69.3533,93.6359
2025-05,60.7732,104.9003
2025-06,67.4898,114.5225
2025-07,66.5539,118.4064
2025-08,73.2593,121.8959
2025-09,67.1049,128.6764
2025-10,80.7728,133.0211
2025-11,89.6163,132.409
2025-12,91.4566,131.4906
2026-01,82.3526,133.7386
2026-02,74.834,130.7823
2026-03,61.3564,126.4154
