Date,rate_DHI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.1451,-3.7423
2016-03,-3.1086,0.3764
2016-04,7.5526,5.1946
2016-05,4.458,3.5695
2016-06,6.6466,4.8356
2016-07,8.8366,4.3651
2016-08,10.937,7.2005
2016-09,5.522,6.5176
2016-10,0.3768,5.8316
2016-11,-4.787,2.6321
2016-12,-8.1985,6.5262
2017-01,-7.4565,8.6002
2017-02,1.4562,9.8701
2017-03,11.3153,14.9815
2017-04,12.9621,12.5254
2017-05,10.2604,13.1716
2017-06,11.1576,14.581
2017-07,15.4407,14.626
2017-08,19.6294,16.4591
2017-09,19.4979,15.9061
2017-10,30.6367,17.2911
2017-11,44.7755,19.4181
2017-12,61.4239,21.7575
2018-01,60.8761,22.6249
2018-02,49.161,28.3844
2018-03,29.8841,21.0506
2018-04,33.5246,18.8566
2018-05,33.531,18.843
2018-06,26.6714,22.0592
2018-07,22.173,20.962
2018-08,29.8675,24.4135
2018-09,31.2691,27.7869
2018-10,23.6134,28.1445
2018-11,7.6315,19.3954
2018-12,9.4444,19.8359
2019-01,1.6687,8.7501
2019-02,11.3842,17.203
2019-03,14.7077,21.2677
2019-04,22.9647,23.6016
2019-05,30.1345,25.5902
2019-06,26.071,17.8911
2019-07,27.9696,26.7327
2019-08,37.3282,25.8061
2019-09,44.8026,24.2046
2019-10,51.2741,24.595
2019-11,53.7929,29.5299
2019-12,59.0185,32.3145
2020-01,50.3745,35.5516
2020-02,67.6055,34.7733
2020-03,51.0725,23.2161
2020-04,-7.9367,2.6957
2020-05,31.3232,17.923
2020-06,55.9409,27.1545
2020-07,51.7186,29.2791
2020-08,85.2092,35.3897
2020-09,104.1617,45.4969
2020-10,113.8608,38.8421
2020-11,82.5738,33.8054
2020-12,95.4906,49.4413
2021-01,85.9091,52.4925
2021-02,106.3697,52.5474
2021-03,106.6435,57.1165
2021-04,140.3474,62.2404
2021-05,157.0901,68.0147
2021-06,147.8315,67.9506
2021-07,139.8009,71.7835
2021-08,144.4234,73.9065
2021-09,146.8175,78.108
2021-10,111.2421,70.559
2021-11,126.0481,79.7147
2021-12,142.7992,74.8714
2022-01,168.8102,83.8439
2022-02,119.8059,74.2485
2022-03,109.9045,64.4857
2022-04,85.0023,72.8765
2022-05,67.9757,56.3809
2022-06,81.8703,54.7432
2022-07,68.8227,43.9638
2022-08,87.4554,54.5402
2022-09,70.4596,48.4061
2022-10,60.1255,33.808
2022-11,83.1045,43.6413
2022-12,104.65,51.6237
2023-01,109.1267,42.3283
2023-02,132.9301,52.4008
2023-03,111.0937,45.8599
2023-04,125.5126,52.4428
2023-05,148.698,54.1535
2023-06,147.7325,55.8684
2023-07,176.0565,63.7729
2023-08,188.1545,67.9151
2023-09,170.4743,65.3142
2023-10,140.2278,56.4671
2023-11,142.8002,54.158
2023-12,189.5551,66.8181
2024-01,233.9924,72.7134
2024-02,221.434,77.0248
2024-03,232.0418,84.7703
2024-04,248.9,89.0895
2024-05,205.5376,80.3005
2024-06,214.8332,89.1407
2024-07,189.9169,96.817
2024-08,277.0671,94.9948
2024-09,294.7054,101.4737
2024-10,300.1194,104.2286
2024-11,245.5854,104.0979
2024-12,246.4428,114.1559
2025-01,185.1069,108.1307
2025-02,187.6238,112.719
2025-03,157.93,109.0154
2025-04,157.7175,97.097
2025-05,152.5667,95.2965
2025-06,138.6299,105.2137
2025-07,169.2637,114.7559
2025-08,200.5899,115.142
2025-09,237.7931,122.2543
2025-10,241.6232,129.8729
2025-11,193.5734,133.4127
2025-12,209.0615,131.7276
2026-01,181.2668,131.8756
2026-02,210.7442,131.1612
