Date,rate_AME_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.4276,-3.7423
2016-03,-3.2807,0.3764
2016-04,2.4533,5.1946
2016-05,-2.2895,3.5695
2016-06,-2.2393,4.8356
2016-07,-4.771,4.3651
2016-08,-2.6985,7.2005
2016-09,1.1515,6.5176
2016-10,-0.8719,5.8316
2016-11,-6.7954,2.6321
2016-12,3.2385,6.5262
2017-01,1.4805,8.6002
2017-02,6.5519,9.8701
2017-03,14.7348,14.9815
2017-04,11.5022,12.5254
2017-05,17.9667,13.1716
2017-06,24.8613,14.581
2017-07,21.7683,14.626
2017-08,22.7081,16.4591
2017-09,24.744,15.9061
2017-10,29.228,17.2911
2017-11,30.2381,19.4181
2017-12,38.1974,21.7575
2018-01,37.4923,22.6249
2018-02,46.1964,28.3844
2018-03,37.5018,21.0506
2018-04,39.6504,18.8566
2018-05,26.0214,18.843
2018-06,34.063,22.0592
2018-07,29.5031,20.962
2018-08,36.8493,24.4135
2018-09,35.942,27.7869
2018-10,39.9137,28.1445
2018-11,24.6732,19.3954
2018-12,27.0805,19.8359
2019-01,16.7087,8.7501
2019-02,26.0594,17.203
2019-03,35.8912,21.2677
2019-04,42.7201,23.6016
2019-05,45.629,25.5902
2019-06,37.0336,17.8911
2019-07,53.3739,26.7327
2019-08,45.8705,25.8061
2019-09,40.9066,24.2046
2019-10,45.3554,24.595
2019-11,53.1456,29.5299
2019-12,59.7747,32.3145
2020-01,59.9203,35.5516
2020-02,54.5743,34.7733
2020-03,35.8657,23.2161
2020-04,9.9986,2.6957
2020-05,26.6027,17.923
2020-06,44.1622,27.1545
2020-07,36.7222,29.2791
2020-08,44.844,35.3897
2020-09,57.5883,45.4969
2020-10,54.0746,38.8421
2020-11,50.6091,33.8054
2020-12,78.7846,49.4413
2021-01,83.8881,52.4925
2021-02,73.3653,52.5474
2021-03,83.2714,57.1165
2021-04,92.334,62.2404
2021-05,100.1914,68.0147
2021-06,99.8852,67.9506
2021-07,96.5731,71.7835
2021-08,102.5739,73.9065
2021-09,94.022,78.108
2021-10,79.7069,70.559
2021-11,91.556,79.7147
2021-12,92.7489,74.8714
2022-01,107.5882,83.8439
2022-02,92.1654,74.2485
2022-03,77.4098,64.4857
2022-04,86.3589,72.8765
2022-05,74.0289,56.3809
2022-06,65.0749,54.7432
2022-07,52.3063,43.9638
2022-08,66.4994,54.5402
2022-09,63.0272,48.4061
2022-10,53.0866,33.808
2022-11,77.4654,43.6413
2022-12,91.5861,51.6237
2023-01,86.041,42.3283
2023-02,92.2181,52.4008
2023-03,86.5355,45.8599
2023-04,90.6874,52.4428
2023-05,81.8385,54.1535
2023-06,90.7986,55.8684
2023-07,110.0396,63.7729
2023-08,105.6936,67.9151
2023-09,106.083,65.3142
2023-10,88.8164,56.4671
2023-11,81.0552,54.158
2023-12,98.7399,66.8181
2024-01,107.8948,72.7134
2024-02,108.0101,77.0248
2024-03,125.381,84.7703
2024-04,124.1879,89.0895
2024-05,114.9392,80.3005
2024-06,108.3931,89.1407
2024-07,103.4538,96.817
2024-08,94.573,94.9948
2024-09,108.1694,101.4737
2024-10,105.116,104.2286
2024-11,115.3854,104.0979
2024-12,133.4631,114.1559
2025-01,116.3607,108.1307
2025-02,120.427,112.719
2025-03,124.9643,109.0154
2025-04,104.3508,97.097
2025-05,97.9379,95.2965
2025-06,110.5964,105.2137
2025-07,115.7825,114.7559
2025-08,113.9525,115.142
2025-09,115.8189,122.2543
2025-10,118.2574,129.8729
2025-11,134.2575,133.4127
2025-12,125.6308,131.7276
2026-01,136.7875,131.8756
2026-02,173.2011,131.1612
