Date,rate_TT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,8.5249,-0.6039
2016-03,17.2498,5.2168
2016-04,19.1496,3.9893
2016-05,17.2575,4.6886
2016-06,9.5798,4.1237
2016-07,12.4348,7.1795
2016-08,13.6846,6.3603
2016-09,12.525,5.6281
2016-10,10.1869,3.196
2016-11,20.9721,6.7601
2016-12,20.6151,8.3626
2017-01,27.4975,10.2536
2017-02,25.4954,13.6522
2017-03,27.1548,12.7005
2017-04,36.7306,12.9818
2017-05,35.6863,13.693
2017-06,36.8166,13.5288
2017-07,29.5625,15.0481
2017-08,24.4418,14.5515
2017-09,29.3004,16.1037
2017-10,27.0103,17.9557
2017-11,24.4245,20.6805
2017-12,26.2533,21.3029
2018-01,33.905,28.0338
2018-02,24.2321,22.1441
2018-03,19.4398,18.3021
2018-04,16.5488,18.0902
2018-05,20.8635,20.2208
2018-06,23.6905,20.3415
2018-07,34.8696,23.8746
2018-08,37.4946,27.0072
2018-09,39.5813,27.7347
2018-10,29.6687,18.1437
2018-11,38.8019,19.7418
2018-12,21.9314,8.5778
2019-01,33.6334,17.1263
2019-02,39.8965,20.3748
2019-03,42.5611,22.0514
2019-04,60.4653,26.2651
2019-05,53.306,17.5943
2019-06,63.1955,25.308
2019-07,57.6941,26.4355
2019-08,53.0325,23.7232
2019-09,56.3784,26.1617
2019-10,59.7004,28.2707
2019-11,63.492,32.1761
2019-12,64.9286,35.3247
2020-01,65.3117,35.2749
2020-02,58.6011,23.5454
2020-03,30.6267,7.7105
2020-04,37.6136,21.425
2020-05,41.1805,26.7132
2020-06,39.2193,28.4357
2020-07,74.0046,35.3124
2020-08,82.5624,43.9511
2020-09,86.0838,37.6938
2020-10,101.8718,33.4637
2020-11,120.1631,47.2943
2020-12,117.1165,51.8455
2021-01,114.4217,50.305
2021-02,126.9764,53.4604
2021-03,143.5484,59.4101
2021-04,153.0466,66.6882
2021-05,168.4857,66.6274
2021-06,163.2348,69.2184
2021-07,187.992,72.1455
2021-08,177.7763,75.992
2021-09,139.9493,66.6118
2021-10,149.0804,77.1553
2021-11,154.5343,74.6519
2021-12,173.7313,81.397
2022-01,132.3723,70.7122
2022-02,104.9489,64.6001
2022-03,102.6774,69.8532
2022-04,84.2898,54.0273
2022-05,80.6756,53.6333
2022-06,69.7735,40.2902
2022-07,91.0008,52.5094
2022-08,98.8922,45.531
2022-09,86.4481,31.5965
2022-10,104.1806,41.7445
2022-11,126.6605,48.9584
2022-12,112.7809,39.838
2023-01,126.7331,48.5632
2023-02,132.4539,44.2258
2023-03,130.4678,48.9578
2023-04,131.105,50.6836
2023-05,101.5924,50.7741
2023-06,135.7501,59.884
2023-07,144.1124,64.3798
2023-08,150.3712,60.953
2023-09,145.7467,52.6248
2023-10,128.9248,48.7132
2023-11,170.1175,61.6976
2023-12,190.1363,68.3392
2024-01,199.8237,71.0275
2024-02,233.7783,79.0476
2024-03,252.5344,83.99
2024-04,269.7333,75.7344
2024-05,278.4969,83.6813
2024-06,278.1642,89.2836
2024-07,281.3443,90.5002
2024-08,309.3632,94.0822
2024-09,340.9456,98.2932
2024-10,316.5037,95.412
2024-11,364.6028,105.8418
2024-12,309.9186,99.9875
2025-01,302.6114,105.351
2025-02,289.5928,101.7087
2025-03,269.4009,89.4719
2025-04,317.1732,87.0451
2025-05,364.7307,97.8575
2025-06,369.8436,107.0685
2025-07,367.0053,110.7404
2025-08,339.7391,114.0337
2025-09,347.4562,121.6081
2025-10,372.2269,125.7153
2025-11,340.3849,125.0226
2025-12,303.7834,124.0393
2026-01,336.3256,127.2713
2026-02,124.9768,125.3185
