Date,rate_GIS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.3191,-0.6039
2016-03,9.4271,5.2168
2016-04,3.7002,3.9893
2016-05,4.9694,4.6886
2016-06,18.0439,4.1237
2016-07,16.9653,7.1795
2016-08,13.1288,6.3603
2016-09,0.8533,5.6281
2016-10,-1.5125,3.196
2016-11,-3.0227,6.7601
2016-12,-1.4435,8.3626
2017-01,0.4506,10.2536
2017-02,-2.8651,13.6522
2017-03,-4.9013,12.7005
2017-04,-6.2012,12.9818
2017-05,-6.9961,13.693
2017-06,-8.8935,13.5288
2017-07,-7.1675,15.0481
2017-08,-10.7868,14.5515
2017-09,-12.8331,16.1037
2017-10,-11.1495,17.9557
2017-11,-2.7073,20.6805
2017-12,2.0965,21.3029
2018-01,1.5627,28.0338
2018-02,-12.2383,22.1441
2018-03,-21.3452,18.3021
2018-04,-21.9229,18.0902
2018-05,-23.7238,20.2208
2018-06,-19.3331,20.3415
2018-07,-14.4098,23.8746
2018-08,-13.9526,27.0072
2018-09,-19.7309,27.7347
2018-10,-16.5108,18.1437
2018-11,-18.9163,19.7418
2018-12,-24.8044,8.5778
2019-01,-13.2418,17.1263
2019-02,-7.585,20.3748
2019-03,1.6806,22.0514
2019-04,2.0744,26.2651
2019-05,-2.0101,17.5943
2019-06,4.0653,25.308
2019-07,6.0437,26.4355
2019-08,7.1926,23.7232
2019-09,9.8194,26.1617
2019-10,2.1071,28.2707
2019-11,6.9516,32.1761
2019-12,7.2516,35.3247
2020-01,5.5497,35.2749
2020-02,-1.1289,23.5454
2020-03,6.3763,7.7105
2020-04,21.5164,21.425
2020-05,27.4262,26.7132
2020-06,24.0348,28.4357
2020-07,27.8048,35.3124
2020-08,28.5414,43.9511
2020-09,23.4579,37.6938
2020-10,18.8855,33.4637
2020-11,21.891,47.2943
2020-12,17.4295,51.8455
2021-01,17.0502,50.305
2021-02,10.545,53.4604
2021-03,23.0104,59.4101
2021-04,22.7093,66.6882
2021-05,26.288,66.6274
2021-06,21.9761,69.2184
2021-07,18.5085,72.1455
2021-08,16.0625,75.992
2021-09,19.8218,66.6118
2021-10,24.4495,77.1553
2021-11,23.9747,74.6519
2021-12,34.8267,81.397
2022-01,37.9004,70.7122
2022-02,34.8398,64.6001
2022-03,34.9109,69.8532
2022-04,41.3568,54.0273
2022-05,39.0457,53.6333
2022-06,49.6008,40.2902
2022-07,48.6623,52.5094
2022-08,51.9293,45.531
2022-09,50.8403,31.5965
2022-10,60.9185,41.7445
2022-11,67.4407,48.9584
2022-12,63.726,39.838
2023-01,54.0639,48.5632
2023-02,55.62,44.2258
2023-03,66.5116,48.9578
2023-04,72.8561,50.6836
2023-05,63.2563,50.7741
2023-06,48.0812,59.884
2023-07,44.8549,64.3798
2023-08,30.6507,60.953
2023-09,23.2411,52.6248
2023-10,26.5245,48.7132
2023-11,23.1566,61.6976
2023-12,25.7357,68.3392
2024-01,26.4303,71.0275
2024-02,24.7067,79.0476
2024-03,35.6505,83.99
2024-04,37.338,75.7344
2024-05,33.6143,83.6813
2024-06,22.6259,89.2836
2024-07,31.0436,90.5002
2024-08,40.7121,94.0822
2024-09,43.7483,98.2932
2024-10,33.1331,95.412
2024-11,29.3389,105.8418
2024-12,24.175,99.9875
2025-01,18.2758,105.351
2025-02,19.0322,101.7087
2025-03,17.1877,89.4719
2025-04,12.2204,87.0451
2025-05,7.2351,97.8575
2025-06,2.3242,107.0685
2025-07,-2.1069,110.7404
2025-08,-1.3965,114.0337
2025-09,0.7814,121.6081
2025-10,-5.63,125.7153
2025-11,-4.0811,125.0226
2025-12,-5.7644,124.0393
2026-01,-5.0148,127.2713
2026-02,3.9935,125.3185
