Date,rate_HAL_5D,rate_VOO_20D
2016-01,-7.532,-3.28
2016-02,-1.4863,-1.8027
2016-03,8.6772,4.5695
2016-04,23.5787,3.6217
2016-05,23.4098,4.6859
2016-06,28.2789,4.2011
2016-07,19.7061,7.3141
2016-08,15.9093,6.5393
2016-09,20.9393,5.8417
2016-10,21.8002,3.4057
2016-11,38.2059,7.0013
2016-12,37.9889,8.6582
2017-01,41.2467,9.9058
2017-02,31.1863,13.4199
2017-03,18.7214,12.5861
2017-04,9.6216,12.9516
2017-05,7.4339,13.7442
2017-06,1.5535,14.6714
2017-07,0.8317,16.2352
2017-08,-7.4352,15.7466
2017-09,11.5015,17.3266
2017-10,3.0665,19.2474
2017-11,0.5923,22.0133
2017-12,17.8929,22.6523
2018-01,28.7301,28.4864
2018-02,10.2896,22.6807
2018-03,11.5929,18.8927
2018-04,25.4822,18.6249
2018-05,17.0076,20.8091
2018-06,5.9696,20.9812
2018-07,-0.4149,24.5763
2018-08,-6.3057,27.7899
2018-09,-4.189,27.6747
2018-10,-17.9255,18.1983
2018-11,-25.1466,19.8597
2018-12,-35.6562,8.8011
2019-01,-22.9755,17.1215
2019-02,-24.0868,20.4441
2019-03,-26.5023,22.1999
2019-04,-28.3668,26.5012
2019-05,-45.5688,17.9266
2019-06,-40.2421,25.7011
2019-07,-38.6398,26.9004
2019-08,-48.882,24.2426
2019-09,-47.2705,26.142
2019-10,-45.0656,28.3311
2019-11,-39.1613,32.3256
2019-12,-27.6171,35.5485
2020-01,-34.969,34.7719
2020-02,-48.8585,23.2511
2020-03,-78.333,7.5779
2020-04,-64.3937,21.2186
2020-05,-58.6496,26.5774
2020-06,-53.1824,28.3766
2020-07,-47.1758,35.3325
2020-08,-39.419,44.0777
2020-09,-54.3399,37.914
2020-10,-53.2278,33.7633
2020-11,-34.4591,47.7098
2020-12,-24.75,52.3667
2021-01,-29.4201,49.9654
2021-02,-12.0716,53.2453
2021-03,-13.4505,60.4049
2021-04,-20.9418,67.83
2021-05,-8.9085,67.8968
2021-06,-6.114,70.6358
2021-07,-15.9674,73.7106
2021-08,-18.581,77.7187
2021-09,-11.5925,68.3779
2021-10,2.3139,79.119
2021-11,-11.648,76.6949
2021-12,-6.2149,83.6042
2022-01,26.1372,72.9303
2022-02,37.1589,66.8181
2022-03,54.9758,72.1992
2022-04,45.0712,56.2223
2022-05,64.7521,55.8933
2022-06,26.9249,42.4002
2022-07,18.2734,54.8512
2022-08,21.4353,47.8158
2022-09,-0.4444,33.7039
2022-10,47.221,44.0824
2022-11,52.5631,51.4429
2022-12,58.2685,42.1877
2023-01,65.0647,50.5828
2023-02,45.0778,46.2373
2023-03,26.2072,52.2586
2023-04,30.3229,54.0684
2023-05,13.7317,54.1996
2023-06,31.3431,63.548
2023-07,55.1573,68.1942
2023-08,52.7343,64.7317
2023-09,60.1658,56.2636
2023-10,54.9591,52.2886
2023-11,45.3209,65.5989
2023-12,42.0156,72.448
2024-01,39.6251,74.4576
2024-02,36.9638,82.7177
2024-03,54.1612,89.0282
2024-04,46.0067,80.6052
2024-05,42.5934,88.8335
2024-06,31.5317,96.0415
2024-07,34.7353,97.3583
2024-08,20.5384,101.128
2024-09,13.1103,105.7758
2024-10,7.8515,102.865
2024-11,23.7711,113.7798
2024-12,6.1176,107.7813
2025-01,1.5021,112.3595
2025-02,2.8522,108.6721
2025-03,-0.4068,96.0839
2025-04,-22.1788,93.6359
2025-05,-22.8915,104.9003
2025-06,-18.9071,114.5225
2025-07,-10.7655,118.4064
2025-08,-9.3261,121.8959
2025-09,-1.1108,128.6764
2025-10,7.8737,133.0211
2025-11,5.3197,132.409
2025-12,14.1263,131.4906
2026-01,35.2097,133.7386
2026-02,44.896,130.7823
2026-03,44.4106,129.7769
