Date,rate_ALB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.0095,-3.7423
2016-03,8.2193,0.3764
2016-04,17.7507,5.1946
2016-05,14.9557,3.5695
2016-06,34.8208,4.8356
2016-07,32.1496,4.3651
2016-08,31.6042,7.2005
2016-09,23.671,6.5176
2016-10,27.7214,5.8316
2016-11,21.1537,2.6321
2016-12,23.1764,6.5262
2017-01,22.2771,8.6002
2017-02,30.8211,9.8701
2017-03,41.3484,14.9815
2017-04,43.04,12.5254
2017-05,45.3253,13.1716
2017-06,47.8304,14.581
2017-07,35.5632,14.626
2017-08,48.7466,16.4591
2017-09,47.7994,15.9061
2017-10,67.5983,17.2911
2017-11,71.7867,19.4181
2017-12,56.5978,21.7575
2018-01,49.637,22.6249
2018-02,26.0698,28.3844
2018-03,9.9572,21.0506
2018-04,6.2347,18.8566
2018-05,11.5863,18.843
2018-06,7.3565,22.0592
2018-07,7.5681,20.962
2018-08,3.5432,24.4135
2018-09,8.5548,27.7869
2018-10,14.7037,28.1445
2018-11,19.4578,19.3954
2018-12,8.6355,19.8359
2019-01,-12.893,8.7501
2019-02,-7.7477,17.203
2019-03,3.2454,21.2677
2019-04,-3.9101,23.6016
2019-05,-15.3871,25.5902
2019-06,-27.3714,17.8911
2019-07,-18.1579,26.7327
2019-08,-18.604,25.8061
2019-09,-27.4244,24.2046
2019-10,-18.5801,24.595
2019-11,-22.7543,29.5299
2019-12,-21.1996,32.3145
2020-01,-11.0302,35.5516
2020-02,-1.9665,34.7733
2020-03,-0.0112,23.2161
2020-04,-32.5378,2.6957
2020-05,-28.6864,17.923
2020-06,-3.1537,27.1545
2020-07,-4.3175,29.2791
2020-08,3.8163,35.3897
2020-09,22.5304,45.4969
2020-10,9.2479,38.8421
2020-11,17.2366,33.8054
2020-12,70.4772,49.4413
2021-01,84.2835,52.4925
2021-02,106.2705,52.5474
2021-03,88.0547,57.1165
2021-04,84.4344,62.2404
2021-05,104.2864,68.0147
2021-06,106.6094,67.9506
2021-07,106.1764,71.7835
2021-08,145.0367,73.9065
2021-09,181.995,78.108
2021-10,156.0919,70.559
2021-11,196.7481,79.7147
2021-12,198.5483,74.8714
2022-01,166.5462,83.8439
2022-02,154.575,74.2485
2022-03,109.0287,64.4857
2022-04,150.8553,72.8765
2022-05,113.3618,56.3809
2022-06,163.8522,54.7432
2022-07,124.0607,43.9638
2022-08,160.2406,54.5402
2022-09,176.5311,48.4061
2022-10,182.7585,33.808
2022-11,195.9739,43.6413
2022-12,189.7073,51.6237
2023-01,126.8496,42.3283
2023-02,197.1004,52.4008
2023-03,160.5112,45.8599
2023-04,126.721,52.4428
2023-05,80.67,54.1535
2023-06,98.2893,55.8684
2023-07,125.3828,63.7729
2023-08,108.8417,67.9151
2023-09,99.9399,65.3142
2023-10,69.252,56.4671
2023-11,21.8564,54.158
2023-12,24.7905,66.8181
2024-01,43.0096,72.7134
2024-02,15.232,77.0248
2024-03,40.7157,84.7703
2024-04,27.3146,89.0895
2024-05,17.0287,80.3005
2024-06,20.3845,89.1407
2024-07,-3.3256,96.817
2024-08,-7.5048,94.9948
2024-09,-10.3346,101.4737
2024-10,-4.9807,104.2286
2024-11,-0.9849,104.0979
2024-12,8.5588,114.1559
2025-01,-12.0739,108.1307
2025-02,-13.8982,112.719
2025-03,-21.106,109.0154
2025-04,-25.0182,97.097
2025-05,-37.8858,95.2965
2025-06,-41.2992,105.2137
2025-07,-32.088,114.7559
2025-08,-26.3907,115.142
2025-09,-7.6561,122.2543
2025-10,-6.759,129.8729
2025-11,8.4938,133.4127
2025-12,41.6446,131.7276
2026-01,57.0691,131.8756
2026-02,97.0505,131.1612
