Date,rate_LNT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.4993,-1.8027
2016-03,14.0381,4.5695
2016-04,5.6066,3.6217
2016-05,9.7825,4.6859
2016-06,15.7292,4.2011
2016-07,15.6349,7.3141
2016-08,7.2047,6.5393
2016-09,7.4959,5.8417
2016-10,6.8408,3.4057
2016-11,0.4396,7.0013
2016-12,5.9982,8.6582
2017-01,7.4947,9.9058
2017-02,12.3362,13.4199
2017-03,11.9472,12.5861
2017-04,11.2705,12.9516
2017-05,16.6769,13.7442
2017-06,12.1107,14.6714
2017-07,13.3419,16.2352
2017-08,18.7632,15.7466
2017-09,14.6681,17.3266
2017-10,19.4878,19.2474
2017-11,23.7301,22.0133
2017-12,15.9754,22.6523
2018-01,8.5114,28.4864
2018-02,5.2719,22.6807
2018-03,11.0918,18.8927
2018-04,19.0633,18.6249
2018-05,14.2115,20.8091
2018-06,16.2726,20.9812
2018-07,18.4389,24.5763
2018-08,17.5618,27.7899
2018-09,16.2933,27.6747
2018-10,17.8499,18.1983
2018-11,23.9184,19.8597
2018-12,14.7411,8.8011
2019-01,21.3021,17.1215
2019-02,24.5642,20.4441
2019-03,27.3332,22.1999
2019-04,27.8869,26.5012
2019-05,27.8564,17.9266
2019-06,31.5286,25.7011
2019-07,32.9699,26.9004
2019-08,39.9494,24.2426
2019-09,42.982,26.142
2019-10,41.4311,28.3311
2019-11,39.6716,32.3256
2019-12,43.3458,35.5485
2020-01,55.5132,34.7719
2020-02,35.5924,23.2511
2020-03,24.9966,7.5779
2020-04,26.3132,21.2186
2020-05,27.9926,26.5774
2020-06,23.5495,28.3766
2020-07,39.5044,35.3325
2020-08,39.5704,44.0777
2020-09,32.4906,37.914
2020-10,42.1406,33.7633
2020-11,34.5755,47.7098
2020-12,31.2517,52.3667
2021-01,24.4616,49.9654
2021-02,17.7086,53.2453
2021-03,37.714,60.4049
2021-04,43.2229,67.83
2021-05,45.0416,67.8968
2021-06,40.8548,70.6358
2021-07,48.2025,73.7106
2021-08,53.1825,77.7187
2021-09,40.3461,68.3779
2021-10,44.2621,79.119
2021-11,39.0988,76.6949
2021-12,55.4178,83.6042
2022-01,53.8392,72.9303
2022-02,49.4681,66.8181
2022-03,59.226,72.1992
2022-04,50.2191,56.2223
2022-05,62.2925,55.8933
2022-06,48.3349,42.4002
2022-07,54.6103,54.8512
2022-08,54.2053,47.8158
2022-09,33.2916,33.7039
2022-10,34.0479,44.0824
2022-11,44.1601,51.4429
2022-12,40.8727,42.1877
2023-01,38.5452,50.5828
2023-02,31.0177,46.2373
2023-03,36.1064,52.2586
2023-04,41.2633,54.0684
2023-05,31.4064,54.1996
2023-06,33.665,63.548
2023-07,39.9404,68.1942
2023-08,30.2775,64.7317
2023-09,25.5085,56.2636
2023-10,27.2846,52.2886
2023-11,31.5921,65.5989
2023-12,33.1375,72.448
2024-01,27.2088,74.4576
2024-02,24.5063,82.7177
2024-03,31.1492,89.0282
2024-04,30.5408,80.6052
2024-05,34.6269,88.8335
2024-06,32.7499,96.0415
2024-07,46.0538,97.3583
2024-08,52.3934,101.128
2024-09,58.198,105.7758
2024-10,57.099,102.865
2024-11,64.9955,113.7798
2024-12,53.8414,107.7813
2025-01,53.9874,112.3595
2025-02,70.9717,108.6721
2025-03,69.8562,96.0839
2025-04,61.8662,93.6359
2025-05,64.4776,104.9003
2025-06,59.2804,114.5225
2025-07,71.9925,118.4064
2025-08,71.5135,121.8959
2025-09,77.0442,128.6764
2025-10,76.178,133.0211
2025-11,85.1989,132.409
2025-12,72.707,131.4906
2026-01,77.3177,133.7386
2026-02,95.4444,130.7823
2026-03,90.5536,126.4154
