Date,rate_ZBRA_5D,rate_VOO_20D
2016-01,-9.135,-3.28
2016-02,-2.1226,-1.8027
2016-03,9.3039,4.5695
2016-04,-2.6859,3.6217
2016-05,-16.8908,4.6859
2016-06,-19.0411,4.2011
2016-07,-11.4187,7.3141
2016-08,18.4857,6.5393
2016-09,15.9568,5.8417
2016-10,8.1778,3.4057
2016-11,28.8298,7.0013
2016-12,37.4027,8.6582
2017-01,31.2623,9.9058
2017-02,39.9316,13.4199
2017-03,38.0831,12.5861
2017-04,40.1763,12.9516
2017-05,52.4655,13.7442
2017-06,43.9068,14.6714
2017-07,43.2822,16.2352
2017-08,43.0439,15.7466
2017-09,48.4247,17.3266
2017-10,56.193,19.2474
2017-11,46.3331,22.0133
2017-12,35.8979,22.6523
2018-01,59.475,28.4864
2018-02,76.3093,22.6807
2018-03,74.7317,18.8927
2018-04,66.6907,18.6249
2018-05,87.0749,20.8091
2018-06,71.9153,20.9812
2018-07,63.3144,24.5763
2018-08,100.8284,27.7899
2018-09,103.6192,27.6747
2018-10,88.7118,18.1983
2018-11,101.2123,19.8597
2018-12,75.7165,8.8011
2019-01,89.3219,17.1215
2019-02,115.8452,20.4441
2019-03,122.405,22.1999
2019-04,120.9974,26.5012
2019-05,77.1608,17.9266
2019-06,114.1889,25.7011
2019-07,112.9522,26.9004
2019-08,104.6124,24.2426
2019-09,103.6068,26.142
2019-10,132.107,28.3311
2019-11,141.8646,32.3256
2019-12,143.1841,35.5485
2020-01,124.8472,34.7719
2020-02,96.32,23.2511
2020-03,69.2616,7.5779
2020-04,110.0859,21.2186
2020-05,136.6535,26.5774
2020-06,129.2926,28.3766
2020-07,148.9354,35.3325
2020-08,151.3434,44.0777
2020-09,119.1579,37.914
2020-10,143.8336,33.7633
2020-11,221.8787,47.7098
2020-12,223.1761,52.3667
2021-01,222.4212,49.9654
2021-02,310.4075,53.2453
2021-03,293.8837,60.4049
2021-04,291.3232,67.83
2021-05,294.2177,67.8968
2021-06,315.1534,70.6358
2021-07,328.2506,73.7106
2021-08,350.0019,77.7187
2021-09,290.656,68.3779
2021-10,300.3874,79.119
2021-11,336.7527,76.6949
2021-12,336.8049,83.6042
2022-01,269.8131,72.9303
2022-02,197.3068,66.8181
2022-03,194.9533,72.1992
2022-04,161.3285,56.2223
2022-05,137.2041,55.8933
2022-06,104.718,42.4002
2022-07,147.4181,54.8512
2022-08,107.1082,47.8158
2022-09,78.7488,33.7039
2022-10,92.1698,44.0824
2022-11,82.5453,51.4429
2022-12,72.2719,42.1877
2023-01,111.2917,50.5828
2023-02,99.3959,46.2373
2023-03,109.9545,52.2586
2023-04,89.0543,54.0684
2023-05,71.4639,54.1996
2023-06,92.2356,63.548
2023-07,99.0467,68.1942
2023-08,77.0346,64.7317
2023-09,51.5831,56.2636
2023-10,33.7654,52.2886
2023-11,51.027,65.5989
2023-12,73.5374,72.448
2024-01,51.4667,74.4576
2024-02,76.0654,82.7177
2024-03,89.0191,89.0282
2024-04,96.3041,80.6052
2024-05,93.9911,88.8335
2024-06,90.9631,96.0415
2024-07,116.0595,97.3583
2024-08,111.4153,101.128
2024-09,125.5319,105.7758
2024-10,131.4042,102.865
2024-11,145.2333,113.7798
2024-12,131.4592,107.7813
2025-01,133.6587,112.3595
2025-02,86.8687,108.6721
2025-03,66.9141,96.0839
2025-04,47.3744,93.6359
2025-05,70.069,104.9003
2025-06,80.3147,114.5225
2025-07,97.4339,118.4064
2025-08,83.8995,121.8959
2025-09,71.6843,128.6764
2025-10,55.0348,133.0211
2025-11,45.1162,132.409
2025-12,39.0684,131.4906
2026-01,34.2748,133.7386
2026-02,27.716,130.7823
2026-03,27.468,129.7769
