Date,rate_ALNY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-16.1403,-0.6039
2016-03,-5.3437,5.2168
2016-04,1.5183,3.9893
2016-05,7.6064,4.6886
2016-06,-17.5428,4.1237
2016-07,2.4181,7.1795
2016-08,4.0349,6.3603
2016-09,0.603,5.6281
2016-10,-47.2024,3.196
2016-11,-30.1435,6.7601
2016-12,-37.8782,8.3626
2017-01,-33.6494,10.2536
2017-02,-11.199,13.6522
2017-03,-11.0619,12.7005
2017-04,-6.1454,12.9818
2017-05,14.7645,13.693
2017-06,38.2487,13.5288
2017-07,41.0332,15.0481
2017-08,43.9747,14.5515
2017-09,93.9806,16.1037
2017-10,96.2998,17.9557
2017-11,111.9015,20.6805
2017-12,95.4355,21.3029
2018-01,99.9324,28.0338
2018-02,80.9944,22.1441
2018-03,76.2039,18.3021
2018-04,38.1273,18.0902
2018-05,43.9277,20.2208
2018-06,40.8987,20.3415
2018-07,34.5515,23.8746
2018-08,72.2314,27.0072
2018-09,22.9042,27.7347
2018-10,12.2407,18.1437
2018-11,12.589,19.7418
2018-12,0.7033,8.5778
2019-01,15.3461,17.1263
2019-02,16.8618,20.3748
2019-03,27.9171,22.0514
2019-04,21.5912,26.2651
2019-05,-8.3897,17.5943
2019-06,-1.3135,25.308
2019-07,5.5626,26.4355
2019-08,9.6921,23.7232
2019-09,9.3255,26.1617
2019-10,17.8731,28.2707
2019-11,58.4362,32.1761
2019-12,54.4005,35.3247
2020-01,53.8915,35.2749
2020-02,56.4734,23.5454
2020-03,43.6498,7.7105
2020-04,72.7366,21.425
2020-05,75.8655,26.7132
2020-06,90.8315,28.4357
2020-07,85.9603,35.3124
2020-08,67.5961,43.9511
2020-09,82.5335,37.6938
2020-10,52.8483,33.4637
2020-11,60.3761,47.2943
2020-12,59.2923,51.8455
2021-01,84.3981,50.305
2021-02,79.9791,53.4604
2021-03,70.2045,59.4101
2021-04,68.2984,66.6882
2021-05,68.7804,66.6274
2021-06,100.055,69.2184
2021-07,109.398,72.1455
2021-08,133.6716,75.992
2021-09,117.0504,66.6118
2021-10,81.8648,77.1553
2021-11,107.8978,74.6519
2021-12,90.3169,81.397
2022-01,53.2871,70.7122
2022-02,74.8338,64.6001
2022-03,79.669,69.8532
2022-04,45.8252,54.0273
2022-05,36.8125,53.6333
2022-06,58.0342,40.2902
2022-07,53.0913,52.5094
2022-08,121.6997,45.531
2022-09,113.1011,31.5965
2022-10,119.1066,41.7445
2022-11,131.4728,48.9584
2022-12,147.5294,39.838
2023-01,135.8119,48.5632
2023-02,97.9576,44.2258
2023-03,105.7922,48.9578
2023-04,103.3188,50.6836
2023-05,87.6378,50.7741
2023-06,91.5071,59.884
2023-07,95.8727,64.3798
2023-08,97.1749,60.953
2023-09,75.481,52.6248
2023-10,49.6698,48.7132
2023-11,65.1982,61.6976
2023-12,87.0635,68.3392
2024-01,68.984,71.0275
2024-02,46.9856,79.0476
2024-03,44.8568,83.99
2024-04,39.0266,75.7344
2024-05,42.8606,83.6813
2024-06,133.0847,89.2836
2024-07,126.3817,90.5002
2024-08,148.8243,94.0822
2024-09,160.5018,98.2932
2024-10,150.881,95.412
2024-11,136.6478,105.8418
2024-12,118.7583,99.9875
2025-01,152.1869,105.351
2025-02,127.9564,101.7087
2025-03,148.0467,89.4719
2025-04,140.4431,87.0451
2025-05,176.605,97.8575
2025-06,194.3003,107.0685
2025-07,251.7196,110.7404
2025-08,297.6154,114.0337
2025-09,306.066,121.6081
2025-10,303.2008,125.7153
2025-11,296.1831,125.0226
2025-12,246.7462,124.0393
2026-01,194.8256,127.2713
2026-02,24.7462,125.3185
