Date,rate_MRSH_5D,rate_VOO_20D
2016-01,2.1657,1.4254
2016-02,8.1993,0.6142
2016-03,11.1057,6.1243
2016-04,12.8395,4.6014
2016-05,15.1896,5.2878
2016-06,12.2688,4.687
2016-07,6.7906,7.7174
2016-08,8.7883,6.8637
2016-09,7.1608,5.9421
2016-10,0.8646,3.4868
2016-11,10.0766,6.843
2016-12,6.734,8.2789
2017-01,7.2404,9.3935
2017-02,15.1023,12.821
2017-03,14.5775,12.0413
2017-04,14.5824,12.4367
2017-05,18.9671,13.2406
2017-06,18.5581,14.1802
2017-07,19.1321,15.6892
2017-08,18.3316,15.2834
2017-09,26.0872,16.8657
2017-10,22.2779,18.7799
2017-11,25.6743,21.509
2017-12,20.7759,22.1709
2018-01,23.6297,27.9258
2018-02,21.1277,22.2578
2018-03,18.9412,18.4465
2018-04,17.3818,18.162
2018-05,15.1569,20.337
2018-06,16.8976,20.5057
2018-07,18.8956,24.0401
2018-08,20.0802,27.2093
2018-09,16.7724,27.1082
2018-10,19.8127,17.9327
2018-11,21.2565,19.5577
2018-12,8.4769,8.5722
2019-01,20.2665,16.8959
2019-02,26.2246,20.2219
2019-03,26.7299,21.9603
2019-04,27.1116,26.2654
2019-05,28.1577,20.4953
2019-06,32.9651,25.3574
2019-07,31.4907,26.514
2019-08,32.2912,24.0717
2019-09,31.7837,25.9454
2019-10,36.444,27.4086
2019-11,41.4789,31.384
2019-12,44.9155,34.5804
2020-01,45.0998,33.8021
2020-02,40.9625,22.3336
2020-03,34.7959,15.1867
2020-04,47.2343,29.6272
2020-05,57.4419,28.2305
2020-06,51.9949,28.0341
2020-07,65.7593,33.4885
2020-08,63.7559,42.106
2020-09,60.7071,38.2475
2020-10,44.5865,34.0563
2020-11,59.2743,42.9575
2020-12,58.2137,47.5016
2021-01,50.0187,45.1166
2021-02,56.2567,43.0879
2021-03,64.1937,49.8512
2021-04,82.4536,56.911
2021-05,79.2781,54.6413
2021-06,81.049,57.2758
2021-07,88.874,60.2291
2021-08,100.278,64.0213
2021-09,91.1307,55.5224
2021-10,104.5707,65.5435
2021-11,99.712,65.5034
2021-12,110.1112,68.4598
2022-01,85.1815,58.7763
2022-02,86.1454,53.2596
2022-03,93.5574,58.2953
2022-04,84.4854,52.2757
2022-05,78.5343,51.0659
2022-06,72.353,38.0304
2022-07,81.7153,50.1558
2022-08,77.8533,43.3725
2022-09,63.6121,29.6913
2022-10,76.7589,39.7003
2022-11,88.5663,46.8631
2022-12,83.851,40.5677
2023-01,92.8823,48.7988
2023-02,77.8195,45.5387
2023-03,81.7224,49.6635
2023-04,96.2791,48.4614
2023-05,91.0355,48.1923
2023-06,103.177,57.2072
2023-07,103.1728,61.7125
2023-08,109.0718,59.5229
2023-09,102.8933,51.3631
2023-10,101.827,47.5518
2023-11,111.0834,60.474
2023-12,99.4446,67.125
2024-01,103.7222,69.1001
2024-02,111.4567,77.1309
2024-03,114.1658,83.2841
2024-04,106.9868,75.177
2024-05,114.3414,83.1784
2024-06,116.4333,90.182
2024-07,128.2265,90.9416
2024-08,132.0221,97.1965
2024-09,127.1997,98.31
2024-10,119.9365,95.5089
2024-11,133.8185,105.9957
2024-12,111.8174,100.2436
2025-01,116.02,104.6582
2025-02,135.7116,101.1287
2025-03,135.035,89.045
2025-04,112.3484,88.6819
2025-05,119.0267,99.6712
2025-06,103.9695,109.046
2025-07,85.8108,112.823
2025-08,91.1923,112.1707
2025-09,86.478,118.6779
2025-10,64.9362,122.8639
2025-11,69.2712,122.3204
2025-12,70.5941,121.4705
2026-01,73.2797,123.6468
2026-02,71.3476,120.852
