Date,rate_LDOS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.5155,-1.8027
2016-03,7.4629,4.5695
2016-04,3.5596,3.6217
2016-05,2.4147,4.6859
2016-06,-0.5853,4.2011
2016-07,3.6539,7.3141
2016-08,11.5512,6.5393
2016-09,20.1415,5.8417
2016-10,13.4738,3.4057
2016-11,38.1992,7.0013
2016-12,35.7002,8.6582
2017-01,25.643,9.9058
2017-02,36.5471,13.4199
2017-03,29.3315,12.5861
2017-04,31.2784,12.9516
2017-05,36.459,13.7442
2017-06,25.7976,14.6714
2017-07,28.6479,16.2352
2017-08,38.8164,15.7466
2017-09,41.2916,17.3266
2017-10,47.1674,19.2474
2017-11,47.5282,22.0133
2017-12,50.1146,22.6523
2018-01,52.7605,28.4864
2018-02,43.2308,22.6807
2018-03,46.9852,18.8927
2018-04,42.7115,18.6249
2018-05,32.1203,20.8091
2018-06,29.3973,20.9812
2018-07,48.9291,24.5763
2018-08,52.4438,27.7899
2018-09,49.4719,27.6747
2018-10,38.7448,18.1983
2018-11,33.9239,19.8597
2018-12,13.3318,8.8011
2019-01,24.2715,17.1215
2019-02,37.6114,20.4441
2019-03,36.2517,22.1999
2019-04,55.0962,26.5012
2019-05,57.6408,17.9266
2019-06,66.2941,25.7011
2019-07,69.3758,26.9004
2019-08,78.4984,24.2426
2019-09,75.8249,26.142
2019-10,74.9385,28.3311
2019-11,82.6262,32.3256
2019-12,96.9607,35.5485
2020-01,100.1136,34.7719
2020-02,102.4058,23.2511
2020-03,80.927,7.5779
2020-04,93.5848,21.2186
2020-05,104.4052,26.5774
2020-06,82.1044,28.3766
2020-07,83.4929,35.3325
2020-08,73.0788,44.0777
2020-09,69.9155,37.914
2020-10,57.0551,33.7633
2020-11,89.3281,47.7098
2020-12,96.693,52.3667
2021-01,96.8501,49.9654
2021-02,62.8959,53.2453
2021-03,78.0031,60.4049
2021-04,85.9481,67.83
2021-05,87.3035,67.8968
2021-06,83.6067,70.6358
2021-07,91.9017,73.7106
2021-08,75.69,77.7187
2021-09,71.7177,68.3779
2021-10,77.4956,79.119
2021-11,55.1224,76.6949
2021-12,56.7323,83.6042
2022-01,56.9182,72.9303
2022-02,77.7787,66.8181
2022-03,88.0428,72.1992
2022-04,79.0809,56.2223
2022-05,79.7549,55.8933
2022-06,72.8675,42.4002
2022-07,82.6385,54.8512
2022-08,61.3584,47.8158
2022-09,48.4159,33.7039
2022-10,71.6567,44.0824
2022-11,83.7691,51.4429
2022-12,76.4552,42.1877
2023-01,64.9694,50.5828
2023-02,61.2877,46.2373
2023-03,52.9021,52.2586
2023-04,54.2831,54.0684
2023-05,28.6398,54.1996
2023-06,46.0187,63.548
2023-07,53.8089,68.1942
2023-08,59.6646,64.7317
2023-09,50.8799,56.2636
2023-10,61.6813,52.2886
2023-11,74.3202,65.5989
2023-12,75.6311,72.448
2024-01,78.4509,74.4576
2024-02,105.5951,82.7177
2024-03,110.3003,89.0282
2024-04,123.7676,80.6052
2024-05,133.3618,88.8335
2024-06,132.0072,96.0415
2024-07,128.3906,97.3583
2024-08,149.3362,101.128
2024-09,156.7129,105.7758
2024-10,186.7338,102.865
2024-11,157.3703,113.7798
2024-12,123.5337,107.7813
2025-01,119.2671,112.3595
2025-02,99.6653,108.6721
2025-03,108.1948,96.0839
2025-04,126.0126,93.6359
2025-05,126.9462,104.9003
2025-06,140.4786,114.5225
2025-07,142.0905,118.4064
2025-08,172.938,121.8959
2025-09,184.1127,128.6764
2025-10,184.7875,133.0211
2025-11,184.1707,132.409
2025-12,167.4667,131.4906
2026-01,177.7001,133.7386
2026-02,156.9165,130.7823
2026-03,153.7581,122.952
