Date,rate_WYNN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,22.5395,-0.6039
2016-03,29.0103,5.2168
2016-04,14.7711,3.9893
2016-05,20.7888,4.6886
2016-06,10.3941,4.1237
2016-07,17.347,7.1795
2016-08,5.5613,6.3603
2016-09,13.8659,5.6281
2016-10,8.9431,3.196
2016-11,16.7737,6.7601
2016-12,-1.8538,8.3626
2017-01,14.9312,10.2536
2017-02,8.675,13.6522
2017-03,28.1198,12.7005
2017-04,35.3464,12.9818
2017-05,39.6367,13.693
2017-06,42.7824,13.5288
2017-07,35.5222,15.0481
2017-08,44.1527,14.5515
2017-09,51.8438,16.1037
2017-10,47.9822,17.9557
2017-11,56.5867,20.6805
2017-12,64.3097,21.3029
2018-01,61.388,28.0338
2018-02,61.0099,22.1441
2018-03,72.6887,18.3021
2018-04,73.4683,18.0902
2018-05,80.2943,20.2208
2018-06,51.5758,20.3415
2018-07,49.5953,23.8746
2018-08,32.3768,27.0072
2018-09,13.5085,27.7347
2018-10,-10.3666,18.1437
2018-11,-1.9212,19.7418
2018-12,-11.5417,8.5778
2019-01,9.9293,17.1263
2019-02,13.352,20.3748
2019-03,6.5571,22.0514
2019-04,28.4757,26.2651
2019-05,-4.1578,17.5943
2019-06,10.9774,25.308
2019-07,15.9635,26.4355
2019-08,-1.0964,23.7232
2019-09,-2.3655,26.1617
2019-10,8.9639,28.2707
2019-11,9.1601,32.1761
2019-12,25.1871,35.3247
2020-01,13.7481,35.2749
2020-02,-2.043,23.5454
2020-03,-45.3416,7.7105
2020-04,-20.5893,21.425
2020-05,-22.1431,26.7132
2020-06,-30.0054,28.4357
2020-07,-31.3343,35.3124
2020-08,-16.3761,43.9511
2020-09,-31.0351,37.6938
2020-10,-29.8552,33.4637
2020-11,-2.0566,47.2943
2020-12,9.9479,51.8455
2021-01,-3.0073,50.305
2021-02,28.378,53.4604
2021-03,21.6953,59.4101
2021-04,24.1964,66.6882
2021-05,27.1084,66.6274
2021-06,17.4158,69.2184
2021-07,-5.8153,72.1455
2021-08,-2.5119,75.992
2021-09,-18.6977,66.6118
2021-10,-13.5984,77.1553
2021-11,-21.9144,74.6519
2021-12,-17.5729,81.397
2022-01,-16.9612,70.7122
2022-02,-15.7191,64.6001
2022-03,-22.0294,69.8532
2022-04,-30.8201,54.0273
2022-05,-34.7352,53.6333
2022-06,-43.301,40.2902
2022-07,-36.2077,52.5094
2022-08,-38.6457,45.531
2022-09,-35.6051,31.5965
2022-10,-34.274,41.7445
2022-11,-13.4719,48.9584
2022-12,-14.5401,39.838
2023-01,7.3722,48.5632
2023-02,12.156,44.2258
2023-03,15.6084,48.9578
2023-04,17.8345,50.6836
2023-05,1.828,50.7741
2023-06,8.9623,59.884
2023-07,12.3091,64.3798
2023-08,4.595,60.953
2023-09,-4.7143,52.6248
2023-10,-9.4435,48.7132
2023-11,-12.54,61.6976
2023-12,-5.4826,68.3392
2024-01,-2.0419,71.0275
2024-02,9.3683,79.0476
2024-03,6.2252,83.99
2024-04,-4.8666,75.7344
2024-05,-1.2198,83.6813
2024-06,-6.8135,89.2836
2024-07,-13.6819,90.5002
2024-08,-19.4286,94.0822
2024-09,0.4114,98.2932
2024-10,0.5027,95.412
2024-11,-0.9585,105.8418
2024-12,-9.6014,99.9875
2025-01,-8.8776,105.351
2025-02,-5.8957,101.7087
2025-03,-11.9718,89.4719
2025-04,-15.2159,87.0451
2025-05,-3.9923,97.8575
2025-06,-0.5986,107.0685
2025-07,15.6067,110.7404
2025-08,34.4768,114.0337
2025-09,36.0851,121.6081
2025-10,25.889,125.7153
2025-11,36.08,125.0226
2025-12,26.9079,124.0393
2026-01,13.3362,127.2713
2026-02,3.0474,125.3185
