Date,rate_ADP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.5009,-0.6039
2016-03,6.4701,5.2168
2016-04,3.1167,3.9893
2016-05,1.4932,4.6886
2016-06,6.3442,4.1237
2016-07,1.8896,7.1795
2016-08,2.6092,6.3603
2016-09,0.9397,5.6281
2016-10,-0.4381,3.196
2016-11,9.7541,6.7601
2016-12,17.2276,8.3626
2017-01,15.1989,10.2536
2017-02,16.3183,13.6522
2017-03,15.3752,12.7005
2017-04,16.7332,12.9818
2017-05,13.3421,13.693
2017-06,13.2002,13.5288
2017-07,30.4416,15.0481
2017-08,15.4824,14.5515
2017-09,18.314,16.1037
2017-10,24.8515,17.9557
2017-11,21.819,20.6805
2017-12,24.4105,21.3029
2018-01,31.1865,28.0338
2018-02,21.2703,22.1441
2018-03,19.1908,18.3021
2018-04,23.2324,18.0902
2018-05,34.6711,20.2208
2018-06,38.2667,20.3415
2018-07,37.7733,23.8746
2018-08,48.4376,27.0072
2018-09,53.0836,27.7347
2018-10,44.7485,18.1437
2018-11,46.7231,19.7418
2018-12,30.0169,8.5778
2019-01,38.6047,17.1263
2019-02,50.3607,20.3748
2019-03,56.1794,22.0514
2019-04,59.0441,26.2651
2019-05,53.4622,17.5943
2019-06,57.8169,25.308
2019-07,57.4233,26.4355
2019-08,59.1129,23.7232
2019-09,51.9788,26.1617
2019-10,51.4694,28.2707
2019-11,58.1202,32.1761
2019-12,57.3646,35.3247
2020-01,58.1801,35.2749
2020-02,41.5836,23.5454
2020-03,24.9892,7.7105
2020-04,33.7146,21.425
2020-05,32.899,26.7132
2020-06,35.2026,28.4357
2020-07,20.0518,35.3124
2020-08,25.1693,43.9511
2020-09,25.8476,37.6938
2020-10,41.9592,33.4637
2020-11,55.3266,47.2943
2020-12,57.1664,51.8455
2021-01,47.338,50.305
2021-02,54.3279,53.4604
2021-03,66.8508,59.4101
2021-04,64.3567,66.6882
2021-05,71.0689,66.6274
2021-06,72.9075,69.2184
2021-07,81.1721,72.1455
2021-08,79.3284,75.992
2021-09,71.0835,66.6118
2021-10,90.7858,77.1553
2021-11,94.7651,74.6519
2021-12,107.3311,81.397
2022-01,72.0421,70.7122
2022-02,69.5307,64.6001
2022-03,88.3964,69.8532
2022-04,79.3515,54.0273
2022-05,82.0879,53.6333
2022-06,71.3279,40.2902
2022-07,95.462,52.5094
2022-08,96.7921,45.531
2022-09,81.7483,31.5965
2022-10,92.9576,41.7445
2022-11,109.4927,48.9584
2022-12,89.132,39.838
2023-01,78.8615,48.5632
2023-02,73.1142,44.2258
2023-03,75.3605,48.9578
2023-04,72.4079,50.6836
2023-05,62.9233,50.7741
2023-06,71.4784,59.884
2023-07,91.9309,64.3798
2023-08,96.4956,60.953
2023-09,85.5459,52.6248
2023-10,67.4173,48.7132
2023-11,75.6111,61.6976
2023-12,78.1108,68.3392
2024-01,87.8348,71.0275
2024-02,90.8887,79.0476
2024-03,89.8872,83.99
2024-04,82.9927,75.7344
2024-05,84.3406,83.6813
2024-06,79.8177,89.2836
2024-07,96.9062,90.5002
2024-08,105.7908,94.0822
2024-09,107.4453,98.2932
2024-10,115.6087,95.412
2024-11,127.5278,105.8418
2024-12,116.8975,99.9875
2025-01,124.4712,105.351
2025-02,132.1341,101.7087
2025-03,124.8611,89.4719
2025-04,120.0,87.0451
2025-05,136.9601,97.8575
2025-06,124.3486,107.0685
2025-07,123.9262,110.7404
2025-08,118.8488,114.0337
2025-09,112.3702,121.6081
2025-10,87.4156,125.7153
2025-11,83.0214,125.0226
2025-12,84.8357,124.0393
2026-01,77.4137,127.2713
2026-02,65.4864,125.3185
