Date,rate_KEYS_5D,rate_VOO_20D
2016-01,-2.2157,1.4254
2016-02,11.4205,0.6142
2016-03,13.2689,6.1243
2016-04,3.6152,4.6014
2016-05,20.6755,5.2878
2016-06,13.7525,4.687
2016-07,12.5184,7.7174
2016-08,15.4646,6.8637
2016-09,18.3898,5.9421
2016-10,20.6238,3.4868
2016-11,33.0269,6.843
2016-12,29.3359,8.2789
2017-01,28.7322,9.3935
2017-02,28.5405,12.821
2017-03,21.6008,12.0413
2017-04,24.5725,12.4367
2017-05,27.0445,13.2406
2017-06,26.4062,14.1802
2017-07,33.5532,15.6892
2017-08,29.6441,15.2834
2017-09,30.7786,16.8657
2017-10,38.7162,18.7799
2017-11,33.4506,21.509
2017-12,26.3578,22.1709
2018-01,40.6559,27.9258
2018-02,37.7622,22.2578
2018-03,50.7653,18.4465
2018-04,44.6388,18.162
2018-05,62.5362,20.337
2018-06,61.1453,20.5057
2018-07,56.3229,24.0401
2018-08,72.7951,27.2093
2018-09,74.2401,27.1082
2018-10,50.6389,17.9327
2018-11,58.7088,19.5577
2018-12,51.9889,8.5722
2019-01,79.5477,16.8959
2019-02,102.3139,20.2219
2019-03,102.1292,21.9603
2019-04,96.0465,26.2654
2019-05,77.7825,20.4953
2019-06,110.0736,25.3574
2019-07,106.7753,26.514
2019-08,119.6713,24.0717
2019-09,120.1151,25.9454
2019-10,124.7496,27.4086
2019-11,135.5409,31.384
2019-12,123.1431,34.5804
2020-01,99.8768,33.8021
2020-02,99.5476,22.3336
2020-03,72.0001,15.1867
2020-04,98.633,29.6272
2020-05,97.5793,28.2305
2020-06,73.4819,28.0341
2020-07,67.5191,33.4885
2020-08,60.8419,42.106
2020-09,56.1853,38.2475
2020-10,63.9513,34.0563
2020-11,76.6077,42.9575
2020-12,85.0481,47.5016
2021-01,101.8336,45.1166
2021-02,92.7655,43.0879
2021-03,98.8836,49.8512
2021-04,98.64,56.911
2021-05,94.4733,54.6413
2021-06,109.3502,57.2758
2021-07,121.3651,60.2291
2021-08,139.3501,64.0213
2021-09,131.772,55.5224
2021-10,151.0767,65.5435
2021-11,165.7176,65.5034
2021-12,161.9555,68.4598
2022-01,112.3418,58.7763
2022-02,96.5247,53.2596
2022-03,96.0183,58.2953
2022-04,74.6097,52.2757
2022-05,78.1359,51.0659
2022-06,67.5355,38.0304
2022-07,96.613,50.1558
2022-08,96.9486,43.3725
2022-09,87.8896,29.6913
2022-10,106.6979,39.7003
2022-11,105.0465,46.8631
2022-12,94.8818,40.5677
2023-01,100.8864,48.7988
2023-02,76.5005,45.5387
2023-03,77.3273,49.6635
2023-04,58.0508,48.4614
2023-05,76.0796,48.1923
2023-06,81.3422,57.2072
2023-07,73.583,61.7125
2023-08,43.1769,59.5229
2023-09,41.647,51.3631
2023-10,30.2573,47.5518
2023-11,44.6703,60.474
2023-12,68.8047,67.125
2024-01,61.9692,69.1001
2024-02,62.308,77.1309
2024-03,63.4145,83.2841
2024-04,55.6477,75.177
2024-05,45.2345,83.1784
2024-06,42.997,90.182
2024-07,42.8182,90.9416
2024-08,65.3221,97.1965
2024-09,64.2995,98.31
2024-10,56.8182,95.5089
2024-11,53.0388,105.9957
2024-12,43.4356,100.2436
2025-01,58.7914,104.6582
2025-02,41.5564,101.1287
2025-03,32.5794,89.045
2025-04,32.2488,88.6819
2025-05,42.5163,99.6712
2025-06,41.7315,109.046
2025-07,41.3941,112.823
2025-08,36.8033,112.1707
2025-09,46.0645,118.6779
2025-10,52.4091,122.8639
2025-11,64.4382,122.3204
2025-12,68.2408,121.4705
2026-01,78.4772,123.6468
2026-02,152.6002,120.852
