Date,rate_PFG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-13.9144,-3.7423
2016-03,-3.16,0.3764
2016-04,-0.3076,5.1946
2016-05,6.7467,3.5695
2016-06,9.155,4.8356
2016-07,1.0647,4.3651
2016-08,13.4085,7.2005
2016-09,19.1148,6.5176
2016-10,23.273,5.8316
2016-11,27.134,2.6321
2016-12,35.2247,6.5262
2017-01,31.2593,8.6002
2017-02,27.3773,9.8701
2017-03,40.3679,14.9815
2017-04,36.6809,12.5254
2017-05,38.3417,13.1716
2017-06,35.1798,14.581
2017-07,33.1981,14.626
2017-08,36.8823,16.4591
2017-09,29.083,15.9061
2017-10,29.7698,17.2911
2017-11,33.9805,19.4181
2017-12,40.157,21.7575
2018-01,40.4816,22.6249
2018-02,34.7239,28.3844
2018-03,19.22,21.0506
2018-04,20.9252,18.8566
2018-05,15.0221,18.843
2018-06,11.8886,22.0592
2018-07,6.6295,20.962
2018-08,13.0623,24.4135
2018-09,10.5085,27.7869
2018-10,18.0533,28.1445
2018-11,-3.3983,19.3954
2018-12,1.1724,19.8359
2019-01,-8.3183,8.7501
2019-02,3.2216,17.203
2019-03,7.978,21.2677
2019-04,11.2503,23.6016
2019-05,21.4246,25.5902
2019-06,11.9087,17.8911
2019-07,28.2651,26.7327
2019-08,21.0416,25.8061
2019-09,15.1932,24.2046
2019-10,20.2701,24.595
2019-11,18.4581,29.5299
2019-12,19.2536,32.3145
2020-01,19.821,35.5516
2020-02,14.9625,34.7733
2020-03,-0.2372,23.2161
2020-04,-38.4213,2.6957
2020-05,-20.1723,17.923
2020-06,-5.8546,27.1545
2020-07,-4.2255,29.2791
2020-08,1.2673,35.3897
2020-09,3.6529,45.4969
2020-10,-2.5019,38.8421
2020-11,-5.2155,33.8054
2020-12,21.3829,49.4413
2021-01,20.9991,52.4925
2021-02,21.9179,52.5474
2021-03,45.2302,57.1165
2021-04,51.0854,62.2404
2021-05,57.7184,68.0147
2021-06,62.6237,67.9506
2021-07,56.5959,71.7835
2021-08,52.292,73.9065
2021-09,62.2766,78.108
2021-10,60.6855,70.559
2021-11,65.1988,79.7147
2021-12,65.6352,74.8714
2022-01,75.8301,83.8439
2022-02,79.2606,74.2485
2022-03,62.07,64.4857
2022-04,78.1132,72.8765
2022-05,63.3023,56.3809
2022-06,72.2553,54.7432
2022-07,62.1616,43.9638
2022-08,59.8257,54.5402
2022-09,76.9941,48.4061
2022-10,71.5871,33.808
2022-11,108.9706,43.6413
2022-12,115.2743,51.6237
2023-01,97.431,42.3283
2023-02,115.3694,52.4008
2023-03,112.051,45.8599
2023-04,73.1745,52.4428
2023-05,71.552,54.1535
2023-06,56.0679,55.8684
2023-07,76.004,63.7729
2023-08,82.6742,67.9151
2023-09,80.2576,65.3142
2023-10,66.333,56.4671
2023-11,54.5709,54.158
2023-12,72.1745,66.8181
2024-01,80.9422,72.7134
2024-02,77.9547,77.0248
2024-03,82.4458,84.7703
2024-04,96.6991,89.0895
2024-05,81.7115,80.3005
2024-06,85.863,89.1407
2024-07,77.5328,96.817
2024-08,80.0633,94.9948
2024-09,83.715,101.4737
2024-10,92.8916,104.2286
2024-11,85.3372,104.0979
2024-12,95.5643,114.1559
2025-01,74.672,108.1307
2025-02,85.3121,112.719
2025-03,99.2851,109.0154
2025-04,91.3935,97.097
2025-05,65.7767,95.2965
2025-06,73.7132,105.2137
2025-07,81.2868,114.7559
2025-08,68.737,115.142
2025-09,79.23,122.2543
2025-10,85.8928,129.8729
2025-11,87.3921,133.4127
2025-12,87.5675,131.7276
2026-01,96.9034,131.8756
2026-02,111.2147,131.1612
