Date,rate_PSA_5D,rate_VOO_20D
2016-01,0.9155,1.4254
2016-02,-4.0394,0.6142
2016-03,7.4409,6.1243
2016-04,-6.2874,4.6014
2016-05,-2.6667,5.2878
2016-06,-0.9925,4.687
2016-07,-7.2388,7.7174
2016-08,-11.7161,6.8637
2016-09,-10.1157,5.9421
2016-10,-12.9479,3.4868
2016-11,-13.5607,6.843
2016-12,-5.5851,8.2789
2017-01,-8.7705,9.3935
2017-02,-2.8789,12.821
2017-03,-5.502,12.0413
2017-04,-9.3955,12.4367
2017-05,-6.2239,13.2406
2017-06,-7.9362,14.1802
2017-07,-8.9264,15.6892
2017-08,-8.4825,15.2834
2017-09,-3.3032,16.8657
2017-10,-6.2685,18.7799
2017-11,-3.387,21.509
2017-12,-4.2381,22.1709
2018-01,-10.1445,27.9258
2018-02,-10.2697,22.2578
2018-03,-6.2215,18.4465
2018-04,-5.3517,18.162
2018-05,-0.4948,20.337
2018-06,7.5255,20.5057
2018-07,3.0006,24.0401
2018-08,0.4371,27.2093
2018-09,-3.8462,27.1082
2018-10,-1.8519,17.9327
2018-11,1.9319,19.5577
2018-12,-2.9813,8.5722
2019-01,1.9527,16.8959
2019-02,1.4425,20.2219
2019-03,5.3711,21.9603
2019-04,6.8318,26.2654
2019-05,14.7064,20.4953
2019-06,15.4518,25.3574
2019-07,14.1496,26.514
2019-08,24.0649,24.0717
2019-09,18.6084,25.9454
2019-10,7.1971,27.4086
2019-11,1.2851,31.384
2019-12,3.3254,34.5804
2020-01,8.4919,33.8021
2020-02,5.9325,22.3336
2020-03,-2.277,15.1867
2020-04,-5.9046,29.6272
2020-05,-1.8223,28.2305
2020-06,-4.7848,28.0341
2020-07,-3.6291,33.4885
2020-08,2.4755,42.106
2020-09,6.1101,38.2475
2020-10,7.6741,34.0563
2020-11,3.4907,42.9575
2020-12,7.1489,47.5016
2021-01,4.8247,45.1166
2021-02,7.625,43.0879
2021-03,8.5449,49.8512
2021-04,23.4784,56.911
2021-05,21.9117,54.6413
2021-06,30.2709,57.2758
2021-07,34.853,60.2291
2021-08,39.112,64.0213
2021-09,28.0248,55.5224
2021-10,42.6558,65.5435
2021-11,39.999,65.5034
2021-12,60.3846,68.4598
2022-01,53.807,58.7763
2022-02,51.4501,53.2596
2022-03,61.4597,58.2953
2022-04,61.6336,52.2757
2022-05,61.9503,51.0659
2022-06,53.3816,38.0304
2022-07,79.3794,50.1558
2022-08,80.8149,43.3725
2022-09,60.2262,29.6913
2022-10,68.712,39.7003
2022-11,52.6779,46.8631
2022-12,46.1567,40.5677
2023-01,56.3724,48.7988
2023-02,53.2142,45.5387
2023-03,47.3376,49.6635
2023-04,43.2324,48.4614
2023-05,36.4663,48.1923
2023-06,41.5208,57.2072
2023-07,36.1675,61.7125
2023-08,32.0313,59.5229
2023-09,26.9414,51.3631
2023-10,18.8354,47.5518
2023-11,24.1277,60.474
2023-12,47.5618,67.125
2024-01,36.6284,69.1001
2024-02,36.5736,77.1309
2024-03,40.6141,83.2841
2024-04,25.4242,75.177
2024-05,32.0981,83.1784
2024-06,39.9191,90.182
2024-07,43.0693,90.9416
2024-08,59.9891,97.1965
2024-09,70.4008,98.31
2024-10,62.1127,95.5089
2024-11,69.5234,105.9957
2024-12,49.6806,100.2436
2025-01,48.7455,104.6582
2025-02,50.8553,101.1287
2025-03,48.2511,89.045
2025-04,45.8317,88.6819
2025-05,49.2891,99.6712
2025-06,43.0681,109.046
2025-07,32.2269,112.823
2025-08,42.9027,112.1707
2025-09,41.1192,118.6779
2025-10,35.7499,122.8639
2025-11,33.5069,122.3204
2025-12,27.3303,121.4705
2026-01,35.2788,123.6468
2026-02,50.0423,120.852
