Date,rate_LHX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.047,-0.6039
2016-03,-7.0713,5.2168
2016-04,-2.8304,3.9893
2016-05,-3.4534,4.6886
2016-06,2.5467,4.1237
2016-07,6.1192,7.1795
2016-08,13.1471,6.3603
2016-09,10.6374,5.6281
2016-10,6.6795,3.196
2016-11,23.2593,6.7601
2016-12,19.9409,8.3626
2017-01,20.2209,10.2536
2017-02,26.9901,13.6522
2017-03,27.1195,12.7005
2017-04,26.0329,12.9818
2017-05,25.3978,13.693
2017-06,20.4223,13.5288
2017-07,25.0999,15.0481
2017-08,32.7816,14.5515
2017-09,41.0656,16.1037
2017-10,47.082,17.9557
2017-11,50.9482,20.6805
2017-12,45.8409,21.3029
2018-01,64.0334,28.0338
2018-02,58.1216,22.1441
2018-03,61.5343,18.3021
2018-04,54.4053,18.0902
2018-05,47.2504,20.2208
2018-06,39.7701,20.3415
2018-07,57.8416,23.8746
2018-08,53.6158,27.0072
2018-09,60.5824,27.7347
2018-10,39.4461,18.1437
2018-11,33.4583,19.7418
2018-12,24.7595,8.5778
2019-01,41.8857,17.1263
2019-02,51.4082,20.3748
2019-03,45.8073,22.0514
2019-04,52.3846,26.2651
2019-05,68.1059,17.5943
2019-06,67.9769,25.308
2019-07,82.6333,26.4355
2019-08,83.8899,23.7232
2019-09,82.1375,26.1617
2019-10,78.1895,28.2707
2019-11,72.5535,32.1761
2019-12,68.2145,35.3247
2020-01,88.1282,35.2749
2020-02,66.3275,23.5454
2020-03,50.8158,7.7105
2020-04,61.0198,21.425
2020-05,64.4911,26.7132
2020-06,39.4227,28.4357
2020-07,37.5038,35.3124
2020-08,46.826,43.9511
2020-09,37.8296,37.6938
2020-10,30.0106,33.4637
2020-11,54.7734,47.2943
2020-12,51.3726,51.8455
2021-01,37.3646,50.305
2021-02,44.9356,53.4604
2021-03,61.3382,59.4101
2021-04,65.4091,66.6882
2021-05,71.9777,66.6274
2021-06,69.2596,69.2184
2021-07,76.3061,72.1455
2021-08,79.884,75.992
2021-09,69.5866,66.6118
2021-10,76.3428,77.1553
2021-11,59.6915,74.6519
2021-12,61.9362,81.397
2022-01,58.0219,70.7122
2022-02,89.4405,64.6001
2022-03,86.0833,69.8532
2022-04,72.7234,54.0273
2022-05,78.0422,53.6333
2022-06,78.3418,40.2902
2022-07,75.9645,52.5094
2022-08,66.3237,45.531
2022-09,51.3987,31.5965
2022-10,78.6319,41.7445
2022-11,64.4693,48.9584
2022-12,50.0606,39.838
2023-01,54.8164,48.5632
2023-02,51.4986,44.2258
2023-03,40.9878,48.9578
2023-04,39.659,50.6836
2023-05,25.4677,50.7741
2023-06,40.1461,59.884
2023-07,35.1654,64.3798
2023-08,26.6496,60.953
2023-09,24.3057,52.6248
2023-10,27.7995,48.7132
2023-11,36.3863,61.6976
2023-12,50.0208,68.3392
2024-01,48.4558,71.0275
2024-02,50.1967,79.0476
2024-03,51.4807,83.99
2024-04,51.618,75.7344
2024-05,58.6683,83.6813
2024-06,58.6637,89.2836
2024-07,59.6768,90.5002
2024-08,65.88,94.0822
2024-09,67.532,98.2932
2024-10,73.4855,95.412
2024-11,72.6796,105.8418
2024-12,46.8482,99.9875
2025-01,48.0557,105.351
2025-02,43.4549,101.7087
2025-03,46.059,89.4719
2025-04,53.0337,87.0451
2025-05,69.366,97.8575
2025-06,74.0077,107.0685
2025-07,89.834,110.7404
2025-08,90.8873,114.0337
2025-09,110.7937,121.6081
2025-10,98.5696,125.7153
2025-11,91.3537,125.0226
2025-12,100.7083,124.0393
2026-01,134.383,127.2713
2026-02,115.1764,125.3185
