Date,rate_NVDA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.5745,-3.7423
2016-03,6.7415,0.3764
2016-04,15.3055,5.1946
2016-05,9.5427,3.5695
2016-06,42.1276,4.8356
2016-07,34.6565,4.3651
2016-08,57.6808,7.2005
2016-09,67.7903,6.5176
2016-10,73.8733,5.8316
2016-11,67.7637,2.6321
2016-12,105.7548,6.5262
2017-01,139.8519,8.6002
2017-02,144.5606,9.8701
2017-03,111.5757,14.9815
2017-04,116.3238,12.5254
2017-05,104.6526,13.1716
2017-06,169.4813,14.581
2017-07,160.4197,14.626
2017-08,186.7097,16.4591
2017-09,187.6721,15.9061
2017-10,192.3186,17.2911
2017-11,228.6691,19.4181
2017-12,204.5401,21.7575
2018-01,189.7537,22.6249
2018-02,250.6945,28.3844
2018-03,229.5054,21.0506
2018-04,220.1442,18.8566
2018-05,206.2779,18.843
2018-06,239.5036,22.0592
2018-07,204.8532,20.962
2018-08,210.2898,24.4135
2018-09,246.0556,27.7869
2018-10,249.0672,28.1445
2018-11,157.5914,19.3954
2018-12,89.8231,19.8359
2019-01,53.019,8.7501
2019-02,64.3346,17.203
2019-03,75.989,21.2677
2019-04,102.7715,23.6016
2019-05,98.2118,25.5902
2019-06,47.1507,17.8911
2019-07,79.1308,26.7327
2019-08,75.9546,25.8061
2019-09,77.1313,24.2046
2019-10,82.2111,24.595
2019-11,110.0669,29.5299
2019-12,122.5596,32.3145
2020-01,138.8433,35.5516
2020-02,137.1412,34.7733
2020-03,167.9056,23.2161
2020-04,138.157,2.6957
2020-05,173.9712,17.923
2020-06,237.1859,27.1545
2020-07,260.2937,29.2791
2020-08,296.0305,35.3897
2020-09,408.9159,45.4969
2020-10,394.2435,38.8421
2020-11,348.759,33.8054
2020-12,373.09,49.4413
2021-01,355.3292,52.4925
2021-02,355.7688,52.5474
2021-03,370.5892,57.1165
2021-04,363.8324,62.2404
2021-05,397.876,68.0147
2021-06,432.8706,67.9506
2021-07,554.1789,71.7835
2021-08,523.1209,73.9065
2021-09,608.408,78.108
2021-10,546.6233,70.559
2021-11,695.421,79.7147
2021-12,856.3349,74.8714
2022-01,783.6303,83.8439
2022-02,631.2356,74.2485
2022-03,588.6485,64.4857
2022-04,674.7248,72.8765
2022-05,431.7511,56.3809
2022-06,419.7031,54.7432
2022-07,307.8352,43.9638
2022-08,412.911,54.5402
2022-09,283.7367,48.4061
2022-10,231.2882,33.808
2022-11,266.4568,43.6413
2022-12,359.6958,51.6237
2023-01,288.4095,42.3283
2023-02,451.7569,52.4008
2023-03,492.2991,45.8599
2023-04,618.0116,52.4428
2023-05,639.9881,54.1535
2023-06,908.0699,55.8684
2023-07,961.6168,63.7729
2023-08,1055.5272,67.9151
2023-09,1093.3013,65.3142
2023-10,959.6121,56.4671
2023-11,921.0799,54.158
2023-12,1017.4799,66.8181
2024-01,1072.2302,72.7134
2024-02,1377.8358,77.0248
2024-03,1810.8947,84.7703
2024-04,1978.644,89.0895
2024-05,1792.03,80.3005
2024-06,2374.4838,89.1407
2024-07,2679.3558,96.817
2024-08,2319.0862,94.9948
2024-09,2519.7637,101.4737
2024-10,2444.4455,104.2286
2024-11,2817.9086,104.0979
2024-12,2852.4362,114.1559
2025-01,2742.423,108.1307
2025-02,2418.9416,112.719
2025-03,2497.8099,109.0154
2025-04,2171.0193,97.097
2025-05,2181.4788,95.2965
2025-06,2638.8891,105.2137
2025-07,2981.1079,114.7559
2025-08,3362.1434,115.142
2025-09,3342.2491,122.2543
2025-10,3569.8359,129.8729
2025-11,3836.0123,133.4127
2025-12,3368.6521,131.7276
2026-01,3466.5987,131.8756
2026-02,1184.519,120.852
