Date,rate_FFIV_5D,rate_VOO_20D
2016-01,-3.15,-3.28
2016-02,0.7015,-1.8027
2016-03,9.5534,4.5695
2016-04,6.1263,3.6217
2016-05,10.3495,4.6859
2016-06,12.3101,4.2011
2016-07,19.7584,7.3141
2016-08,16.6135,6.5393
2016-09,16.4576,5.8417
2016-10,27.296,3.4057
2016-11,27.1789,7.0013
2016-12,28.5018,8.6582
2017-01,17.017,9.9058
2017-02,23.8063,13.4199
2017-03,21.5418,12.5861
2017-04,8.9392,12.9516
2017-05,7.6592,13.7442
2017-06,6.2545,14.6714
2017-07,0.6778,16.2352
2017-08,-0.5092,15.7466
2017-09,0.5238,17.3266
2017-10,1.09,19.2474
2017-11,11.8035,22.0133
2017-12,8.8968,22.6523
2018-01,19.5163,28.4864
2018-02,22.0128,22.6807
2018-03,18.0625,18.8927
2018-04,32.3992,18.6249
2018-05,39.2998,20.8091
2018-06,37.4319,20.9812
2018-07,35.382,24.5763
2018-08,48.1501,27.7899
2018-09,54.6502,27.6747
2018-10,34.662,18.1983
2018-11,31.1019,19.8597
2018-12,22.7275,8.8011
2019-01,21.3018,17.1215
2019-02,26.1184,20.4441
2019-03,17.1378,22.1999
2019-04,16.6072,26.5012
2019-05,-2.0724,17.9266
2019-06,8.0102,25.7011
2019-07,8.5929,26.9004
2019-08,-4.8185,24.2426
2019-09,3.9131,26.142
2019-10,6.6165,28.3311
2019-11,7.6501,32.3256
2019-12,3.0339,35.5485
2020-01,-9.9072,34.7719
2020-02,-11.3107,23.2511
2020-03,-20.9353,7.5779
2020-04,3.8072,21.2186
2020-05,7.9953,26.5774
2020-06,3.7958,28.3766
2020-07,1.0987,35.3325
2020-08,-1.5731,44.0777
2020-09,-8.6249,37.914
2020-10,-0.9229,33.7633
2020-11,21.3178,47.7098
2020-12,30.6893,52.3667
2021-01,44.9803,49.9654
2021-02,39.8608,53.2453
2021-03,52.8349,60.4049
2021-04,36.1114,67.83
2021-05,34.5918,67.8968
2021-06,35.0132,70.6358
2021-07,48.756,73.7106
2021-08,45.9334,77.7187
2021-09,41.8597,68.3779
2021-10,50.0257,79.119
2021-11,60.8925,76.6949
2021-12,72.1108,83.6042
2022-01,45.2108,72.9303
2022-02,39.8994,66.8181
2022-03,45.0125,72.1992
2022-04,15.7785,56.2223
2022-05,12.5597,55.8933
2022-06,5.5229,42.4002
2022-07,15.2935,54.8512
2022-08,8.0475,47.8158
2022-09,-0.5003,33.7039
2022-10,-1.7439,44.0824
2022-11,6.2983,51.4429
2022-12,-1.3911,42.1877
2023-01,1.4717,50.5828
2023-02,-1.7781,46.2373
2023-03,0.0933,52.2586
2023-04,-7.6712,54.0684
2023-05,1.4915,54.1996
2023-06,0.5788,63.548
2023-07,8.8004,68.1942
2023-08,12.4115,64.7317
2023-09,10.5458,56.2636
2023-10,3.901,52.2886
2023-11,17.2679,65.5989
2023-12,22.4024,72.448
2024-01,25.3879,74.4576
2024-02,27.51,82.7177
2024-03,28.824,89.0282
2024-04,12.097,80.6052
2024-05,14.4444,88.8335
2024-06,16.5049,96.0415
2024-07,37.5448,97.3583
2024-08,36.8932,101.128
2024-09,47.9897,105.7758
2024-10,56.6935,102.865
2024-11,67.1616,113.7798
2024-12,67.2843,107.7813
2025-01,96.9976,112.3595
2025-02,92.9325,108.6721
2025-03,74.9381,96.0839
2025-04,73.2607,93.6359
2025-05,86.0521,104.9003
2025-06,91.0927,114.5225
2025-07,102.6349,118.4064
2025-08,101.5856,121.8959
2025-09,107.1511,128.6764
2025-10,61.5332,133.0211
2025-11,52.1918,132.409
2025-12,61.9555,131.4906
2026-01,74.2925,133.7386
2026-02,71.0081,130.7823
2026-03,74.5982,129.7769
