Date,rate_TROW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.9611,-0.6039
2016-03,4.3033,5.2168
2016-04,5.4886,3.9893
2016-05,6.6311,4.6886
2016-06,0.5994,4.1237
2016-07,-2.5594,7.1795
2016-08,-3.7331,6.3603
2016-09,-6.7161,5.6281
2016-10,-9.6006,3.196
2016-11,5.5073,6.7601
2016-12,7.2944,8.3626
2017-01,-3.7188,10.2536
2017-02,2.0052,13.6522
2017-03,-1.8336,12.7005
2017-04,2.1899,12.9818
2017-05,1.3989,13.693
2017-06,7.4042,13.5288
2017-07,19.1324,15.0481
2017-08,20.4111,14.5515
2017-09,29.077,16.1037
2017-10,30.8255,17.9557
2017-11,43.3546,20.6805
2017-12,44.9976,21.3029
2018-01,54.2028,28.0338
2018-02,52.2657,22.1441
2018-03,45.8925,18.3021
2018-04,52.0631,18.0902
2018-05,60.2227,20.2208
2018-06,51.993,20.3415
2018-07,54.0282,23.8746
2018-08,48.1873,27.0072
2018-09,40.5145,27.7347
2018-10,23.6276,18.1437
2018-11,25.8413,19.7418
2018-12,17.0634,8.5778
2019-01,18.497,17.1263
2019-02,26.6826,20.3748
2019-03,26.4622,22.0514
2019-04,34.8391,26.2651
2019-05,26.0124,17.5943
2019-06,36.9275,25.308
2019-07,40.5417,26.4355
2019-08,36.1744,23.7232
2019-09,41.5741,26.1617
2019-10,42.5323,28.2707
2019-11,50.9603,32.1761
2019-12,48.6248,35.3247
2020-01,62.7887,35.2749
2020-02,42.5941,23.5454
2020-03,18.1949,7.7105
2020-04,39.6077,21.425
2020-05,45.1778,26.7132
2020-06,48.3811,28.4357
2020-07,64.8038,35.3124
2020-08,64.82,43.9511
2020-09,51.6877,37.6938
2020-10,48.8501,33.4637
2020-11,67.4205,47.2943
2020-12,76.4132,51.8455
2021-01,82.3044,50.305
2021-02,87.3356,53.4604
2021-03,97.7664,59.4101
2021-04,104.6746,66.6882
2021-05,116.574,66.6274
2021-06,126.5796,69.2184
2021-07,131.3912,72.1455
2021-08,151.3179,75.992
2021-09,119.898,66.6118
2021-10,140.3125,77.1553
2021-11,119.5497,74.6519
2021-12,115.3075,81.397
2022-01,67.7838,70.7122
2022-02,56.0994,64.6001
2022-03,63.7244,69.8532
2022-04,32.4871,54.0273
2022-05,36.3295,53.6333
2022-06,22.7367,40.2902
2022-07,32.9804,52.5094
2022-08,28.8005,45.531
2022-09,13.6753,31.5965
2022-10,14.6313,41.7445
2022-11,34.6304,48.9584
2022-12,18.4396,39.838
2023-01,26.3885,48.5632
2023-02,21.4309,44.2258
2023-03,23.1508,48.9578
2023-04,22.2412,50.6836
2023-05,16.3614,50.7741
2023-06,22.7267,59.884
2023-07,34.6829,64.3798
2023-08,22.272,60.953
2023-09,15.331,52.6248
2023-10,-0.6267,48.7132
2023-11,9.9396,61.6976
2023-12,19.4158,68.3392
2024-01,20.2483,71.0275
2024-02,25.3941,79.0476
2024-03,35.9287,83.99
2024-04,21.8333,75.7344
2024-05,30.7413,83.6813
2024-06,28.9985,89.2836
2024-07,27.4814,90.5002
2024-08,18.1086,94.0822
2024-09,22.7082,98.2932
2024-10,23.545,95.412
2024-11,38.9573,105.8418
2024-12,27.9207,99.9875
2025-01,32.204,105.351
2025-02,19.275,101.7087
2025-03,4.9304,89.4719
2025-04,1.0726,87.0451
2025-05,6.8135,97.8575
2025-06,11.5212,107.0685
2025-07,17.0532,110.7404
2025-08,23.9749,114.0337
2025-09,19.7031,121.6081
2025-10,19.4143,125.7153
2025-11,19.0613,125.0226
2025-12,20.3621,124.0393
2026-01,24.1937,127.2713
2026-02,13.9872,125.3185
