Date,rate_VRSK_5D,rate_VOO_20D
2016-01,1.1619,1.4254
2016-02,0.9821,0.6142
2016-03,9.6062,6.1243
2016-04,4.2462,4.6014
2016-05,5.4857,5.2878
2016-06,6.7256,4.687
2016-07,11.2563,7.7174
2016-08,7.4587,6.8637
2016-09,4.285,5.9421
2016-10,4.1916,3.4868
2016-11,5.79,6.843
2016-12,2.9812,8.2789
2017-01,4.545,9.3935
2017-02,4.6388,12.821
2017-03,2.2223,12.0413
2017-04,4.1791,12.4367
2017-05,1.582,13.2406
2017-06,5.8299,14.1802
2017-07,9.1323,15.6892
2017-08,1.2858,15.2834
2017-09,3.8966,16.8657
2017-10,6.0319,18.7799
2017-11,19.5947,21.509
2017-12,18.2904,22.1709
2018-01,22.4759,27.9258
2018-02,24.2081,22.2578
2018-03,25.0941,18.4465
2018-04,25.9939,18.162
2018-05,24.8652,20.337
2018-06,25.6351,20.5057
2018-07,28.2071,24.0401
2018-08,36.9606,27.2093
2018-09,37.4745,27.1082
2018-10,35.6765,17.9327
2018-11,35.6779,19.5577
2018-12,19.0894,8.5722
2019-01,27.6742,16.8959
2019-02,36.6632,20.2219
2019-03,42.9283,21.9603
2019-04,50.5099,26.2654
2019-05,43.3893,20.4953
2019-06,49.0925,25.3574
2019-07,53.2383,26.514
2019-08,61.7953,24.0717
2019-09,54.9161,25.9454
2019-10,41.0312,27.4086
2019-11,42.9051,31.384
2019-12,44.0438,34.5804
2020-01,55.6808,33.8021
2020-02,52.1182,22.3336
2020-03,41.15,15.1867
2020-04,53.8335,29.6272
2020-05,61.4767,28.2305
2020-06,54.0558,28.0341
2020-07,68.6528,33.4885
2020-08,67.0352,42.106
2020-09,56.2992,38.2475
2020-10,49.2676,34.0563
2020-11,62.8738,42.9575
2020-12,68.8048,47.5016
2021-01,57.4572,45.1166
2021-02,37.5491,43.0879
2021-03,48.3395,49.8512
2021-04,57.1676,56.911
2021-05,42.8974,54.6413
2021-06,44.0545,57.2758
2021-07,55.8665,60.2291
2021-08,64.6631,64.0213
2021-09,59.0202,55.5224
2021-10,61.943,65.5435
2021-11,72.2117,65.5034
2021-12,67.145,68.4598
2022-01,42.5412,58.7763
2022-02,28.3548,53.2596
2022-03,55.0492,58.2953
2022-04,52.8423,52.2757
2022-05,47.9756,51.0659
2022-06,46.1095,38.0304
2022-07,59.9335,50.1558
2022-08,56.605,43.3725
2022-09,42.2623,29.6913
2022-10,51.9019,39.7003
2022-11,43.063,46.8631
2022-12,37.1205,40.5677
2023-01,40.8389,48.7988
2023-02,35.8617,45.5387
2023-03,43.9132,49.6635
2023-04,45.0954,48.4614
2023-05,52.1189,48.1923
2023-06,53.2395,57.2072
2023-07,54.6052,61.7125
2023-08,62.9161,59.5229
2023-09,61.0181,51.3631
2023-10,55.1724,47.5518
2023-11,62.157,60.474
2023-12,60.0139,67.125
2024-01,61.1768,69.1001
2024-02,60.7755,77.1309
2024-03,56.3497,83.2841
2024-04,44.0556,75.177
2024-05,66.4851,83.1784
2024-06,77.569,90.182
2024-07,71.6608,90.9416
2024-08,77.5541,97.1965
2024-09,74.4226,98.31
2024-10,78.0996,95.5089
2024-11,89.9479,105.9957
2024-12,77.851,100.2436
2025-01,84.8498,104.6582
2025-02,86.5133,101.1287
2025-03,80.1921,89.045
2025-04,71.4542,88.6819
2025-05,81.0337,99.6712
2025-06,79.3603,109.046
2025-07,60.2506,112.823
2025-08,53.6951,112.1707
2025-09,44.004,118.6779
2025-10,24.9334,122.8639
2025-11,28.3346,122.3204
2025-12,27.5781,121.4705
2026-01,23.8035,123.6468
2026-02,18.1429,120.852
