Date,rate_PPG_5D,rate_VOO_20D
2016-01,2.327,1.4254
2016-02,-0.9702,0.6142
2016-03,13.5322,6.1243
2016-04,8.6787,4.6014
2016-05,5.9243,5.2878
2016-06,1.4335,4.687
2016-07,1.7104,7.7174
2016-08,2.9623,6.8637
2016-09,0.1586,5.9421
2016-10,-9.7778,3.4868
2016-11,-5.7168,6.843
2016-12,-6.6914,8.2789
2017-01,-1.1823,9.3935
2017-02,1.6276,12.821
2017-03,3.8816,12.0413
2017-04,8.3266,12.4367
2017-05,4.8235,13.2406
2017-06,7.9352,14.1802
2017-07,2.8572,15.6892
2017-08,2.2998,15.2834
2017-09,6.4239,16.8657
2017-10,13.424,18.7799
2017-11,13.8867,21.509
2017-12,13.3078,22.1709
2018-01,14.6114,27.9258
2018-02,6.9136,22.2578
2018-03,5.7696,18.4465
2018-04,0.1545,18.162
2018-05,-4.1712,20.337
2018-06,-1.4015,20.5057
2018-07,5.1988,24.0401
2018-08,5.3997,27.2093
2018-09,3.8881,27.1082
2018-10,0.1452,17.9327
2018-11,4.5919,19.5577
2018-12,-2.3224,8.5722
2019-01,0.8091,16.8959
2019-02,7.4841,20.2219
2019-03,4.4423,21.9603
2019-04,8.5776,26.2654
2019-05,-2.7835,20.4953
2019-06,8.093,25.3574
2019-07,8.4947,26.514
2019-08,4.8962,24.0717
2019-09,10.7576,25.9454
2019-10,16.1544,27.4086
2019-11,20.6198,31.384
2019-12,24.4882,34.5804
2020-01,11.3467,33.8021
2020-02,-2.7843,22.3336
2020-03,-12.6993,15.1867
2020-04,-4.7851,29.6272
2020-05,-1.6262,28.2305
2020-06,-2.2707,28.0341
2020-07,-0.4584,33.4885
2020-08,8.1261,42.106
2020-09,7.006,38.2475
2020-10,13.8522,34.0563
2020-11,24.5106,42.9575
2020-12,22.8465,47.5016
2021-01,18.6345,45.1166
2021-02,15.828,43.0879
2021-03,28.7502,49.8512
2021-04,46.0309,56.911
2021-05,50.3253,54.6413
2021-06,47.0484,57.2758
2021-07,40.6504,60.2291
2021-08,37.1388,64.0213
2021-09,22.5342,55.5224
2021-10,37.2037,65.5435
2021-11,31.7851,65.5034
2021-12,46.7391,68.4598
2022-01,39.7072,58.7763
2022-02,18.9004,53.2596
2022-03,16.6326,58.2953
2022-04,10.8271,52.2757
2022-05,9.1431,51.0659
2022-06,-1.445,38.0304
2022-07,11.4168,50.1558
2022-08,9.8152,43.3725
2022-09,-4.3863,29.6913
2022-10,-1.3665,39.7003
2022-11,17.4376,46.8631
2022-12,13.2984,40.5677
2023-01,10.244,48.7988
2023-02,8.1852,45.5387
2023-03,10.2237,49.6635
2023-04,14.0063,48.4614
2023-05,7.6375,48.1923
2023-06,15.6617,57.2072
2023-07,12.0619,61.7125
2023-08,12.3988,59.5229
2023-09,2.7913,51.3631
2023-10,-2.3652,47.5518
2023-11,12.4007,60.474
2023-12,18.2256,67.125
2024-01,11.3644,69.1001
2024-02,12.2079,77.1309
2024-03,14.7004,83.2841
2024-04,7.0523,75.177
2024-05,9.3197,83.1784
2024-06,4.6371,90.182
2024-07,4.4175,90.9416
2024-08,9.6327,97.1965
2024-09,9.8962,98.31
2024-10,2.9807,95.5089
2024-11,2.5103,105.9957
2024-12,-1.5705,100.2436
2025-01,-4.89,104.6582
2025-02,-4.9715,101.1287
2025-03,-8.2038,89.045
2025-04,-7.1658,88.6819
2025-05,-4.8916,99.6712
2025-06,-6.6656,109.046
2025-07,-8.2953,112.823
2025-08,-4.5375,112.1707
2025-09,-9.7487,118.6779
2025-10,-15.9869,122.8639
2025-11,-13.2595,122.3204
2025-12,-11.0474,121.4705
2026-01,0.4604,123.6468
2026-02,7.0908,120.852
