Date,rate_BLDR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.5618,-1.8027
2016-03,24.1627,4.5695
2016-04,15.9411,3.6217
2016-05,19.5467,4.6859
2016-06,10.845,4.2011
2016-07,24.7715,7.3141
2016-08,29.5997,6.5393
2016-09,5.99,5.8417
2016-10,-11.4266,3.4057
2016-11,2.4259,7.0013
2016-12,1.5683,8.6582
2017-01,-0.4925,9.9058
2017-02,19.6437,13.4199
2017-03,35.3949,12.5861
2017-04,43.0964,12.9516
2017-05,19.8926,13.7442
2017-06,33.0765,14.6714
2017-07,34.3327,16.2352
2017-08,37.7076,15.7466
2017-09,50.0734,17.3266
2017-10,48.0436,19.2474
2017-11,65.2121,22.0133
2017-12,73.6503,22.6523
2018-01,67.8079,28.4864
2018-02,47.8689,22.6807
2018-03,50.7497,18.8927
2018-04,36.8622,18.6249
2018-05,45.5095,20.8091
2018-06,34.5986,20.9812
2018-07,30.858,24.5763
2018-08,13.223,27.7899
2018-09,6.0401,27.6747
2018-10,-10.6035,18.1983
2018-11,-2.1463,19.8597
2018-12,-21.0234,8.8011
2019-01,-3.6359,17.1215
2019-02,1.6156,20.4441
2019-03,-2.7404,22.1999
2019-04,0.463,26.5012
2019-05,2.5378,17.9266
2019-06,22.6853,25.7011
2019-07,24.4599,26.9004
2019-08,40.3205,24.2426
2019-09,47.5178,26.142
2019-10,60.9402,28.3311
2019-11,79.2332,32.3256
2019-12,77.5825,35.5485
2020-01,71.7778,34.7719
2020-02,55.9964,23.2511
2020-03,-16.5299,7.5779
2020-04,25.8472,21.2186
2020-05,42.2879,26.5774
2020-06,40.6991,28.3766
2020-07,60.2614,35.3325
2020-08,105.7153,44.0777
2020-09,117.1457,37.914
2020-10,99.81,33.7633
2020-11,144.5744,47.7098
2020-12,164.2375,52.3667
2021-01,145.1485,49.9654
2021-02,174.6029,53.2453
2021-03,191.2378,60.4049
2021-04,202.5056,67.83
2021-05,173.9938,67.8968
2021-06,159.9118,70.6358
2021-07,168.5905,73.7106
2021-08,218.6444,77.7187
2021-09,206.2954,68.3779
2021-10,241.581,79.119
2021-11,302.9737,76.6949
2021-12,392.1449,83.6042
2022-01,286.1574,72.9303
2022-02,318.3888,66.8181
2022-03,259.2083,72.1992
2022-04,239.4386,56.2223
2022-05,255.5472,55.8933
2022-06,190.6744,42.4002
2022-07,264.875,54.8512
2022-08,211.5745,47.8158
2022-09,210.5927,33.7039
2022-10,222.3427,44.0824
2022-11,231.4284,51.4429
2022-12,233.5594,42.1877
2023-01,306.3413,50.5828
2023-02,328.4135,46.2373
2023-03,344.6527,52.2586
2023-04,370.4616,54.0684
2023-05,470.497,54.1996
2023-06,562.9804,63.548
2023-07,597.4986,68.1942
2023-08,593.9063,64.7317
2023-09,490.1119,56.2636
2023-10,409.8899,52.2886
2023-11,524.659,65.5989
2023-12,670.6871,72.448
2024-01,694.8318,74.4576
2024-02,784.9402,82.7177
2024-03,837.0443,89.0282
2024-04,714.1395,80.6052
2024-05,609.822,88.8335
2024-06,505.898,96.0415
2024-07,626.7253,97.3583
2024-08,649.2855,101.128
2024-09,727.8945,105.7758
2024-10,625.9282,102.865
2024-11,683.3689,113.7798
2024-12,495.6651,107.7813
2025-01,591.8015,112.3595
2025-02,470.3553,108.6721
2025-03,408.9053,96.0839
2025-04,383.782,93.6359
2025-05,332.4672,104.9003
2025-06,365.4802,114.5225
2025-07,403.5734,118.4064
2025-08,445.4966,121.8959
2025-09,373.6226,128.6764
2025-10,350.7147,133.0211
2025-11,332.587,132.409
2025-12,294.0516,131.4906
2026-01,335.4165,133.7386
2026-02,294.4398,130.7823
2026-03,266.3432,127.7382
