Date,rate_TRX-USD_5D,rate_VOO_20D
2017-11,-1.7287,3.0582
2017-12,1937.381,3.7201
2018-01,1570.9784,9.475
2018-02,958.2966,3.807
2018-03,576.9544,-0.0043
2018-04,1271.5548,-0.2888
2018-05,668.8739,1.8862
2018-06,336.7227,2.0549
2018-07,252.3226,5.5893
2018-08,145.075,8.7585
2018-09,102.4442,8.6574
2018-10,101.911,-0.5181
2018-11,61.5404,1.1069
2018-12,97.89,-9.8786
2019-01,158.1175,-1.5549
2019-02,132.9663,1.7711
2019-03,122.0678,3.5095
2019-04,119.191,7.8146
2019-05,193.1173,2.0445
2019-06,160.591,6.9066
2019-07,93.5839,8.0632
2019-08,31.2154,5.6209
2019-09,13.6169,7.4946
2019-10,51.1121,8.9578
2019-11,16.1891,12.9332
2019-12,-0.3655,16.1296
2020-01,39.9254,15.3513
2020-02,40.7581,3.8828
2020-03,31.8941,-3.2641
2020-04,71.8604,11.1764
2020-05,60.8833,9.7797
2020-06,62.4128,9.5833
2020-07,77.8519,15.0377
2020-08,130.9348,23.6552
2020-09,115.3256,19.7967
2020-10,107.5428,15.6055
2020-11,149.5284,24.5067
2020-12,107.8183,29.0508
2021-01,97.0441,26.6658
2021-02,216.6637,24.6371
2021-03,418.2736,31.4004
2021-04,628.2902,38.4602
2021-05,548.2603,36.1905
2021-06,439.7457,38.825
2021-07,398.5603,41.7783
2021-08,578.8232,45.5705
2021-09,553.9352,37.0716
2021-10,592.3622,47.0927
2021-11,524.911,47.0526
2021-12,405.0768,50.009
2022-01,283.2974,40.3255
2022-02,297.6368,34.8088
2022-03,376.3819,39.8445
2022-04,275.5959,33.8249
2022-05,325.7464,32.6151
2022-06,278.5406,19.5796
2022-07,297.7501,31.705
2022-08,261.0696,24.9217
2022-09,243.18,11.2405
2022-10,251.8804,21.2495
2022-11,222.6489,28.4123
2022-12,218.3596,22.1169
2023-01,239.581,30.348
2023-02,239.7336,27.0879
2023-03,230.3931,31.2127
2023-04,235.4803,30.0106
2023-05,271.0602,29.7415
2023-06,239.7704,38.7564
2023-07,244.0982,43.2617
2023-08,232.2798,41.0721
2023-09,280.3524,32.9123
2023-10,298.0234,29.101
2023-11,319.632,42.0232
2023-12,331.9497,48.6742
2024-01,345.6533,50.6493
2024-02,452.4225,58.6801
2024-03,378.3202,64.8333
2024-04,350.8363,56.7262
2024-05,318.743,64.7276
2024-06,360.8164,71.7312
2024-07,385.9351,72.4908
2024-08,480.3293,78.7457
2024-09,453.958,79.8592
2024-10,472.558,77.0581
2024-11,514.0334,87.5449
2024-12,653.2101,81.7928
2025-01,644.1527,86.2074
2025-02,565.2022,82.6779
2025-03,533.6046,70.5942
2025-04,549.0001,70.2311
2025-05,592.2593,81.2204
2025-06,580.896,90.5952
2025-07,682.1268,94.3722
2025-08,712.8329,93.7199
2025-09,655.0684,100.2271
2025-10,564.2382,104.4131
2025-11,526.0784,103.8696
2025-12,526.4251,103.0197
2026-01,538.8402,105.196
2026-02,512.3789,102.4012
