Date,rate_GNRC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.5933,-3.7423
2016-03,19.9023,0.3764
2016-04,21.8108,5.1946
2016-05,17.8167,3.5695
2016-06,13.2145,4.8356
2016-07,4.0913,4.3651
2016-08,4.2812,7.2005
2016-09,10.4167,6.5176
2016-10,4.3608,5.8316
2016-11,5.5464,2.6321
2016-12,17.1688,6.5262
2017-01,14.6323,8.6002
2017-02,12.134,9.8701
2017-03,10.0992,14.9815
2017-04,2.414,12.5254
2017-05,-2.5159,13.1716
2017-06,-1.3299,14.581
2017-07,-0.6843,14.626
2017-08,1.3262,16.4591
2017-09,11.7239,15.9061
2017-10,25.5685,17.2911
2017-11,36.3463,19.4181
2017-12,30.4517,21.7575
2018-01,31.2729,22.6249
2018-02,29.2566,28.3844
2018-03,12.798,21.0506
2018-04,18.9807,18.8566
2018-05,15.8771,18.843
2018-06,29.3541,22.0592
2018-07,31.6554,20.962
2018-08,37.5502,24.4135
2018-09,38.9274,27.7869
2018-10,40.2271,28.1445
2018-11,32.2231,19.3954
2018-12,39.1208,19.8359
2019-01,20.5228,8.7501
2019-02,27.8827,17.203
2019-03,25.9943,21.2677
2019-04,25.7072,23.6016
2019-05,30.1918,25.5902
2019-06,30.2323,17.8911
2019-07,65.5568,26.7327
2019-08,65.0071,25.8061
2019-09,79.8294,24.2046
2019-10,75.1766,24.595
2019-11,107.624,29.5299
2019-12,120.3181,32.3145
2020-01,122.4309,35.5516
2020-02,126.4895,34.7733
2020-03,122.6605,23.2161
2020-04,77.5672,2.6957
2020-05,97.831,17.923
2020-06,132.285,27.1545
2020-07,151.7005,29.2791
2020-08,223.9577,35.3897
2020-09,292.3825,45.4969
2020-10,293.0826,38.8421
2020-11,315.7015,33.8054
2020-12,315.9531,49.4413
2021-01,338.4283,52.4925
2021-02,392.4968,52.5474
2021-03,550.6184,57.1165
2021-04,500.2591,62.2404
2021-05,492.7154,68.0147
2021-06,481.1599,67.9506
2021-07,637.3514,71.7835
2021-08,638.3126,73.9065
2021-09,662.558,78.108
2021-10,595.0123,70.559
2021-11,757.4814,79.7147
2021-12,575.6576,74.8714
2022-01,482.2119,83.8439
2022-02,371.0892,74.2485
2022-03,419.8296,64.4857
2022-04,381.831,72.8765
2022-05,247.5137,56.3809
2022-06,282.7172,54.7432
2022-07,238.129,43.9638
2022-08,308.265,54.5402
2022-09,255.6047,48.4061
2022-10,169.4522,33.808
2022-11,72.1623,43.6413
2022-12,53.9535,51.6237
2023-01,49.6962,42.3283
2023-02,87.4471,52.4008
2023-03,74.2009,45.8599
2023-04,58.3491,52.4428
2023-05,49.67,54.1535
2023-06,65.1679,55.8684
2023-07,115.9506,63.7729
2023-08,120.7932,67.9151
2023-09,70.1973,65.3142
2023-10,55.2239,56.4671
2023-11,36.4271,54.158
2023-12,73.0782,66.8181
2024-01,82.0942,72.7134
2024-02,61.7393,77.0248
2024-03,59.5019,84.7703
2024-04,77.3115,89.0895
2024-05,76.8422,80.3005
2024-06,103.0933,89.1407
2024-07,82.7945,96.817
2024-08,98.8548,94.9948
2024-09,112.9059,101.4737
2024-10,114.049,104.2286
2024-11,127.4333,104.0979
2024-12,152.0788,114.1559
2025-01,106.5162,108.1307
2025-02,97.9555,112.719
2025-03,79.671,109.0154
2025-04,66.0452,97.097
2025-05,47.5641,95.2965
2025-06,59.4966,105.2137
2025-07,90.8389,114.7559
2025-08,150.9994,115.142
2025-09,138.8903,122.2543
2025-10,115.427,129.8729
2025-11,114.614,133.4127
2025-12,89.7444,131.7276
2026-01,72.7205,131.8756
2026-02,183.2162,131.1612
