Date,rate_CCEP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.139,-3.7423
2016-03,2.239,0.3764
2016-04,7.1719,5.1946
2016-05,7.4,3.5695
2016-06,9.0883,4.8356
2016-07,-3.2869,4.3651
2016-08,4.4333,7.2005
2016-09,4.9341,6.5176
2016-10,9.1389,5.8316
2016-11,4.4989,2.6321
2016-12,-15.1794,6.5262
2017-01,-13.4348,8.6002
2017-02,-3.0926,9.8701
2017-03,-3.5777,14.9815
2017-04,5.6218,12.5254
2017-05,7.5376,13.1716
2017-06,15.62,14.581
2017-07,13.5456,14.626
2017-08,20.6785,16.4591
2017-09,21.0422,15.9061
2017-10,14.1647,17.2911
2017-11,10.1888,19.4181
2017-12,9.9316,21.7575
2018-01,9.7873,22.6249
2018-02,8.0193,28.3844
2018-03,4.3403,21.0506
2018-04,14.813,18.8566
2018-05,5.804,18.843
2018-06,6.2849,22.0592
2018-07,13.768,20.962
2018-08,13.5437,24.4135
2018-09,19.2843,27.7869
2018-10,26.7688,28.1445
2018-11,26.6978,19.3954
2018-12,34.3459,19.8359
2019-01,25.9961,8.7501
2019-02,29.9363,17.203
2019-03,29.4175,21.2677
2019-04,38.705,23.6016
2019-05,43.2851,25.5902
2019-06,49.2797,17.8911
2019-07,51.3904,26.7327
2019-08,47.3021,25.8061
2019-09,48.331,24.2046
2019-10,46.0263,24.595
2019-11,39.7802,29.5299
2019-12,31.9657,32.3145
2020-01,32.3888,35.5516
2020-02,36.2046,34.7733
2020-03,31.2295,23.2161
2020-04,-5.1399,2.6957
2020-05,0.8325,17.923
2020-06,0.0453,27.1545
2020-07,-3.1639,29.2791
2020-08,5.6699,35.3897
2020-09,5.1309,45.4969
2020-10,1.4012,38.8421
2020-11,-8.5368,33.8054
2020-12,19.5934,49.4413
2021-01,30.2687,52.4925
2021-02,25.1092,52.5474
2021-03,36.4097,57.1165
2021-04,32.0823,62.2404
2021-05,46.3081,68.0147
2021-06,55.4336,67.9506
2021-07,52.1202,71.7835
2021-08,57.3498,73.9065
2021-09,46.4176,78.108
2021-10,40.2209,70.559
2021-11,34.4451,79.7147
2021-12,26.9592,74.8714
2022-01,43.4567,83.8439
2022-02,48.9392,74.2485
2022-03,23.2544,64.4857
2022-04,26.4179,72.8765
2022-05,26.3473,56.3809
2022-06,35.8419,54.7432
2022-07,35.4559,43.9638
2022-08,37.0326,54.5402
2022-09,21.5456,48.4061
2022-10,7.372,33.808
2022-11,19.2373,43.6413
2022-12,37.6702,51.6237
2023-01,41.3836,42.3283
2023-02,44.3085,52.4008
2023-03,39.1225,45.8599
2023-04,49.726,52.4428
2023-05,63.1963,54.1535
2023-06,59.1731,55.8684
2023-07,62.8864,63.7729
2023-08,58.9216,67.9151
2023-09,56.2492,65.3142
2023-10,56.0429,56.4671
2023-11,47.8824,54.158
2023-12,52.6337,66.8181
2024-01,68.2398,72.7134
2024-02,75.7439,77.0248
2024-03,73.4455,84.7703
2024-04,72.4288,89.0895
2024-05,77.403,80.3005
2024-06,83.8156,89.1407
2024-07,81.3028,96.817
2024-08,83.3798,94.9948
2024-09,98.081,101.4737
2024-10,89.651,104.2286
2024-11,84.342,104.0979
2024-12,98.1206,114.1559
2025-01,95.2442,108.1307
2025-02,98.7726,112.719
2025-03,117.2958,109.0154
2025-04,118.5445,97.097
2025-05,123.3726,95.2965
2025-06,134.5681,105.2137
2025-07,136.8889,114.7559
2025-08,146.0697,115.142
2025-09,123.6433,122.2543
2025-10,125.4913,129.8729
2025-11,121.4602,133.4127
2025-12,139.7702,131.7276
2026-01,134.3819,131.8756
2026-02,195.9826,120.852
