Date,rate_TMO_5D,rate_VOO_20D
2016-01,-2.4124,1.4254
2016-02,-1.3829,0.6142
2016-03,7.099,6.1243
2016-04,7.0847,4.6014
2016-05,10.6799,5.2878
2016-06,5.9767,4.687
2016-07,12.839,7.7174
2016-08,7.1005,6.8637
2016-09,11.5122,5.9421
2016-10,2.005,3.4868
2016-11,-3.2583,6.843
2016-12,-2.4033,8.2789
2017-01,5.5893,9.3935
2017-02,8.8139,12.821
2017-03,5.6951,12.0413
2017-04,13.3892,12.4367
2017-05,17.626,13.2406
2017-06,17.8233,14.1802
2017-07,17.4031,15.6892
2017-08,24.2417,15.2834
2017-09,24.55,16.8657
2017-10,26.3464,18.7799
2017-11,24.5862,21.509
2017-12,21.8207,22.1709
2018-01,42.6617,27.9258
2018-02,30.2191,22.2578
2018-03,29.126,18.4465
2018-04,28.8336,18.162
2018-05,26.4742,20.337
2018-06,24.8997,20.5057
2018-07,40.4986,24.0401
2018-08,41.9613,27.2093
2018-09,43.8598,27.1082
2018-10,32.2926,17.9327
2018-11,36.2137,19.5577
2018-12,21.5287,8.5722
2019-01,32.7757,16.8959
2019-02,39.3563,20.2219
2019-03,45.9927,21.9603
2019-04,46.7915,26.2654
2019-05,40.1597,20.4953
2019-06,53.1266,25.3574
2019-07,43.4287,26.514
2019-08,47.7528,24.0717
2019-09,46.6498,25.9454
2019-10,47.8424,27.4086
2019-11,52.6303,31.384
2019-12,56.8935,34.5804
2020-01,50.0891,33.8021
2020-02,38.3532,22.3336
2020-03,31.3265,15.1867
2020-04,54.4249,29.6272
2020-05,50.5364,28.2305
2020-06,49.8554,28.0341
2020-07,70.1563,33.4885
2020-08,68.8133,42.106
2020-09,59.7464,38.2475
2020-10,70.4153,34.0563
2020-11,56.2652,42.9575
2020-12,54.5407,47.5016
2021-01,61.6256,45.1166
2021-02,48.4439,43.0879
2021-03,48.4874,49.8512
2021-04,52.2116,56.911
2021-05,49.7832,54.6413
2021-06,60.2846,57.2758
2021-07,70.5909,60.2291
2021-08,74.2343,64.0213
2021-09,79.9882,55.5224
2021-10,93.7766,65.5435
2021-11,92.3757,65.5034
2021-12,98.0396,68.4598
2022-01,71.3686,58.7763
2022-02,59.4357,53.2596
2022-03,72.3273,58.2953
2022-04,63.9521,52.2757
2022-05,62.7351,51.0659
2022-06,54.308,38.0304
2022-07,58.8284,50.1558
2022-08,44.0839,43.3725
2022-09,33.5301,29.6913
2022-10,34.8546,39.7003
2022-11,46.5316,46.8631
2022-12,38.8285,40.5677
2023-01,43.7393,48.7988
2023-02,41.5816,45.5387
2023-03,46.5187,49.6635
2023-04,43.4255,48.4614
2023-05,35.7786,48.1923
2023-06,38.9864,57.2072
2023-07,45.6934,61.7125
2023-08,49.2969,59.5229
2023-09,35.2591,51.3631
2023-10,18.5291,47.5518
2023-11,31.8826,60.474
2023-12,40.9394,67.125
2024-01,42.6279,69.1001
2024-02,50.3713,77.1309
2024-03,52.8271,83.2841
2024-04,45.7417,75.177
2024-05,45.0897,83.1784
2024-06,41.1081,90.182
2024-07,56.0848,90.9416
2024-08,50.31,97.1965
2024-09,49.6056,98.31
2024-10,31.9505,95.5089
2024-11,27.5516,105.9957
2024-12,25.3146,100.2436
2025-01,43.6966,104.6582
2025-02,26.8074,101.1287
2025-03,19.3569,89.045
2025-04,2.839,88.6819
2025-05,-3.4469,99.6712
2025-06,-2.4739,109.046
2025-07,1.3182,112.823
2025-08,3.6232,112.1707
2025-09,2.2515,118.6779
2025-10,19.508,122.8639
2025-11,24.2291,122.3204
2025-12,21.7425,121.4705
2026-01,21.3839,123.6468
2026-02,9.2603,120.852
